label_column,non_null_rows,null_rows,positive_rows,non_positive_rows,positive_rate_all_rows,positive_rate_non_null,mean_return,median_return,min_return,max_return
Ret_5d,2190724,6270,1105844,1084880,0.5033441147313101,0.5047847195721598,0.003417748718365132,1.4966567185581425e-07,-0.954807653361907,27.000007545455006
Ret_20d,2180610,16384,1117102,1063508,0.5084683890807167,0.5122887632359753,0.007363243740952269,0.0008766451068078496,-0.9896773840473366,27.08364351975803
Ret_60d,2151213,45781,1143854,1007359,0.5206450267957036,0.5317251243833131,0.024190440802190082,0.010621057760844765,-0.9998276183568134,37.92508002123091
Ret_month,2174258,22736,1134538,1039720,0.5164046874957328,0.5218046800333723,0.010006184289072954,0.003185537812528283,-0.9935999781093487,19.975325870812878
