t,z_spreads,z_equities,z_liquidity,z_goldcurrency,z_roro
23feb2026,1.2921685,.73484212,.15945762,-1.500105,1.0374233
24feb2026,.4135527,-.42722341,.07220725,1.1374444,-.057444062
25feb2026,-.20165767,-.85761237,-.011905641,-.32326722,-.84782469
26feb2026,.60484886,.25614282,-.043549474,-.070766903,.45521501
27feb2026,1.8876899,.19841284,.20091489,-1.3087686,.7933436
02mar2026,.18578027,1.522024,-.72304946,.82285553,1.6044767
03mar2026,.71923035,2.9294713,.4728502,2.9715514,3.2816362
04mar2026,-1.5840027,-1.4769039,-.026600175,-.91563886,-1.9529936
05mar2026,-.025773942,1.5157484,.16480313,1.2087075,1.4490647
06mar2026,1.2233764,1.7467068,.2566677,-1.4628335,1.9042161
09mar2026,2.2828364,-.12375703,-.68174368,.42964679,.95825762
10mar2026,-1.7853696,-1.5379119,.45244041,-1.1013089,-2.2452052
11mar2026,1.2331111,.66635555,-.30283132,.98507559,1.1673826
12mar2026,1.1518031,1.0915055,.023418205,1.5293528,1.5495713
13mar2026,1.0407391,.44470438,.28264844,1.6841654,1.116748
16mar2026,.68756545,-1.1766624,-.010038925,-.33999252,-.75184196
17mar2026,-.57463801,-.74891871,.012483282,-.24773094,-.92991853
18mar2026,-1.2379986,.85919976,-.40527365,2.2793198,.38619161
19mar2026,1.0287601,1.402508,-.0038741019,1.9281381,1.9580458
20mar2026,-.59100521,1.5142058,.16713484,1.9296494,1.2263049
23mar2026,.69431758,-.19605748,.54941887,.68446445,.21180089
24mar2026,-1.0553608,-.22964002,-.17874406,-.59806496,-.63073635
25mar2026,-.35980088,-1.0985998,.016317083,-.17414874,-1.1478601
26mar2026,-.20990089,1.3949554,-.40231106,2.0351484,1.3497481
27mar2026,2.7412784,1.3566651,.33358049,-1.110849,2.2537346
30mar2026,1.3301657,-.20074008,-.16243955,.39154765,.43010104
31mar2026,-.77833301,-1.8320675,-.1698848,-2.1748321,-1.9760798
01apr2026,-2.2146239,-2.1737943,-.17497057,-2.1432598,-3.1256304
02apr2026,.12755945,.4213388,-.026042517,1.6959617,.66945058
