cot_source_report_date,Market_and_Exchange_Names,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,dealer_net_all,dealer_net_ratio_all,asset_mgr_net_all,asset_mgr_net_ratio_all,lev_money_net_all,lev_money_net_ratio_all,other_rept_net_all,other_rept_net_ratio_all,nonrept_net_all,nonrept_net_ratio_all
2024-03-26,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31238,2967,4679,19284,588,3629,19731,827,2675,29415,30381,1823,857,-1712,-0.05480504513733274,18696,0.598501824700685,-16102,-0.5154619373839554,-1848,-0.05915871694730777,966,0.030923874767910878
2024-04-02,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29745,2285,4281,19477,548,3232,19313,821,2521,28126,28974,1619,771,-1996,-0.06710371491006892,18929,0.6363758614893259,-16081,-0.5406286770885863,-1700,-0.057152462598756094,848,0.02850899310808539
2024-04-09,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29074,1761,4354,19547,508,2994,19010,807,2228,27375,28366,1699,708,-2593,-0.08918621448717066,19039,0.6548462543853615,-16016,-0.5508701932998555,-1421,-0.04887528375868474,991,0.03408543716034945
2024-04-16,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29526,1703,4395,18898,632,2653,17836,598,1665,27994,28670,1532,856,-2692,-0.09117388064756486,18266,0.6186411975885661,-15183,-0.5142247510668563,-1067,-0.036137641400799295,676,0.022895075526654474
2024-04-23,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27932,1460,4139,19010,517,2566,19059,701,679,26407,27064,1525,868,-2679,-0.09591149935557783,18493,0.6620721752828297,-16493,-0.5904697121580983,22,0.0007876270943720464,657,0.023521409136474294
2024-04-30,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24795,1506,3461,16882,421,2061,16525,411,977,23334,23858,1461,937,-1955,-0.07884654164145997,16461,0.6638838475499093,-14464,-0.5833434160112926,-566,-0.02282718289977818,524,0.021133293002621498
2024-05-07,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26155,1330,3810,17255,476,1899,17120,1435,1162,24567,25216,1588,939,-2480,-0.09481934620531447,16779,0.6415216975721659,-15221,-0.5819537373351176,273,0.010437774804052762,649,0.024813611164213344
2024-05-14,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27077,1326,3476,16904,518,1833,17479,2057,1245,25558,26156,1519,921,-2150,-0.0794031835136832,16386,0.6051630535140525,-15646,-0.5778335857000406,812,0.029988551168888725,598,0.022085164530782582
2024-05-21,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30694,1254,4164,18734,706,2332,19154,2098,1162,29108,29876,1586,818,-2910,-0.09480680263243631,18028,0.587346061119437,-16822,-0.5480549944614582,936,0.030494559197237245,768,0.025021176777220305
2024-05-28,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30255,1277,3924,18594,773,2140,19191,1919,946,28492,29396,1763,859,-2647,-0.08748967112873905,17821,0.5890266071723682,-17051,-0.5635762683853909,973,0.03215997355808957,904,0.029879358783672122
2024-06-04,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31086,1245,3974,18527,636,3326,21276,2844,809,29485,30238,1601,848,-2729,-0.0877887151772502,17891,0.5755323940037316,-17950,-0.5774303545004182,2035,0.06546355272469923,753,0.024223122949237598
2024-06-11,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30503,1259,3830,18482,591,2402,20045,2396,762,28871,29560,1632,943,-2571,-0.08428679146313478,17891,0.5865324722158476,-17643,-0.5784021243812084,1634,0.053568501458872896,689,0.02258794216962266
2024-06-18,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30627,1214,3799,17911,654,2477,19548,2537,636,29088,29586,1539,1041,-2585,-0.08440265125542822,17257,0.563457080353936,-17071,-0.5573840075750155,1901,0.06206941587488164,498,0.016260162601626018
2024-06-25,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30171,1187,3790,17398,493,1655,18592,2783,531,28672,29055,1499,1116,-2603,-0.08627489973815916,16905,0.5603062543502039,-16937,-0.5613668754764509,2252,0.07464121175963674,383,0.01269430910476948
2024-07-02,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27063,1151,3690,17291,493,1251,18022,2663,551,25716,26116,1347,947,-2539,-0.09381812807153679,16798,0.6206998485016443,-16771,-0.6197021764032073,2112,0.07804012858884825,400,0.01478032738425156
2024-07-09,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28241,1052,3795,17695,563,1152,18928,3882,701,26878,27084,1363,1157,-2743,-0.09712828865833363,17132,0.606635742360398,-17776,-0.6294394674409547,3181,0.11263765447399171,206,0.007294359264898552
2024-07-16,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31183,1141,3892,19999,656,1636,20439,2963,1150,29720,30118,1463,1065,-2751,-0.0882211461373184,19343,0.6203059359266266,-18803,-0.6029888080043614,1813,0.05814065356123529,398,0.012763364653817786
2024-07-23,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32435,1206,3812,20438,636,1868,20542,2093,1094,30837,31316,1598,1119,-2606,-0.08034530599660861,19802,0.6105133343610297,-18674,-0.5757360875597348,999,0.03080006166178511,479,0.014767997533528596
2024-07-30,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28605,1092,4247,19767,643,2700,20293,1670,721,27138,27813,1467,792,-3155,-0.11029540290159064,19124,0.6685544485229855,-17593,-0.6150323370040203,949,0.0331760181786401,675,0.023597273203985317
2024-08-06,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27535,977,4272,17710,629,1882,19127,3900,622,26371,26552,1164,983,-3295,-0.119665879789359,17081,0.620337751952061,-17245,-0.6262938078808789,3278,0.11904848374795715,181,0.006573451970219721
2024-08-13,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27874,868,4249,18608,598,2203,19491,3000,622,26726,27007,1148,867,-3381,-0.12129583124058262,18010,0.6461218339671378,-17288,-0.6202195594460788,2378,0.08531247757767095,281,0.010081079141852623
2024-08-20,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29630,940,4278,18784,620,1905,19036,2997,918,28415,28641,1215,989,-3338,-0.11265609179885251,18164,0.6130273371582855,-17131,-0.5781640229497131,2079,0.07016537293283834,226,0.007627404657441782
2024-08-27,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29817,1152,4603,19303,604,2365,20297,3180,794,28509,28807,1308,1010,-3451,-0.11573934332763189,18699,0.6271254653385653,-17932,-0.6014018848308013,2386,0.08002146426535198,298,0.00999429855451588
2024-09-03,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26859,1200,4188,17664,371,2184,18876,3207,1063,25792,26035,1067,824,-2988,-0.11124762649391265,17293,0.6438437767601176,-16692,-0.62146766447001,2144,0.07982426747086638,243,0.00904724673293868
2024-09-10,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28157,1005,3807,18196,367,1748,18886,2926,1083,26932,27200,1225,957,-2802,-0.0995134424832191,17829,0.6331995596121746,-17138,-0.6086585928898676,1843,0.0654544163085556,268,0.00951805945235643
2024-09-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30995,1014,3760,11674,416,1914,19963,10213,1053,29757,30134,1238,861,-2746,-0.08859493466688176,11258,0.36321987417325374,-18049,-0.5823197289885466,9160,0.29553153734473303,377,0.012163252137441523
2024-09-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30542,1040,3833,9233,365,1985,20623,13060,950,29109,29562,1433,980,-2793,-0.09144784231549996,8868,0.2903542662563028,-18638,-0.6102416344705651,12110,0.3965031759544234,453,0.014832034575338878
2024-10-01,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28539,1061,4200,9163,359,2690,20031,12237,792,27389,27620,1150,919,-3139,-0.10998983846665966,8804,0.30849013630470584,-17341,-0.6076246539822698,11445,0.4010301692420898,231,0.008094186902133923
2024-10-08,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29382,1202,4234,9632,359,1980,20828,13007,810,28132,28542,1250,840,-3032,-0.10319243073990879,9273,0.31560138860526854,-18848,-0.6414811789531005,12197,0.4151180995167109,410,0.013954121571029883
2024-10-15,BITCOIN - CHICAGO MERCANTILE EXCHANGE,34494,11766,4400,10112,540,2795,23179,3786,746,33089,33495,1405,999,7366,0.213544384530643,9572,0.2774975358033281,-20384,-0.5909433524670957,3040,0.08813126920623876,406,0.011770162926885834
2024-10-22,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33562,11972,4402,9535,528,3054,23303,3933,792,32044,32575,1518,987,7570,0.22555270842023717,9007,0.2683689887372624,-20249,-0.6033311483225076,3141,0.09358798641320541,531,0.015821464751802634
2024-10-29,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33787,12506,4409,10072,546,3745,24660,3487,822,32346,32973,1441,814,8097,0.2396483854737029,9526,0.2819427590493385,-20915,-0.619025068813449,2665,0.07887649095806079,627,0.01855743333234676
2024-11-05,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32011,12401,4350,9865,598,3484,22738,2214,808,30568,31098,1443,913,8051,0.25150729436756114,9267,0.28949423635625254,-19254,-0.6014807409952829,1406,0.04392240167442442,530,0.016556808597044767
2024-11-12,BITCOIN - CHICAGO MERCANTILE EXCHANGE,38531,14935,4966,11083,947,4830,25189,1579,1972,36927,37574,1604,957,9969,0.25872673950844777,10136,0.26306091199294074,-20359,-0.5283797461784018,-393,-0.010199579559315875,647,0.01679167423632919
2024-11-19,BITCOIN - CHICAGO MERCANTILE EXCHANGE,41203,14936,5097,11393,947,4914,25022,1628,2595,39370,40160,1833,1043,9839,0.23879329175060068,10446,0.2535252287454797,-20108,-0.48802271679246656,-967,-0.023469164866635923,790,0.01917336116302211
2024-11-26,BITCOIN - CHICAGO MERCANTILE EXCHANGE,40510,13795,5204,11119,960,5300,24505,1282,1517,38843,39533,1667,977,8591,0.21207109355714637,10159,0.25077758578128856,-19205,-0.47408047395704767,-235,-0.005801036781041718,690,0.017032831399654405
2024-12-03,BITCOIN - CHICAGO MERCANTILE EXCHANGE,37021,14397,4705,11038,922,4094,25749,2584,1292,35421,35976,1600,1045,9692,0.2617973582561249,10116,0.2732503173874288,-21655,-0.5849382782744929,1292,0.03489911131519948,555,0.014991491315739715
2024-12-10,BITCOIN - CHICAGO MERCANTILE EXCHANGE,37588,14698,4747,10889,828,4657,25643,2254,1764,35961,36445,1627,1143,9951,0.2647387464084282,10061,0.26766521230179846,-20986,-0.5583164839842503,490,0.013036075343194637,484,0.012876449930828988
2024-12-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,42524,16088,4682,11452,854,3653,26850,3148,2267,40885,41197,1639,1327,11406,0.26822500235161323,10598,0.24922396764180227,-23197,-0.5455037155488666,881,0.02071771235067256,312,0.007337033204778478
2024-12-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,37125,15216,3993,10767,781,4140,25242,1556,1938,35789,36064,1336,1061,11223,0.3023030303030303,9986,0.268983164983165,-21102,-0.5684040404040404,-382,-0.01028956228956229,275,0.007407407407407408
2024-12-31,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33893,14154,2988,10520,750,3771,23835,897,2132,32567,32930,1326,963,11166,0.32944855869943646,9770,0.28826011270763874,-20064,-0.5919806449709379,-1235,-0.03643820257870357,363,0.010710176142566311
