Date,Market_and_Exchange_Names,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Dealer_Net_All,Dealer_Net_Ratio_All,Asset_Mgr_Net_All,Asset_Mgr_Net_Ratio_All,Lev_Money_Net_All,Lev_Money_Net_Ratio_All,Other_Rept_Net_All,Other_Rept_Net_Ratio_All,NonRept_Net_All,NonRept_Net_Ratio_All
2018-04-10,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1702,0,0,122,0,902,1108,53,207,1103,1341,599,361,0,0.0,122,0.07168037602820211,-206,-0.12103407755581669,-154,-0.09048178613396005,238,0.1398354876615746
2018-04-10,BITCOIN-USD - CBOE FUTURES EXCHANGE,6614,55,0,424,0,1740,4826,1549,663,3938,5659,2676,955,55,0.008315693982461446,424,0.06410644088297551,-3086,-0.46658602963410944,886,0.13395827033565164,1721,0.26020562443302087
2018-04-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2029,0,0,122,0,1053,1313,130,332,1347,1687,682,342,0,0.0,122,0.06012814194184327,-260,-0.12814194184327254,-202,-0.09955643173977329,340,0.16757023164120255
2018-04-17,BITCOIN-USD - CBOE FUTURES EXCHANGE,6433,55,0,343,0,1630,4700,1381,592,3714,5597,2719,836,55,0.00854966578579201,343,0.05331882480957562,-3070,-0.47722679931602674,789,0.1226488419089072,1883,0.2927094668117519
2018-04-24,BITCOIN-USD - CBOE FUTURES EXCHANGE,5753,0,0,82,0,1838,4099,1273,923,3305,5134,2448,619,0,0.0,82,0.014253432991482705,-2261,-0.3930123413871024,350,0.0608378237441335,1829,0.31792108465148616
2018-04-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2380,0,0,105,0,1194,1682,198,336,1551,2072,829,308,0,0.0,105,0.04411764705882353,-488,-0.20504201680672268,-138,-0.05798319327731093,521,0.21890756302521008
2018-05-01,BITCOIN-USD - CBOE FUTURES EXCHANGE,5816,0,0,144,0,1920,3965,1223,919,3487,5084,2329,732,0,0.0,144,0.024759284731774415,-2045,-0.3516162310866575,304,0.052269601100412656,1597,0.2745873452544704
2018-05-01,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1991,0,0,0,0,1198,1348,177,283,1402,1658,589,333,0,0.0,0,0.0,-150,-0.07533902561526871,-106,-0.053239578101456554,256,0.12857860371672528
2018-05-08,BITCOIN-USD - CBOE FUTURES EXCHANGE,6295,0,0,166,0,2211,4214,1254,1052,3987,5622,2308,673,0,0.0,166,0.02637013502779984,-2003,-0.3181890389197776,202,0.032088959491660046,1635,0.2597299444003177
2018-05-08,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2485,0,0,0,0,1284,1707,391,368,1695,2095,790,390,0,0.0,0,0.0,-423,-0.17022132796780684,23,0.00925553319919517,400,0.16096579476861167
2018-05-15,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2505,0,0,0,29,1338,1657,337,366,1701,2078,804,427,0,0.0,-29,-0.01157684630738523,-319,-0.12734530938123753,-29,-0.01157684630738523,377,0.150499001996008
2018-05-15,BITCOIN-USD - CBOE FUTURES EXCHANGE,6048,0,0,135,28,1674,4008,1343,990,3512,5386,2536,662,0,0.0,107,0.017691798941798943,-2334,-0.38591269841269843,353,0.058366402116402115,1874,0.3098544973544973
2018-05-22,BITCOIN-USD - CBOE FUTURES EXCHANGE,5368,0,0,0,27,1755,3312,1085,1160,3113,4772,2255,596,0,0.0,-27,-0.005029806259314456,-1557,-0.2900521609538003,-75,-0.013971684053651267,1659,0.30905365126676604
2018-05-22,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2684,0,0,0,29,1323,1872,462,327,1835,2278,849,406,0,0.0,-29,-0.010804769001490314,-549,-0.20454545454545456,135,0.05029806259314456,443,0.1650521609538003
2018-05-29,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2714,0,0,38,25,1172,1812,486,416,1754,2311,960,403,0,0.0,13,0.004789977892409728,-640,-0.23581429624170966,70,0.025792188651436992,557,0.20523212969786292
2018-05-29,BITCOIN-USD - CBOE FUTURES EXCHANGE,5480,0,0,150,40,1622,3566,1165,1010,3130,4809,2350,671,0,0.0,110,0.020072992700729927,-1944,-0.35474452554744523,155,0.028284671532846715,1679,0.3063868613138686
2018-06-05,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2556,0,0,47,29,1126,1845,540,305,1740,2206,816,350,0,0.0,18,0.007042253521126761,-719,-0.28129890453834117,235,0.09194053208137715,466,0.18231611893583724
2018-06-05,BITCOIN-USD - CBOE FUTURES EXCHANGE,5618,0,0,153,28,1455,3915,1109,700,3135,5061,2483,557,0,0.0,125,0.022249911000355997,-2460,-0.43787824848700607,409,0.07280170879316483,1926,0.34282662869348524
2018-06-12,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2643,29,0,0,108,1349,1634,427,440,1824,2201,819,442,29,0.010972379871358306,-108,-0.04086265607264472,-285,-0.10783200908059024,-13,-0.004918653045781309,377,0.14264093832765795
