svd_dim,context_dim,experiment_name,context_method,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,accuracy_minus_majority_class_accuracy,roc_auc,f1,brier_score,positive_rate,predicted_positive_rate,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net
16,54,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd16_w7_20_60,concat,42,ok,,True,True,1441,0.546148507980569,0.5412907702984039,,0.568293960200163,0.6102502979737783,0.27758783740640847,0.5412907702984039,0.6231783483691881,2.7324343331035,6.163635131538566,1.092551776988183,3.1983580307192785
16,54,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd16_w7_20_60,concat,43,ok,,True,True,1441,0.5412907702984039,0.5412907702984039,,0.5628321501997751,0.7023863124718596,0.247485627649038,0.5412907702984039,1.0,3.1556853568046463,9.128912232357852,3.1556853568046463,9.128912232357852
16,54,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd16_w7_20_60,concat,44,ok,,True,True,1441,0.5773768216516308,0.5412907702984039,,0.5786706233756158,0.6734584450402143,0.24745637026638048,0.5412907702984039,0.7529493407356003,3.435750653728659,8.361229634359999,2.6138497511096817,7.593547036362149
16,54,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd16_w7_20_60,concat,45,ok,,True,True,1441,0.5510062456627343,0.5412907702984039,,0.5581287094146398,0.6534547402249598,0.2620108155795104,0.5412907702984039,0.7543372657876475,2.918512864018164,7.069279093257088,1.715360787345847,5.0096459541563245
16,54,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd16_w7_20_60,concat,46,ok,,True,True,1441,0.4580152671755725,0.5412907702984039,,0.5362387990224601,0.0,0.2533418806943653,0.5412907702984039,0.0006939625260235947,-0.5098413520951393,-0.019583276669419572,-3.169764997295983,-9.168585378340687
8,30,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd8_w7_20_60,concat,42,ok,,True,True,1441,0.6037473976405274,0.5412907702984039,,0.5958008456495597,0.6678301337987202,0.26060329144368555,0.5412907702984039,0.6516308119361555,4.084908982981535,9.635483506679345,3.5171339426151413,10.142054781000843
8,30,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd8_w7_20_60,concat,43,ok,,True,True,1441,0.5669673837612769,0.5412907702984039,,0.59527134489313,0.6367869615832363,0.27965687460028454,0.5412907702984039,0.6509368494101319,3.632823030659789,8.30010397556649,2.5709136710965144,7.4712957187751305
8,30,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd8_w7_20_60,concat,44,ok,,True,True,1441,0.5947258848022207,0.5412907702984039,,0.587656619729237,0.6733780760626398,0.2878760108910292,0.5412907702984039,0.6995142262317835,3.7438497309637047,9.163328843127355,3.1799388606636785,9.197745453896859
8,30,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd8_w7_20_60,concat,45,ok,,True,True,1441,0.476058292852186,0.5412907702984039,,0.5578726870708717,0.1564245810055866,0.2502699772898027,0.5412907702984039,0.0798056904927134,1.9557054851219995,1.6450193891930212,-2.002280454475561,-5.83887345397181
8,30,stage4_concat_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd8_w7_20_60,concat,46,ok,,True,True,1441,0.4621790423317141,0.5412907702984039,,0.5718831219209435,0.05140758873929009,0.2504750149673455,0.5412907702984039,0.025676613462873005,1.0548334050113921,0.37664418918639125,-2.8892144619613966,-8.376130446629064
