family,num_features,max_train_only_candidate_score,mean_train_only_candidate_score,best_train_feature,max_train_abs_corr_label,max_train_abs_corr_future_return,max_test_abs_corr_stage2_error_rate,max_test_abs_corr_stage2_prob_up_mean,mean_missing_rate_train
news,102,0.35004789435594225,0.13459651534569678,news__news_svd_60d_09_normalized,0.28169187849340316,0.35004789435594225,0.11455445539146047,0.29368138130847354,0.0
fear_greed,4,0.18082277848899797,0.10842727369476321,fear_greed__fg_mean_60_normalized,0.15000224152872524,0.18082277848899797,0.1241293461269113,0.11722228920777507,0.0
fsi,6,0.1692077023262545,0.1360836496098989,fsi__ofr_fsi_std_60_normalized,0.15722936979371083,0.1692077023262545,0.08923638762826139,0.10952565003743778,0.0
technical,4,0.15096221711020033,0.12627495986131138,technical__bb_bandwidth_60_normalized,0.07592939473705113,0.15096221711020033,0.10011609647091901,0.20991161503616476,0.0
roro,10,0.14049868151222736,0.0850660595257448,roro__riskoff_dollar_return_20_normalized,0.1211434252146837,0.14049868151222736,0.11334394088412525,0.14181773360034464,0.0
