run_seed,num_samples,stage2_accuracy,stage4_accuracy,accuracy_delta_stage4_minus_stage2,stage2_predicted_positive_rate,stage4_predicted_positive_rate,mean_true_prob_delta_stage4_minus_stage2,stage2_wrong_to_stage4_correct,stage2_correct_to_stage4_wrong,both_correct,both_wrong
42,1441,0.6030534351145038,0.6030534351145038,0.0,0.6162387231089521,0.6162387231089521,0.0002175195221475745,3,3,866,569
43,1441,0.5746009715475364,0.5739070090215128,-0.000693962526023606,0.6835530881332408,0.6731436502428869,-0.00043973680889385243,7,8,820,606
44,1441,0.5628036086051353,0.563497571131159,0.000693962526023606,0.7314365024288688,0.7126995142262318,-0.0005295097060103446,14,13,798,616
45,1441,0.5628036086051353,0.5621096460791117,-0.000693962526023606,0.6731436502428869,0.6627342123525329,-0.0006833825425854318,7,8,803,623
46,1441,0.5933379597501734,0.5912560721721027,-0.002081887578070707,0.6176266481609993,0.604441360166551,-0.00026045277414844646,8,11,844,578
