transition_type,context__funding_rate_mean_20_normalized,context__funding_rate_mean_20_normalized,context__funding_rate_mean_20_normalized,context__funding_rate_max_7_normalized,context__funding_rate_max_7_normalized,context__funding_rate_max_7_normalized,context__funding_rate_abs_mean_20_normalized,context__funding_rate_abs_mean_20_normalized,context__funding_rate_abs_mean_20_normalized,context__cot_open_interest_change_20_normalized,context__cot_open_interest_change_20_normalized,context__cot_open_interest_change_20_normalized,context__cot_open_interest_zscore_60_normalized,context__cot_open_interest_zscore_60_normalized,context__cot_open_interest_zscore_60_normalized,context__cot_lev_money_net_ratio_normalized,context__cot_lev_money_net_ratio_normalized,context__cot_lev_money_net_ratio_normalized,prob_up_delta,prob_up_delta,prob_up_delta,future_return_stage2,future_return_stage2,future_return_stage2
,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median
both_correct,4037,0.12191342795100174,0.020619686793414,4037,-0.27754992671559403,-0.5081047145983825,4037,-0.5882622771705439,-0.8387099118041174,4037,0.2817019614817797,-0.1723812196238011,4037,-0.12739355954044532,-0.333273554119939,4037,-1.1798233379385972,-1.2894648104094448,4037,-0.005868436803255514,-0.00572049617767334,4037,0.06364149254721867,0.0459331858744564
both_wrong,3051,0.1074902336753045,0.0306304622294674,3051,-0.27114496757625667,-0.5081047145983825,3051,-0.5912595912511954,-0.8216769716404864,3051,0.26614400652348785,-0.1613394466473466,3051,-0.11230746065183674,-0.2130627254998467,3051,-1.2034094770011134,-1.3756590692125246,3051,-0.005703509005317138,-0.005485832691192627,3051,-0.02594544659954219,-0.0384193731826723
correction,66,0.3022150130064729,0.12592411757444333,66,0.029616662201353023,-0.5081047145983825,66,-0.35945074749859895,-0.6154302831374469,66,0.4066292793106094,0.2383727351003093,66,-0.15512698354418933,-0.3431848688362456,66,-1.1684191554457046,-1.4438422349919118,66,-0.012789121179869698,-0.013787165284156827,66,-0.061040437315203006,-0.05399769511832565
regression,51,0.2575188675597779,0.0722038735944132,51,-0.13658556550021556,-0.5081047145983825,51,-0.38266110689292776,-0.8014966403596723,51,0.2823406420818452,-0.3313827504847471,51,-0.1132909442022791,-0.2839043630599761,51,-1.4098444237921253,-1.698739224182915,51,-0.013837531501171667,-0.01511278748512268,51,0.12695583176047698,0.0838389657606251
