experiment_name,image_window,image_spec,return_horizon,seed_count,num_samples_mean,num_samples_std,num_samples_count,accuracy_mean,accuracy_std,accuracy_count,majority_class_accuracy_mean,majority_class_accuracy_std,majority_class_accuracy_count,accuracy_minus_majority_class_accuracy_mean,accuracy_minus_majority_class_accuracy_std,accuracy_minus_majority_class_accuracy_count,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,f1_mean,f1_std,f1_count,brier_score_mean,brier_score_std,brier_score_count,positive_rate_mean,positive_rate_std,positive_rate_count,predicted_positive_rate_mean,predicted_positive_rate_std,predicted_positive_rate_count,long_flat_sharpe_net_mean,long_flat_sharpe_net_std,long_flat_sharpe_net_count,long_short_sharpe_net_mean,long_short_sharpe_net_std,long_short_sharpe_net_count,long_flat_annualized_return_net_mean,long_flat_annualized_return_net_std,long_flat_annualized_return_net_count,long_short_annualized_return_net_mean,long_short_annualized_return_net_std,long_short_annualized_return_net_count
stage2_i60_ohlc_r20,60,ohlc,20,5,1441.0,0.0,5,0.5580846634281749,0.015183354531467703,5,0.5412907702984039,0.0,5,,,0,0.5602178129485239,0.015565527747232626,5,0.5841652484454023,0.02052184376319515,5,0.6809530579505978,0.018848766572683487,5,0.25294674956886826,0.003849269056537072,5,0.5412907702984039,0.0,5,0.8496877168632894,0.12674328370009105,5,3.0834284005939496,0.13452181076982628,5,2.4595870435759855,0.6757953910442995,5,8.135805373581459,0.9675891326614706,5,7.142597196276263,1.935359825024428,5
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,5,1441.0,0.0,5,0.5575294934073561,0.02328965532483173,5,0.5412907702984039,0.0,5,,,0,0.5644949377400209,0.01625235800763302,5,0.5829913361786938,0.01074252695432984,5,0.6274020200912854,0.0508601729383073,5,0.27888092529964487,0.017047795248512215,5,0.5412907702984039,0.0,5,0.6578764746703678,0.11267759074064645,5,3.074087112586064,0.3817716063375791,5,1.8055002562971167,0.9696048449950336,5,7.191488971125065,1.3976551981291376,5,5.253863072834681,2.79554423976145,5
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,5,1441.0,0.0,5,0.567383761276891,0.017332400047833107,5,0.5412907702984039,0.0,5,,,0,0.5612471391442647,0.0185860841695511,5,0.5714226846194814,0.012268674328537853,5,0.6585744515333222,0.04582640328078053,5,0.25830624458350976,0.00795089048349467,5,0.5412907702984039,0.0,5,0.7410131852879945,0.14895514019345402,5,3.1367757214264325,0.5539431930519372,5,2.134023499499784,1.5381637774235286,5,7.651083908272487,2.210370154335276,5,6.173154265658324,4.420881898729304,5
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,5,1441.0,0.0,5,0.5793199167244969,0.018218333738359908,5,0.5412907702984039,0.0,5,,,0,0.5848619030994221,0.023250398342310137,5,0.6112561796902997,0.01932550572416829,5,0.6510711809366792,0.006972443111511886,5,0.27433676215715297,0.00895662684801533,5,0.5412907702984039,0.0,5,0.6643997224149896,0.04859125408998831,5,3.4423121472519123,0.3737403793781096,5,2.407759221482054,0.5029006587929385,5,8.063840574406473,0.7185106306534962,5,6.998667597926297,1.4371733473082318,5
