bucket_family,bucket,transition_type,rank_reason,run_seed,sample_index,Date_stage2,future_return_stage2,prob_up_stage2,prob_up_stage4,prob_up_delta,pred_class_stage2,pred_class_stage4,correct_stage2,correct_stage4,context__funding_rate_mean_20_normalized,context__funding_rate_max_7_normalized,context__cot_open_interest_change_20_normalized,context__cot_open_interest_zscore_60_normalized,context__cot_lev_money_net_ratio_normalized
stage2_uncertain_45_55,yes,correction,largest_abs_prob_up_delta,43,2234,2024-06-10T00:00:00,-0.0973251366120218,0.5254558324813843,0.4875709116458893,-0.037884920835494995,1,0,False,True,0.2652779374181714,-0.4991573779366448,3.3873391643454656,0.0911294732802851,-2.463738670193471
stage2_uncertain_45_55,yes,correction,largest_abs_prob_up_delta,42,1084,2021-04-17T00:00:00,-0.0448601871858891,0.5032231211662292,0.472791463136673,-0.030431658029556274,1,0,False,True,2.1884945533534554,3.811967670243965,-0.3313827504847471,-0.3206527861008317,-2.435941644374247
stage2_uncertain_45_55,yes,correction,largest_abs_prob_up_delta,43,1079,2021-04-12T00:00:00,-0.0548244236551954,0.5087913870811462,0.479749470949173,-0.029041916131973267,1,0,False,True,1.5634268361591854,3.811967670243965,0.2383727351003093,-0.2399596707010164,-2.463738670193471
stage2_uncertain_45_55,yes,correction,largest_abs_prob_up_delta,43,2229,2024-06-05T00:00:00,-0.1308149575293918,0.518187403678894,0.4912634491920471,-0.026923954486846924,1,0,False,True,0.2133111732119732,-0.5081047145983825,3.3873391643454656,1.0701561687236347,-2.0155994202039813
stage2_uncertain_45_55,yes,correction,largest_abs_prob_up_delta,42,1079,2021-04-12T00:00:00,-0.0548244236551954,0.5227197408676147,0.4971711933612823,-0.025548547506332453,1,0,False,True,1.5634268361591854,3.811967670243965,0.2383727351003093,-0.2399596707010164,-2.463738670193471
stage2_uncertain_45_55,yes,regression,largest_abs_prob_up_delta,43,2373,2024-10-27T00:00:00,0.331735607901596,0.5227682590484619,0.4930072724819183,-0.029760986566543635,1,0,True,False,0.207381223431395,-0.5081047145983825,3.3873391643454656,0.0371902216544903,-2.463738670193471
stage2_uncertain_45_55,yes,regression,largest_abs_prob_up_delta,43,2379,2024-11-02T00:00:00,0.4254756125932868,0.5024659037590027,0.4733363687992096,-0.02912953495979309,1,0,True,False,0.3006663473990794,-0.1681059214523502,3.3873391643454656,1.3171953729491768,-1.698739224182915
stage2_uncertain_45_55,yes,regression,largest_abs_prob_up_delta,43,2375,2024-10-29T00:00:00,0.2437246705295641,0.5071623921394348,0.4798804223537445,-0.027281969785690308,1,0,True,False,0.2145864312293095,-0.5081047145983825,3.3873391643454656,0.1200890844950297,-2.463738670193471
stage2_uncertain_45_55,yes,regression,largest_abs_prob_up_delta,43,1030,2021-02-22T00:00:00,0.0902357228551349,0.5055533647537231,0.4783945977687835,-0.02715876698493963,1,0,True,False,2.537022569489749,2.256622313878564,0.3186096187292125,-0.1217830151082931,-2.396257284145168
stage2_uncertain_45_55,yes,regression,largest_abs_prob_up_delta,43,1240,2021-09-20T00:00:00,0.2706779537293662,0.5179932713508606,0.4914480745792389,-0.026545196771621704,1,0,True,False,0.0505882502006439,-0.5081047145983825,1.5427741827188104,0.7286436591932982,-2.207940026552597
stage2_uncertain_40_60,yes,correction,largest_abs_prob_up_delta,43,2234,2024-06-10T00:00:00,-0.0973251366120218,0.5254558324813843,0.4875709116458893,-0.037884920835494995,1,0,False,True,0.2652779374181714,-0.4991573779366448,3.3873391643454656,0.0911294732802851,-2.463738670193471
stage2_uncertain_40_60,yes,correction,largest_abs_prob_up_delta,42,1084,2021-04-17T00:00:00,-0.0448601871858891,0.5032231211662292,0.472791463136673,-0.030431658029556274,1,0,False,True,2.1884945533534554,3.811967670243965,-0.3313827504847471,-0.3206527861008317,-2.435941644374247
stage2_uncertain_40_60,yes,correction,largest_abs_prob_up_delta,43,1079,2021-04-12T00:00:00,-0.0548244236551954,0.5087913870811462,0.479749470949173,-0.029041916131973267,1,0,False,True,1.5634268361591854,3.811967670243965,0.2383727351003093,-0.2399596707010164,-2.463738670193471
stage2_uncertain_40_60,yes,correction,largest_abs_prob_up_delta,43,2229,2024-06-05T00:00:00,-0.1308149575293918,0.518187403678894,0.4912634491920471,-0.026923954486846924,1,0,False,True,0.2133111732119732,-0.5081047145983825,3.3873391643454656,1.0701561687236347,-2.0155994202039813
stage2_uncertain_40_60,yes,correction,largest_abs_prob_up_delta,42,1079,2021-04-12T00:00:00,-0.0548244236551954,0.5227197408676147,0.4971711933612823,-0.025548547506332453,1,0,False,True,1.5634268361591854,3.811967670243965,0.2383727351003093,-0.2399596707010164,-2.463738670193471
stage2_uncertain_40_60,yes,regression,largest_abs_prob_up_delta,43,2373,2024-10-27T00:00:00,0.331735607901596,0.5227682590484619,0.4930072724819183,-0.029760986566543635,1,0,True,False,0.207381223431395,-0.5081047145983825,3.3873391643454656,0.0371902216544903,-2.463738670193471
stage2_uncertain_40_60,yes,regression,largest_abs_prob_up_delta,43,2379,2024-11-02T00:00:00,0.4254756125932868,0.5024659037590027,0.4733363687992096,-0.02912953495979309,1,0,True,False,0.3006663473990794,-0.1681059214523502,3.3873391643454656,1.3171953729491768,-1.698739224182915
stage2_uncertain_40_60,yes,regression,largest_abs_prob_up_delta,43,2375,2024-10-29T00:00:00,0.2437246705295641,0.5071623921394348,0.4798804223537445,-0.027281969785690308,1,0,True,False,0.2145864312293095,-0.5081047145983825,3.3873391643454656,0.1200890844950297,-2.463738670193471
