priority,context_method,bounded_film_scale,experiment_suffix,seed_count,ok_seed_count,validation_collapse_count,test_collapse_count,validation_accuracy_mean,validation_accuracy_std,validation_accuracy_count,validation_roc_auc_mean,validation_roc_auc_std,validation_roc_auc_count,validation_average_precision_mean,validation_average_precision_std,validation_average_precision_count,validation_f1_mean,validation_f1_std,validation_f1_count,validation_brier_score_mean,validation_brier_score_std,validation_brier_score_count,validation_predicted_positive_rate_mean,validation_predicted_positive_rate_std,validation_predicted_positive_rate_count,test_num_samples_mean,test_num_samples_std,test_num_samples_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_majority_class_accuracy_mean,test_majority_class_accuracy_std,test_majority_class_accuracy_count,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_count,test_average_precision_mean,test_average_precision_std,test_average_precision_count,test_f1_mean,test_f1_std,test_f1_count,test_brier_score_mean,test_brier_score_std,test_brier_score_count,test_positive_rate_mean,test_positive_rate_std,test_positive_rate_count,test_predicted_positive_rate_mean,test_predicted_positive_rate_std,test_predicted_positive_rate_count,test_long_flat_sharpe_net_mean,test_long_flat_sharpe_net_std,test_long_flat_sharpe_net_count,test_long_short_sharpe_net_mean,test_long_short_sharpe_net_std,test_long_short_sharpe_net_count,test_long_flat_annualized_return_net_mean,test_long_flat_annualized_return_net_std,test_long_flat_annualized_return_net_count,test_long_short_annualized_return_net_mean,test_long_short_annualized_return_net_std,test_long_short_annualized_return_net_count,test_accuracy_mean_minus_stage2_ohlc_ma_vb_mean,test_accuracy_mean_minus_p7_film_full_mean,test_roc_auc_mean_minus_stage2_ohlc_ma_vb_mean,test_roc_auc_mean_minus_p7_film_full_mean
4-V9,film_full_bounded_last_block,0.02,fg_only_scale_0p02,5,5,1,1,0.591637630662021,0.16358504669169183,5,0.6612532100667694,0.1263039923649089,5,0.7536435388364937,0.08355546418770445,5,0.5367646021751331,0.3557224567967832,5,0.21904252218898987,0.03773008950096115,5,0.47038327526132406,0.33743985144089866,5,1441.0,0.0,5,0.5432338653712699,0.057272723488852956,5,0.5412907702984039,0.0,5,0.5703574614996703,0.02860082720172968,5,0.5967396974481638,0.02268409156162915,5,0.46401610694392614,0.3005011722682034,5,0.26445427732787163,0.010814894875819164,5,0.5412907702984039,0.0,5,0.46453851492019427,0.35113187183365,5,2.615664835541305,1.5548507633522821,5,0.8261290993861377,2.8858719062643483,5,5.75948834024329,4.180649337096095,5,2.3899631295999297,8.361473152788427,5,-0.036086134628730004,-0.00916613462873006,-0.014504538500329733,0.023857461499670274
4-V9,film_full_bounded_last_block,0.05,fg_only_scale_0p05,5,5,1,1,0.5930313588850173,0.1636221500618738,5,0.6633487416538264,0.13021657452771898,5,0.7542572875850762,0.08740151722401011,5,0.5353723403113306,0.3613116345661962,5,0.21869388264589645,0.03816528118370117,5,0.47874564459930313,0.3569311856798292,5,1441.0,0.0,5,0.5417071478140181,0.05650917717044807,5,0.5412907702984039,0.0,5,0.5732549749796346,0.02523733173971406,5,0.6007145633782329,0.020157758778101196,5,0.4619912801432613,0.30736948950506043,5,0.26651672101471735,0.013899357944796378,5,0.5412907702984039,0.0,5,0.4771686328938237,0.37305685288720225,5,2.6403860227884843,1.566274417673517,5,0.9318594295492655,3.0234639569907777,5,5.907131976588872,4.374326020604757,5,2.685250402291092,8.748823069367278,5,-0.03761285218598187,-0.010692852185981927,-0.011607025020365369,0.026754974979634638
4-V9,film_full_bounded_last_block,0.1,fg_only_scale_0p10,5,5,2,2,0.5909407665505226,0.16456914816697168,5,0.6615408320493066,0.12645943740535295,5,0.7516627732664871,0.08624749605780993,5,0.523285225412885,0.3662275481663137,5,0.21901473935887666,0.03774306440892237,5,0.45574912891986064,0.3522301702384175,5,1441.0,0.0,5,0.5425399028452464,0.05897742505990886,5,0.5412907702984039,0.0,5,0.576280111718841,0.02224283349899847,5,0.6033116975794892,0.018109035975408156,5,0.45036875620962447,0.3119780525323946,5,0.2643132872109379,0.010954647545208904,5,0.5412907702984039,0.0,5,0.4541290770298404,0.3656223085157165,5,2.6054259847733965,1.564936638654008,5,0.7553156381376794,2.982828098195863,5,5.656511987424793,4.322315628343811,5,2.1840104239629325,8.644796999513137,5,-0.0367800971547535,-0.009860097154753555,-0.008581888281159022,0.029780111718840985
