context_feature_set_key,context_feature_set,context_dim,context_features,modulation_scale,context_method,seed_count,collapse_warning_count,num_samples_mean,num_samples_std,num_samples_count,accuracy_mean,accuracy_std,accuracy_count,majority_class_accuracy_mean,majority_class_accuracy_std,majority_class_accuracy_count,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,f1_mean,f1_std,f1_count,brier_score_mean,brier_score_std,brier_score_count,predicted_positive_rate_mean,predicted_positive_rate_std,predicted_positive_rate_count,stage2_correct_context_wrong_mean,stage2_correct_context_wrong_std,stage2_correct_context_wrong_count,stage2_wrong_context_correct_mean,stage2_wrong_context_correct_std,stage2_wrong_context_correct_count,net_correction_mean,net_correction_std,net_correction_count,long_flat_sharpe_net_mean,long_flat_sharpe_net_std,long_flat_sharpe_net_count,long_short_sharpe_net_mean,long_short_sharpe_net_std,long_short_sharpe_net_count,long_flat_annualized_return_net_mean,long_flat_annualized_return_net_std,long_flat_annualized_return_net_count,long_short_annualized_return_net_mean,long_short_annualized_return_net_std,long_short_annualized_return_net_count,num_trainable_parameters_mean,num_trainable_parameters_std,num_trainable_parameters_count,num_frozen_parameters_mean,num_frozen_parameters_std,num_frozen_parameters_count
fsi_2,ofr_fsi_lag1_w20_60_fsi_2,2,"ofr_fsi_mean_60,ofr_fsi_delta_60",0.02,film_full_bounded_last_block,5,0,1441.0,0.0,5,0.5795975017349063,0.018118934965825804,5,0.5412907702984039,0.0,5,0.5848632607936693,0.023277507507014978,5,0.6113238110645314,0.019344469772467305,5,0.6510580160700177,0.0070812802327526415,5,0.2742557515624285,0.008911220810837556,5,0.6635669673837612,0.048352308985588795,5,1.2,1.6431676725154982,5,1.6,0.8944271909999159,5,0.4,0.8944271909999159,5,3.4484390405393617,0.3733904622616851,5,2.4148762030885096,0.5015937300859884,5,8.074036314758922,0.7166248667810791,5,7.019059078631194,1.4334021254519504,5,34944.0,0.0,5,2952962.0,0.0,5
fsi_3,ofr_fsi_lag1_w20_60_fsi_3,3,"ofr_fsi_mean_60,ofr_fsi_delta_60,ofr_fsi_std_60",0.02,film_full_bounded_last_block,5,0,1441.0,0.0,5,0.5794587092297017,0.01883312525345164,5,0.5412907702984039,0.0,5,0.5848074013732109,0.02333380003011836,5,0.6112615198185217,0.019424028035846173,5,0.6508438663574481,0.007232782795681786,5,0.2742501492801103,0.008915509507036522,5,0.6631505898681471,0.04801047218567154,5,1.6,0.8944271909999159,5,1.8,1.0954451150103324,5,0.2,1.0954451150103324,5,3.4439112379493935,0.39078494427658195,5,2.403743522434508,0.5287855869431165,5,8.057806778834722,0.7557195540850423,5,6.9866000067827985,1.5115921782277195,5,34976.0,0.0,5,2952962.0,0.0,5
fsi_all,ofr_fsi_lag1_w20_60_fsi_all,6,"ofr_fsi_value,ofr_fsi_mean_20,ofr_fsi_mean_60,ofr_fsi_delta_20,ofr_fsi_delta_60,ofr_fsi_std_60",0.02,film_full_bounded_last_block,5,0,1441.0,0.0,5,0.5798750867453158,0.01837101136185903,5,0.5412907702984039,0.0,5,0.5848586058419644,0.023232523737947857,5,0.6113303371251755,0.019311139893122407,5,0.6513191117505913,0.007254552698377798,5,0.27419019134446254,0.008863726961720674,5,0.6635669673837612,0.04550193269705902,5,1.8,1.0954451150103324,5,2.6,1.6733200530681511,5,0.8,1.0954451150103324,5,3.4396928643319455,0.3874103677500587,5,2.3972886948091743,0.5287074518859253,5,8.048562947504049,0.7555458148846915,5,6.968112344121453,1.5112431856836859,5,35072.0,0.0,5,2952962.0,0.0,5
