n12_variant,svd_dim,context_method,modulation_scale,freeze_classifier,seed_count,context_dim_mean,context_dim_std,context_dim_count,modulation_scale_mean,modulation_scale_std,modulation_scale_count,num_samples_mean,num_samples_std,num_samples_count,accuracy_mean,accuracy_std,accuracy_count,majority_class_accuracy_mean,majority_class_accuracy_std,majority_class_accuracy_count,accuracy_minus_majority_class_accuracy_mean,accuracy_minus_majority_class_accuracy_std,accuracy_minus_majority_class_accuracy_count,roc_auc_mean,roc_auc_std,roc_auc_count,f1_mean,f1_std,f1_count,brier_score_mean,brier_score_std,brier_score_count,positive_rate_mean,positive_rate_std,positive_rate_count,predicted_positive_rate_mean,predicted_positive_rate_std,predicted_positive_rate_count,long_flat_sharpe_net_mean,long_flat_sharpe_net_std,long_flat_sharpe_net_count,long_short_sharpe_net_mean,long_short_sharpe_net_std,long_short_sharpe_net_count,long_flat_annualized_return_net_mean,long_flat_annualized_return_net_std,long_flat_annualized_return_net_count,long_short_annualized_return_net_mean,long_short_annualized_return_net_std,long_short_annualized_return_net_count,num_trainable_parameters_mean,num_trainable_parameters_std,num_trainable_parameters_count,num_frozen_parameters_mean,num_frozen_parameters_std,num_frozen_parameters_count
n12a_uncertainty_gated_news_film,32,film_full_uncertainty_gated_last_block,0.02,True,5,102.0,0.0,5,0.02,0.0,5,1441.0,0.0,5,0.5790423317140874,0.017655857813342394,5,0.5412907702984039,0.0,5,,,0,0.5851099732340277,0.023407317848320598,5,0.648710801330709,0.007195793839135215,5,0.274057360738357,0.00886419881139,5,0.5412907702984039,0.0,5,0.6571825121443442,0.049058291630023454,5,3.437834789577926,0.37668581026767683,5,2.369980664959387,0.5019185147787489,5,8.00979818644678,0.7178213018938767,5,6.890582822006911,1.4357853018815467,5,38144.0,0.0,5,2952962.0,0.0,5
n12a_uncertainty_gated_news_film,32,film_full_uncertainty_gated_last_block,0.05,True,5,102.0,0.0,5,0.05,0.0,5,1441.0,0.0,5,0.5786259541984733,0.01763402338506227,5,0.5412907702984039,0.0,5,,,0,0.5854556033981148,0.02356983318666943,5,0.6462382682568195,0.0046987169855791785,5,0.27373652195016873,0.008752737646574815,5,0.5412907702984039,0.0,5,0.6498265093684942,0.04725726849226377,5,3.4220071825893017,0.384024938853413,5,2.3091954920773383,0.49276212296607247,5,7.9228048465014975,0.7052879896844808,5,6.716596142116346,1.4107036667271842,5,38144.0,0.0,5,2952962.0,0.0,5
