analysis_group,run_seed,sample_index,Date,label,future_return,prob_up_stage2,prob_up_stage4,prob_up_delta_stage4_minus_stage2,stage2_true_prob,stage4_true_prob,true_prob_delta_stage4_minus_stage2,transition,funding_rate_mean_20_normalized,funding_rate_max_7_normalized,cot_open_interest_normalized,cot_lev_money_net_ratio_normalized,cot_open_interest_change_20_normalized
stage2_correct_to_stage4_wrong,43,2373,2024-10-27T00:00:00,1,0.331735607901596,0.5227682590484619,0.4930072724819183,-0.0297609865665436,0.5227682590484619,0.4930072724819183,-0.0297609865665436,stage2_correct_to_stage4_wrong,0.207381223431395,-0.5081047145983825,2.556624089605518,-2.463738670193471,3.3873391643454656
stage2_correct_to_stage4_wrong,43,2379,2024-11-02T00:00:00,1,0.4254756125932868,0.5024659037590027,0.4733363687992096,-0.029129534959793,0.5024659037590027,0.4733363687992096,-0.029129534959793,stage2_correct_to_stage4_wrong,0.3006663473990794,-0.1681059214523502,2.556624089605518,-1.698739224182915,3.3873391643454656
stage2_correct_to_stage4_wrong,43,2375,2024-10-29T00:00:00,1,0.2437246705295641,0.5071623921394348,0.4798804223537445,-0.0272819697856903,0.5071623921394348,0.4798804223537445,-0.0272819697856903,stage2_correct_to_stage4_wrong,0.2145864312293095,-0.5081047145983825,2.556624089605518,-2.463738670193471,3.3873391643454656
stage2_correct_to_stage4_wrong,43,1030,2021-02-22T00:00:00,1,0.0902357228551349,0.5055533647537231,0.4783945977687835,-0.0271587669849396,0.5055533647537231,0.4783945977687835,-0.0271587669849396,stage2_correct_to_stage4_wrong,2.537022569489749,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
stage2_correct_to_stage4_wrong,43,1240,2021-09-20T00:00:00,1,0.2706779537293662,0.5179932713508606,0.4914480745792389,-0.0265451967716217,0.5179932713508606,0.4914480745792389,-0.0265451967716217,stage2_correct_to_stage4_wrong,0.0505882502006439,-0.5081047145983825,2.556624089605518,-2.207940026552597,1.5427741827188104
stage2_correct_to_stage4_wrong,43,1544,2022-07-21T00:00:00,1,0.034634304573347,0.5208138227462769,0.4956963956356048,-0.025117427110672,0.5208138227462769,0.4956963956356048,-0.025117427110672,stage2_correct_to_stage4_wrong,-0.0018886172124607,-0.5081047145983825,2.556624089605518,-2.231057411053561,3.3873391643454656
stage2_wrong_to_stage4_correct,43,2234,2024-06-10T00:00:00,0,-0.0973251366120218,0.5254558324813843,0.4875709116458893,-0.0378849208354949,0.4745441377162933,0.5124290585517883,0.037884920835495,stage2_wrong_to_stage4_correct,0.2652779374181714,-0.4991573779366448,2.556624089605518,-2.463738670193471,3.3873391643454656
stage2_wrong_to_stage4_correct,42,1084,2021-04-17T00:00:00,0,-0.0448601871858891,0.5032231211662292,0.472791463136673,-0.0304316580295562,0.4967768788337707,0.5272085666656494,0.0304316878318787,stage2_wrong_to_stage4_correct,2.1884945533534554,3.811967670243965,1.4099933071734247,-2.435941644374247,-0.3313827504847471
stage2_wrong_to_stage4_correct,43,1079,2021-04-12T00:00:00,0,-0.0548244236551954,0.5087913870811462,0.479749470949173,-0.0290419161319732,0.4912086129188537,0.5202505588531494,0.0290419459342957,stage2_wrong_to_stage4_correct,1.5634268361591854,3.811967670243965,1.4807194421386862,-2.463738670193471,0.2383727351003093
stage2_wrong_to_stage4_correct,43,2229,2024-06-05T00:00:00,0,-0.1308149575293918,0.518187403678894,0.4912634491920471,-0.0269239544868469,0.4818126261234283,0.5087365508079529,0.0269239246845245,stage2_wrong_to_stage4_correct,0.2133111732119732,-0.5081047145983825,2.556624089605518,-2.0155994202039813,3.3873391643454656
stage2_wrong_to_stage4_correct,42,1079,2021-04-12T00:00:00,0,-0.0548244236551954,0.5227197408676147,0.4971711933612823,-0.0255485475063324,0.4772802591323852,0.5028287768363953,0.02554851770401,stage2_wrong_to_stage4_correct,1.5634268361591854,3.811967670243965,1.4807194421386862,-2.463738670193471,0.2383727351003093
stage2_wrong_to_stage4_correct,43,2171,2024-04-08T00:00:00,0,-0.1187012007819044,0.5031680464744568,0.4779429733753204,-0.0252250730991364,0.496832013130188,0.522057056427002,0.0252250432968139,stage2_wrong_to_stage4_correct,0.7294080928253545,0.596891363126222,2.556624089605518,-1.664931803876669,-2.759836687106325
extreme_high_funding_20d,42,1031,2021-02-23T00:00:00,1,0.1373299789327278,0.6206315159797668,0.5888651013374329,-0.0317664146423339,0.6206315159797668,0.5888651013374329,-0.0317664146423339,both_correct,2.692030181496206,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
extreme_high_funding_20d,42,1032,2021-02-24T00:00:00,1,0.1454328229614987,0.6556409597396851,0.6278948187828064,-0.0277461409568786,0.6556409597396851,0.6278948187828064,-0.0277461409568786,both_correct,2.657725740830016,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
extreme_high_funding_20d,43,1031,2021-02-23T00:00:00,1,0.1373299789327278,0.8098564147949219,0.7917802929878235,-0.0180761218070983,0.8098564147949219,0.7917802929878235,-0.0180761218070983,both_correct,2.692030181496206,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
extreme_high_funding_20d,43,1032,2021-02-24T00:00:00,1,0.1454328229614987,0.5548756122589111,0.5277630686759949,-0.0271125435829162,0.5548756122589111,0.5277630686759949,-0.0271125435829162,both_correct,2.657725740830016,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
extreme_high_funding_20d,44,1031,2021-02-23T00:00:00,1,0.1373299789327278,0.6385002732276917,0.6282953023910522,-0.0102049708366394,0.6385002732276917,0.6282953023910522,-0.0102049708366394,both_correct,2.692030181496206,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
extreme_high_funding_20d,44,1032,2021-02-24T00:00:00,1,0.1454328229614987,0.4678105413913727,0.4577624797821045,-0.0100480616092681,0.4678105413913727,0.4577624797821045,-0.0100480616092681,both_wrong,2.657725740830016,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
