group,num_features,best_feature,max_train_only_candidate_score,mean_train_only_candidate_score,max_train_abs_auc_lift,max_abs_train_spearman_future_return,max_abs_train_spearman_end_index,max_test_abs_spearman_stage2_error_rate,mean_missing_rate_train
bitmex_funding,15,funding_rate_max_7,0.44144970596336996,0.2627680593713527,0.19649042516915233,0.44144970596336996,0.6339191500317133,0.047793980066955545,0.0
bitmex_activity,13,bitmex_foreignnotional_mean_60,0.29925160178754107,0.20019981295540565,0.14962580089377053,0.28618755593662604,0.6213863643842162,0.05114588138072128,0.0
cftc_cme_oi_positioning,18,cot_open_interest,0.22925376692093768,0.10943774101171956,0.11277122705001885,0.22925376692093768,0.875174558252982,0.10859568511714407,0.0
