run_seed,sample_index,Date_stage2,label_stage2,future_return_stage2,entry_close_stage2,exit_close_stage2,prob_down_stage2,prob_up_stage2,pred_class_stage2,correct_stage2,logit_down_stage2,logit_up_stage2,Date_stage4,label_stage4,future_return_stage4,entry_close_stage4,exit_close_stage4,prob_down_stage4,prob_up_stage4,pred_class_stage4,correct_stage4,logit_down_stage4,logit_up_stage4,label,Date,future_return,stage2_correct,stage4_correct,stage2_margin,stage4_margin,prob_up_delta_stage4_minus_stage2,stage2_true_prob,stage4_true_prob,true_prob_delta_stage4_minus_stage2,transition,funding_missing,activity_missing,cftc_missing,funding_rate_mean_7_missing,funding_rate_sum_7_missing,funding_rate_abs_mean_7_missing,funding_rate_min_7_missing,funding_rate_max_7_missing,funding_rate_mean_20_missing,funding_rate_sum_20_missing,funding_rate_abs_mean_20_missing,funding_rate_min_20_missing,funding_rate_max_20_missing,funding_rate_mean_60_missing,funding_rate_sum_60_missing,funding_rate_abs_mean_60_missing,funding_rate_min_60_missing,funding_rate_max_60_missing,bitmex_trades_mean_7_missing,bitmex_trades_mean_20_missing,bitmex_trades_mean_60_missing,bitmex_volume_mean_7_missing,bitmex_volume_mean_20_missing,bitmex_volume_mean_60_missing,bitmex_turnover_mean_7_missing,bitmex_turnover_mean_20_missing,bitmex_turnover_mean_60_missing,bitmex_homenotional_mean_20_missing,bitmex_homenotional_mean_60_missing,bitmex_foreignnotional_mean_20_missing,bitmex_foreignnotional_mean_60_missing,cot_open_interest_missing,cot_lev_money_net_ratio_missing,cot_asset_mgr_net_ratio_missing,cot_dealer_net_ratio_missing,cot_other_rept_net_ratio_missing,cot_nonrept_net_ratio_missing,cot_age_days_missing,cot_open_interest_change_20_missing,cot_open_interest_pct_change_20_missing,cot_open_interest_change_60_missing,cot_open_interest_pct_change_60_missing,cot_open_interest_zscore_60_missing,cot_lev_money_net_ratio_change_20_missing,cot_lev_money_net_ratio_change_60_missing,cot_asset_mgr_net_ratio_change_20_missing,cot_asset_mgr_net_ratio_change_60_missing,cot_dealer_net_ratio_change_20_missing,cot_dealer_net_ratio_change_60_missing,funding_rate_mean_7_normalized,funding_rate_sum_7_normalized,funding_rate_abs_mean_7_normalized,funding_rate_min_7_normalized,funding_rate_max_7_normalized,funding_rate_mean_20_normalized,funding_rate_sum_20_normalized,funding_rate_abs_mean_20_normalized,funding_rate_min_20_normalized,funding_rate_max_20_normalized,funding_rate_mean_60_normalized,funding_rate_sum_60_normalized,funding_rate_abs_mean_60_normalized,funding_rate_min_60_normalized,funding_rate_max_60_normalized,context_features_path,context_features_available,selection_score
43,1079,2021-04-12T00:00:00,0,-0.0548244236551954,59860.0,56578.21,0.4912086129188537,0.5087913870811462,1,0,0.2204248309135437,0.2555940151214599,2021-04-12T00:00:00,0,-0.0548244236551954,59860.0,56578.21,0.516115128993988,0.4838849008083343,0,1,0.27338707447052,0.2089042514562606,0,2021-04-12T00:00:00,-0.0548244236551954,False,True,0.00879138708114624,0.016115099191665705,-0.024906486272811945,0.4912086129188537,0.516115128993988,0.024906516075134333,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.7455476960583045,1.7455476960583052,1.3590847625554798,0.8387712634986899,3.811967670243965,1.5634268361591854,1.5634268361591797,1.0473179300100472,0.997406047263887,2.591181273412805,2.382716007536652,2.38271600753664,1.203433823801534,1.226898159222681,1.627379179209812,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_43/context_features.csv,True,0.024906516075134333
42,1084,2021-04-17T00:00:00,0,-0.0448601871858891,60006.66,57314.75,0.4967768788337707,0.5032231211662292,1,0,0.6372184157371521,0.6501110792160034,2021-04-17T00:00:00,0,-0.0448601871858891,60006.66,57314.75,0.5190450549125671,0.4809549152851105,0,1,0.6829606890678406,0.6067435145378113,0,2021-04-17T00:00:00,-0.0448601871858891,False,True,0.003223121166229248,0.019045084714889526,-0.022268205881118774,0.4967768788337707,0.5190450549125671,0.022268176078796442,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.743488742055245,2.743488742055271,2.6571024944566424,0.8387712634986899,3.811967670243965,2.1884945533534554,2.188494553353453,1.954784845358216,1.0409365737576746,2.591181273412805,2.4257579933544005,2.425757993354364,1.3159406918835037,1.226898159222681,1.627379179209812,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_42/context_features.csv,True,0.022268176078796442
43,1087,2021-04-20T00:00:00,0,-0.010790607000443,56425.0,55816.14,0.4880871474742889,0.5119128227233887,1,0,-0.2061410397291183,-0.1584806144237518,2021-04-20T00:00:00,0,-0.010790607000443,56425.0,55816.14,0.5060093998908997,0.4939905405044555,0,1,-0.1673158407211303,-0.1913547813892364,0,2021-04-20T00:00:00,-0.010790607000443,False,True,0.011912822723388672,0.006009459495544489,-0.01792228221893316,0.4880871474742889,0.5060093998908997,0.017922252416610773,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3067412729505676,1.306741272950592,0.8024648288434553,0.6195757030629069,1.879342951308624,2.039799468532776,2.039799468532781,1.745205625083976,0.8742768437528889,2.591181273412805,2.112455401355494,2.112455401355506,0.8724202215652875,1.1969567631734694,1.627379179209812,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_43/context_features.csv,True,0.017922252416610773
43,1077,2021-04-10T00:00:00,0,-0.0347145759023094,59769.13,57694.27,0.4975086748600006,0.502491295337677,1,0,0.6230800747871399,0.6330454349517822,2021-04-10T00:00:00,0,-0.0347145759023094,59769.13,57694.27,0.5149636268615723,0.4850364029407501,0,1,0.6595604419708252,0.5996881723403931,0,2021-04-10T00:00:00,-0.0347145759023094,False,True,0.002491295337677002,0.014963597059249878,-0.01745489239692688,0.4975086748600006,0.5149636268615723,0.017454952001571655,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0648064861388002,1.064806486138837,0.4736475267028944,0.8387712634986899,1.7227645597282146,1.2273963485927453,1.2273963485927384,0.5594723068452137,0.9302446635306154,1.003753018129164,2.380113907585462,2.3801139075854434,1.200220489475745,1.226898159222681,0.6468285710762035,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_43/context_features.csv,True,0.017454952001571655
43,1657,2022-11-11T00:00:00,0,-0.0054445408431365,17070.31,16977.37,0.4901643991470337,0.5098356008529663,1,0,0.0904304012656211,0.1297778040170669,2022-11-11T00:00:00,0,-0.0054445408431365,17070.31,16977.37,0.505655825138092,0.4943441450595855,0,1,0.1237231120467186,0.1010987013578414,0,2022-11-11T00:00:00,-0.0054445408431365,False,True,0.009835600852966309,0.005655854940414484,-0.015491455793380793,0.4901643991470337,0.505655825138092,0.01549142599105835,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.0058612599026064,-1.0058612599025545,0.5281039951990755,-3.4110053485323863,-0.5081047145983825,-0.3736900921650144,-0.3736900921649962,-0.4565796020460827,-2.1902722214097348,-0.6913166962921962,-0.3623693359779987,-0.3623693359779934,-1.0928148854133484,-1.038667475167653,-1.0961635933338731,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_43/context_features.csv,True,0.01549142599105835
44,991,2021-01-14T00:00:00,0,-0.0389743131218944,39144.5,37618.87,0.4944654703140259,0.5055345296859741,1,0,-0.0373490005731582,-0.0152100184932351,2021-01-14T00:00:00,0,-0.0389743131218944,39144.5,37618.87,0.5083051919937134,0.491694837808609,0,1,-0.0100477328523993,-0.0432715266942977,0,2021-01-14T00:00:00,-0.0389743131218944,False,True,0.005534529685974121,0.008305162191390991,-0.013839691877365112,0.4944654703140259,0.5083051919937134,0.0138397216796875,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.8898456567524613,1.889845656752502,1.5467725146621982,0.8387712634986899,1.2709240583104615,1.8557159737311424,1.855715973731184,1.4716603088690785,1.0409365737576746,1.08986618543934,1.5969468747740572,1.5969468747740982,0.2330871907687677,1.226898159222681,0.3817132580429557,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_44/context_features.csv,True,0.0138397216796875
42,1075,2021-04-08T00:00:00,0,-0.0556377062932438,58077.52,54846.22,0.4970049560070038,0.5029950737953186,1,0,0.493959903717041,0.5059403777122498,2021-04-08T00:00:00,0,-0.0556377062932438,58077.52,54846.22,0.5106655955314636,0.4893343448638916,0,1,0.521617591381073,0.4789486229419708,0,2021-04-08T00:00:00,-0.0556377062932438,False,True,0.0029950737953186035,0.010665655136108398,-0.013660728931427002,0.4970049560070038,0.5106655955314636,0.013660639524459839,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.801796734999994,1.8017967350000077,1.4322476515273157,0.8387712634986899,1.7227645597282146,1.226121090575409,1.2261210905754083,0.5576209003056793,0.9302446635306154,1.003753018129164,2.4257579933544005,2.425757993354364,1.2667365100197434,1.226898159222681,0.6468285710762035,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_42/context_features.csv,True,0.013660639524459839
42,1070,2021-04-03T00:00:00,0,-0.1038842850917953,57051.94,51125.14,0.4876249730587005,0.512374997138977,1,0,0.5836517810821533,0.6331619620323181,2021-04-03T00:00:00,0,-0.1038842850917953,57051.94,51125.14,0.5005127191543579,0.4994872808456421,0,1,0.6097099781036377,0.607659101486206,0,2021-04-03T00:00:00,-0.1038842850917953,False,True,0.01237499713897705,0.0005127191543579102,-0.012887716293334961,0.4876249730587005,0.5005127191543579,0.012887746095657404,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6317712309262824,1.6317712309262251,1.2110961916806704,0.8387712634986899,1.3469764199352314,1.2157277377341948,1.2157277377341698,0.542531937008587,0.9302446635306154,0.718219884416475,2.399824814715766,2.3998248147157497,1.2245614969936611,1.226898159222681,0.6468285710762035,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_42/context_features.csv,True,0.012887746095657404
45,1091,2021-04-24T00:00:00,0,-0.0041238542962094,50047.84,49841.45,0.4910986423492431,0.5089013576507568,1,0,-0.5853012204170227,-0.549691915512085,2021-04-24T00:00:00,0,-0.0041238542962094,50047.84,49841.45,0.5033987164497375,0.4966013133525848,0,1,-0.5603373646736145,-0.573932409286499,0,2021-04-24T00:00:00,-0.0041238542962094,False,True,0.008901357650756836,0.0033986866474152166,-0.012300044298172053,0.4910986423492431,0.5033987164497375,0.01230007410049444,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2044518677805047,0.2044518677805239,-0.6312783760651782,0.6195757030629069,-0.2471407286310331,1.5499728640763282,1.5499728640763484,1.034080373252406,0.8742768437528889,2.591181273412805,1.843821107643849,1.8438211076438675,0.5406836191057687,1.1969567631734694,1.627379179209812,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_45/context_features.csv,True,0.01230007410049444
42,1069,2021-04-02T00:00:00,0,-0.1231390800442613,58950.01,51690.96,0.4979059100151062,0.5020941495895386,1,0,0.323502629995346,0.3318790793418884,2021-04-02T00:00:00,0,-0.1231390800442613,58950.01,51690.96,0.5093340277671814,0.4906659424304962,0,1,0.3466361463069916,0.3092956244945526,0,2021-04-02T00:00:00,-0.1231390800442613,False,True,0.0020941495895385742,0.009334057569503784,-0.011428207159042358,0.4979059100151062,0.5093340277671814,0.011428117752075195,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2313164252788154,1.2313164252787632,0.6902263059890064,0.8387712634986899,1.0084688495661556,1.1241004491890332,1.124100449189013,0.4095083771437091,0.9302446635306154,0.5709210455964371,2.317370772512229,2.317370772512213,1.1227389655449538,1.226898159222681,0.6468285710762035,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only/seed_42/context_features.csv,True,0.011428117752075195
