model,context,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,brier_score_mean,predicted_positive_rate_mean,predicted_positive_rate_std,long_flat_sharpe_net_mean,long_short_sharpe_net_mean,accuracy_mean_delta_vs_stage2,roc_auc_mean_delta_vs_stage2,f1_mean_delta_vs_stage2,brier_score_mean_delta_vs_stage2,predicted_positive_rate_mean_delta_vs_stage2,long_flat_sharpe_net_mean_delta_vs_stage2,long_short_sharpe_net_mean_delta_vs_stage2
Stage2 baseline,"visual only, I60/R20/ohlc_ma_vb",0.5793199167244969,0.0182183337383599,0.5848619030994221,0.0232503983423101,0.6510711809366792,0.2743367621571529,0.6643997224149896,0.0485912540899883,3.4423121472519123,2.407759221482054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N8-B F&G-only s0.02,F&G-only bounded final-block FiLM,0.5802914642609299,0.0179721556979971,0.5849295938554637,0.0231089457506323,0.6508144715377929,0.2740042133344558,0.6606523247744622,0.0452860399116043,3.444514918960821,2.3933701589521745,0.0009715475364330262,6.769075604162733e-05,-0.00025670939888622346,-0.0003325488226971207,-0.003747397640527339,0.002202771708908813,-0.014389062529879482
N9-A news SVD8 s0.02,"headline news SVD8, bounded final-block FiLM",0.5794587092297017,0.0183801840918099,0.5856697311765391,0.0230734373951102,0.6475086880015665,0.2733671140529689,0.6517696044413601,0.0460777530463637,3.4305263887117574,2.336906474984788,0.0001387925052047656,0.0008078280771169899,-0.003562492935112682,-0.0009696481041840399,-0.012630117973629451,-0.011785758540154845,-0.07085274649726614
N9 grid news SVD32 s0.02,headline news grid candidate,0.5797362942401112,0.0168819845935637,0.5853526125916444,0.0232644068383443,0.6493071728594003,0.2737645481156019,0.657321304649549,0.0485882807232906,3.4457130455675498,2.379196604257179,0.0004163775156142968,0.0004907094922222965,-0.0017640080772788336,-0.0005722140415510002,-0.007078417765440603,0.0034008983156375017,-0.028562617224875186
N9 grid news SVD8 s0.05,headline news grid candidate,0.5786259541984733,0.0166724406611466,0.5866189534116917,0.0227801194555697,0.642979511004582,0.2723265818776449,0.6390006939625261,0.0409214349873278,3.442392721111864,2.3015200741820854,-0.000693962526023606,0.0017570503122695813,-0.0080916699320972,-0.0020101802795080004,-0.025399028452463446,8.057385995163813e-05,-0.10623914729996864
