split,feature,num_rows,raw_missing_rate,raw_mean,raw_std,raw_min,raw_max,normalized_mean,normalized_std,normalized_min,normalized_max
test,fg_value,1441,0.0,49.20263705759889,22.181336284698105,6.0,95.0,0.2868798841845008,1.0560311209913638,-1.583036305125836,2.4224520366820568
test,fg_mean_60,1441,0.0,49.45468424705066,19.25982031021263,11.9,91.5,0.5231291957475395,1.2480053628933399,-1.5871386212959537,2.2878979837956224
test,fg_delta_60,1441,0.0,-0.5475364330326162,23.383431469369036,-74.0,68.0,-0.16963552996313813,0.9392880760791935,-2.317843389844567,1.9395764536484477
test,fg_std_60,1441,0.0,10.517467300030095,5.292355380580642,2.622286957767905,24.306806317024282,-0.5003082117314192,1.3398201569316919,-1.9007561365567003,2.672277817693594
test,bb_percent_b_60,1441,0.0,0.5605128706034481,0.3695879922044534,-0.5394199636984135,1.755758359301177,0.023073285921191768,1.0417968824755843,-2.7451262462965578,2.1813584490546862
test,bb_bandwidth_60,1441,0.0,0.39806385133049227,0.21340987983531437,0.08150877115552699,1.1914050402008467,-0.23630826519868198,0.9571955651273195,-1.8420075912999077,2.3848342349043534
test,mfi_60,1441,0.0,52.1407075042667,10.686643330958374,23.313946305593333,76.19847690232909,-0.003125168958676688,1.0790065239404099,-2.3506161690658343,1.9814427605476943
test,rv_60,1441,0.0,0.031073308063868203,0.009140388612949803,0.014727257892063235,0.05674811435107665,-0.3291141528654262,0.6622040881563064,-1.2936961628978405,1.533349327340524
train,fg_value,671,0.0,43.189269746646794,21.004469141300916,5.0,95.0,-1.3766103673444563e-16,1.0000000000000009,-1.583036305125836,2.4224520366820568
train,fg_mean_60,671,0.0,41.45953800298063,14.267768925313732,17.866666666666667,79.68333333333334,-3.176793155410284e-16,1.0000000000000009,-1.5871386212959537,2.2878979837956224
train,fg_delta_60,671,0.0,3.5543964232488823,24.891471271749985,-79.0,55.0,0.0,0.9999999999999979,-2.317843389844567,1.9395764536484477
train,fg_std_60,671,0.0,12.56613189007722,3.748233767875999,5.194521686888729,23.387383825948238,-4.553403522754741e-16,1.0,-1.9007561365567003,2.672277817693594
train,bb_percent_b_60,671,0.0,0.5506305890732565,0.3577431203076318,-0.7581738908056971,1.7332857260344696,2.9650069450495986e-16,1.0000000000000002,-2.7451262462965578,2.1813584490546862
train,bb_bandwidth_60,671,0.0,0.4471418365905904,0.2202026216437015,0.07761322798803942,1.0407496177181776,-4.765189733115426e-16,0.9999999999999996,-1.8420075912999077,2.3848342349043534
train,mfi_60,671,0.0,52.18558190866367,9.873081706934649,23.931174875509697,76.53114843908395,2.117862103606856e-16,0.9999999999999994,-2.3506161690658343,1.9814427605476943
train,rv_60,671,0.0,0.035675303294780365,0.013876532895473916,0.016461437893462164,0.08196809535109227,2.0119689984265133e-16,1.0000000000000002,-1.2936961628978405,3.2283755161818988
validation,fg_value,287,0.0,42.637630662020904,18.88017539530992,8.0,95.0,-0.025900220032772796,0.8980627311930774,-1.583036305125836,2.4224520366820568
validation,fg_mean_60,287,0.0,40.71260162601626,13.028593696322757,17.95,80.3,-0.05202472528918466,0.9111851127924441,-1.5871386212959537,2.2878979837956224
validation,fg_delta_60,287,0.0,1.9059233449477353,24.341821021202794,-67.0,52.0,-0.06468773113877412,0.9749859096713325,-2.317843389844567,1.9395764536484477
validation,fg_std_60,287,0.0,12.014761353369455,3.5726270305690577,5.243620462577106,23.131147831441545,-0.14777580027246953,0.953120703807012,-1.9007561365567003,2.672277817693594
validation,bb_percent_b_60,287,0.0,0.556033314313324,0.3647754233458387,-0.6510238444699971,1.4987491595167937,0.012893463458798072,1.0234799100390564,-2.7451262462965578,2.1813584490546862
validation,bb_bandwidth_60,287,0.0,0.41610608157168866,0.20325194111985803,0.07877927969761374,1.0377633056457871,-0.1384240768496934,0.941303085775296,-1.8420075912999077,2.3848342349043534
validation,mfi_60,287,0.0,51.87786745015877,9.089944167539365,26.098351545843784,70.04164304061939,-0.02995548225711236,0.928460418766896,-2.3506161690658343,1.8321562205872461
validation,rv_60,287,0.0,0.034875008033113344,0.013478597417650121,0.016750180454097395,0.08180198889451279,-0.058952037051272665,0.969935412193244,-1.2936961628978405,3.2283755161818988
