feature,family,source_feature,num_rows_all,missing_rate_all,missing_rate_train,train_mean,train_std,train_unique,train_corr_label,train_abs_corr_label,train_corr_future_return,train_abs_corr_future_return,train_spearman_future_return,train_abs_spearman_future_return,test_corr_stage2_error_rate,test_abs_corr_stage2_error_rate,test_corr_stage2_prob_up_mean,test_abs_corr_stage2_prob_up_mean,test_corr_stage2_uncertainty,test_abs_corr_stage2_uncertainty,train_only_candidate_score
news__news_svd_60d_09_normalized,news,news_svd_60d_09_normalized,2399,0.0,0.0,-1.1912974332788566e-17,1.0007459904058746,659,0.25841319498990856,0.25841319498990856,0.35004789435594225,0.35004789435594225,0.30997467736216955,0.30997467736216955,-0.011102229500111515,0.011102229500111515,0.15073759584048105,0.15073759584048105,-0.19617848167688334,0.19617848167688334,0.35004789435594225
news__news_svd_20d_09_normalized,news,news_svd_20d_09_normalized,2399,0.0,0.0,2.117862103606856e-17,1.000745990405874,656,0.2751522867491358,0.2751522867491358,0.340646675712233,0.340646675712233,0.3163026452938461,0.3163026452938461,-0.057881023393061164,0.057881023393061164,0.0467582435530825,0.0467582435530825,-0.07792161541336123,0.07792161541336123,0.340646675712233
news__news_svd_20d_18_normalized,news,news_svd_20d_18_normalized,2399,0.0,0.0,1.588396577705142e-17,1.0007459904058735,656,0.19788801283859803,0.19788801283859803,0.286752239817304,0.286752239817304,0.3120746718353069,0.3120746718353069,0.07464085478205608,0.07464085478205608,-0.055455793818604306,0.055455793818604306,-0.059820597887483444,0.059820597887483444,0.3120746718353069
news__news_svd_7d_09_normalized,news,news_svd_7d_09_normalized,2399,0.0,0.0,-1.058931051803428e-17,1.0007459904058742,651,0.24841301212802047,0.24841301212802047,0.3109558958683148,0.3109558958683148,0.2859118840669078,0.2859118840669078,0.013183736240256077,0.013183736240256077,0.10910689585252142,0.10910689585252142,-0.09870241405370683,0.09870241405370683,0.3109558958683148
news__news_svd_60d_17_normalized,news,news_svd_60d_17_normalized,2399,0.0,0.0,-1.058931051803428e-17,1.0007459904058735,659,0.2348189220055868,0.2348189220055868,0.2923211761262622,0.2923211761262622,0.3108353817217217,0.3108353817217217,0.008030149744306379,0.008030149744306379,-0.16660275971727595,0.16660275971727595,0.14503559632234855,0.14503559632234855,0.3108353817217217
news__news_svd_7d_18_normalized,news,news_svd_7d_18_normalized,2399,0.0,0.0,1.323663814754285e-17,1.0007459904058726,651,0.19295304940061692,0.19295304940061692,0.2778045650435183,0.2778045650435183,0.2925564159314174,0.2925564159314174,0.07288615143866682,0.07288615143866682,0.04583938859397666,0.04583938859397666,-0.1300815724450932,0.1300815724450932,0.2925564159314174
news__news_svd_7d_20_normalized,news,news_svd_7d_20_normalized,2399,0.0,0.0,1.058931051803428e-17,1.0007459904058733,654,-0.22994278218082936,0.22994278218082936,-0.25597521074659557,0.25597521074659557,-0.286282698156989,0.286282698156989,-0.051965547829080895,0.051965547829080895,0.09150910035882336,0.09150910035882336,-0.11486940814780536,0.11486940814780536,0.286282698156989
news__news_svd_20d_27_normalized,news,news_svd_20d_27_normalized,2399,0.0,0.0,-5.29465525901714e-18,1.0007459904058738,656,0.28169187849340316,0.28169187849340316,0.19042267267858504,0.19042267267858504,0.22218506365702734,0.22218506365702734,0.025824526327041884,0.025824526327041884,-0.06843513849048512,0.06843513849048512,0.03396014071817994,0.03396014071817994,0.28169187849340316
news__news_svd_60d_21_normalized,news,news_svd_60d_21_normalized,2399,0.0,0.0,-2.382594866557713e-17,1.0007459904058744,659,-0.16565352680341955,0.16565352680341955,-0.2646672904687185,0.2646672904687185,-0.24796475930242556,0.24796475930242556,-0.0867094056385669,0.0867094056385669,-0.19198282031740013,0.19198282031740013,0.1976457169164792,0.1976457169164792,0.2646672904687185
news__news_svd_20d_20_normalized,news,news_svd_20d_20_normalized,2399,0.0,0.0,-5.29465525901714e-18,1.0007459904058738,656,-0.19933797204551393,0.19933797204551393,-0.2194285851604768,0.2194285851604768,-0.2457546761131658,0.2457546761131658,0.016471823212714967,0.016471823212714967,0.12476548065953375,0.12476548065953375,-0.10048633039012216,0.10048633039012216,0.2457546761131658
