run_seed,sample_index,Date_stage2,label_stage2,future_return_stage2,entry_close_stage2,exit_close_stage2,prob_down_stage2,prob_up_stage2,pred_class_stage2,correct_stage2,logit_down_stage2,logit_up_stage2,Date_stage4,label_stage4,future_return_stage4,entry_close_stage4,exit_close_stage4,prob_down_stage4,prob_up_stage4,pred_class_stage4,correct_stage4,logit_down_stage4,logit_up_stage4,label,Date,future_return,stage2_correct,stage4_correct,stage2_margin,stage4_margin,prob_up_delta_stage4_minus_stage2,stage2_true_prob,stage4_true_prob,true_prob_delta_stage4_minus_stage2,transition,funding_missing,activity_missing,cftc_missing,funding_rate_mean_7_missing,funding_rate_sum_7_missing,funding_rate_abs_mean_7_missing,funding_rate_min_7_missing,funding_rate_max_7_missing,funding_rate_mean_20_missing,funding_rate_sum_20_missing,funding_rate_abs_mean_20_missing,funding_rate_min_20_missing,funding_rate_max_20_missing,funding_rate_mean_60_missing,funding_rate_sum_60_missing,funding_rate_abs_mean_60_missing,funding_rate_min_60_missing,funding_rate_max_60_missing,bitmex_trades_mean_7_missing,bitmex_trades_mean_20_missing,bitmex_trades_mean_60_missing,bitmex_volume_mean_7_missing,bitmex_volume_mean_20_missing,bitmex_volume_mean_60_missing,bitmex_turnover_mean_7_missing,bitmex_turnover_mean_20_missing,bitmex_turnover_mean_60_missing,bitmex_homenotional_mean_20_missing,bitmex_homenotional_mean_60_missing,bitmex_foreignnotional_mean_20_missing,bitmex_foreignnotional_mean_60_missing,cot_open_interest_missing,cot_lev_money_net_ratio_missing,cot_asset_mgr_net_ratio_missing,cot_dealer_net_ratio_missing,cot_other_rept_net_ratio_missing,cot_nonrept_net_ratio_missing,cot_age_days_missing,cot_open_interest_change_20_missing,cot_open_interest_pct_change_20_missing,cot_open_interest_change_60_missing,cot_open_interest_pct_change_60_missing,cot_open_interest_zscore_60_missing,cot_lev_money_net_ratio_change_20_missing,cot_lev_money_net_ratio_change_60_missing,cot_asset_mgr_net_ratio_change_20_missing,cot_asset_mgr_net_ratio_change_60_missing,cot_dealer_net_ratio_change_20_missing,cot_dealer_net_ratio_change_60_missing,funding_rate_mean_7_normalized,funding_rate_sum_7_normalized,funding_rate_abs_mean_7_normalized,funding_rate_min_7_normalized,funding_rate_max_7_normalized,funding_rate_mean_20_normalized,funding_rate_sum_20_normalized,funding_rate_abs_mean_20_normalized,funding_rate_min_20_normalized,funding_rate_max_20_normalized,funding_rate_mean_60_normalized,funding_rate_sum_60_normalized,funding_rate_abs_mean_60_normalized,funding_rate_min_60_normalized,funding_rate_max_60_normalized,bitmex_trades_mean_7_normalized,bitmex_trades_mean_20_normalized,bitmex_trades_mean_60_normalized,bitmex_volume_mean_7_normalized,bitmex_volume_mean_20_normalized,bitmex_volume_mean_60_normalized,bitmex_turnover_mean_7_normalized,bitmex_turnover_mean_20_normalized,bitmex_turnover_mean_60_normalized,bitmex_homenotional_mean_20_normalized,bitmex_homenotional_mean_60_normalized,bitmex_foreignnotional_mean_20_normalized,bitmex_foreignnotional_mean_60_normalized,cot_open_interest_normalized,cot_lev_money_net_ratio_normalized,cot_asset_mgr_net_ratio_normalized,cot_dealer_net_ratio_normalized,cot_other_rept_net_ratio_normalized,cot_nonrept_net_ratio_normalized,cot_age_days_normalized,cot_open_interest_change_20_normalized,cot_open_interest_pct_change_20_normalized,cot_open_interest_change_60_normalized,cot_open_interest_pct_change_60_normalized,cot_open_interest_zscore_60_normalized,cot_lev_money_net_ratio_change_20_normalized,cot_lev_money_net_ratio_change_60_normalized,cot_asset_mgr_net_ratio_change_20_normalized,cot_asset_mgr_net_ratio_change_60_normalized,cot_dealer_net_ratio_change_20_normalized,cot_dealer_net_ratio_change_60_normalized,context_features_path,context_features_available,selection_score,analysis_group
44,2176,2024-04-13T00:00:00,0,-0.0163082986478895,63924.51,62882.01,0.4854017794132232,0.5145982503890991,1,0,-0.0919746682047844,-0.0335651561617851,2024-04-13T00:00:00,0,-0.0163082986478895,63924.51,62882.01,0.5090650916099548,0.4909349083900451,0,1,-0.0451246723532676,-0.0813890695571899,0,2024-04-13T00:00:00,-0.0163082986478895,False,True,0.014598250389099121,0.00906509160995489,-0.02366334199905401,0.4854017794132232,0.5090650916099548,0.023663312196731623,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2010961012527643,0.201096101252752,-0.6497769474244981,0.8175060225608901,-0.5081047145983825,0.728770463816696,0.728770463816717,-0.1644276501091158,1.0247680924885534,0.1482866849820203,1.2686594396812152,1.268659439681285,-0.1723151011096821,1.226898159222681,0.0395076766808908,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-1.8418820422865407,1.873695395246621,-2.157596342979589,0.7477859627887444,-1.587898045889345,-0.9655750241870484,-2.759836687106325,-1.7667300860190651,2.7334667189655195,0.1717362189462417,-0.889409256355927,-2.2500138163492447,-1.7550705439750252,2.163779191927525,2.350668243196308,2.76865495004456,1.2823688175926202,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_44/context_features.csv,True,0.023663312196731623,stage2_wrong_to_stage4_correct
43,1339,2021-12-28T00:00:00,0,-0.1123622163506697,47543.74,42201.62,0.4829670488834381,0.5170329809188843,1,0,0.8897873163223267,0.9579455852508544,2021-12-28T00:00:00,0,-0.1123622163506697,47543.74,42201.62,0.5033831596374512,0.4966168105602264,0,1,0.9313060641288756,0.9177730679512024,0,2021-12-28T00:00:00,-0.1123622163506697,False,True,0.017032980918884277,0.003383189439773615,-0.020416170358657892,0.4829670488834381,0.5033831596374512,0.02041611075401306,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0191061023315259,-0.0191061023315265,-0.7392559920335657,0.4412748367382774,-0.5081047145983825,0.0439569085105533,0.0439569085105548,-0.909461412712041,0.7312479709875879,-0.6913166962921962,0.3629334991685984,0.3629334991686085,-0.9983026895558582,0.4438852867842115,-0.6214003554551846,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3845873420918948,-1.4419359022813507,-1.4121551903938674,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.4121551903938674,2.556624089605518,-0.3865565429518487,1.873695395246621,1.2669655819833796,0.3688040151770027,-1.806586585967144,0.5388386938381285,3.3873391643454656,3.2292054315669536,-3.1218642944566826,-1.452713947367333,0.0927678089812356,0.8383466310918718,0.559614930096041,-2.1885151684181943,1.3238124133808675,2.242683386639665,0.5875676997082554,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_43/context_features.csv,True,0.02041611075401306,stage2_wrong_to_stage4_correct
44,2171,2024-04-08T00:00:00,0,-0.1187012007819044,71620.0,63118.62,0.4944468140602112,0.5055531859397888,1,0,1.291481375694275,1.3136950731277466,2024-04-08T00:00:00,0,-0.1187012007819044,71620.0,63118.62,0.5146282315254211,0.4853717386722564,0,1,1.3312324285507202,1.272702693939209,0,2024-04-08T00:00:00,-0.1187012007819044,False,True,0.005553185939788818,0.014628261327743586,-0.020181447267532404,0.4944468140602112,0.5146282315254211,0.02018141746520996,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4363193550089554,0.4363193550089465,-0.3438230480876839,0.8175060225608901,0.596891363126222,0.7294080928253545,0.7294080928253819,-0.1635019468393624,1.0247680924885534,0.1482866849820203,1.2686594396812152,1.268659439681285,-0.1723151011096821,1.226898159222681,0.0395076766808908,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-1.664931803876669,1.873695395246621,-2.157596342979589,0.7638783756818193,-1.591891033632168,0.0373674544964028,-2.759836687106325,-1.7667300860190651,2.7334667189655195,0.6029778617221223,-0.8581663059975484,-2.2500138163492447,-0.934416974336848,2.163779191927525,2.350668243196308,2.76865495004456,-1.1792932349324243,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_44/context_features.csv,True,0.02018141746520996,stage2_wrong_to_stage4_correct
43,2171,2024-04-08T00:00:00,0,-0.1187012007819044,71620.0,63118.62,0.4987428784370422,0.5012571215629578,1,0,0.8440893888473511,0.8491178750991821,2024-04-08T00:00:00,0,-0.1187012007819044,71620.0,63118.62,0.5183443427085876,0.4816556572914123,0,1,0.8856370449066162,0.8122267127037048,0,2024-04-08T00:00:00,-0.1187012007819044,False,True,0.0012571215629577637,0.018344342708587702,-0.019601464271545466,0.4987428784370422,0.5183443427085876,0.019601464271545466,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4363193550089554,0.4363193550089465,-0.3438230480876839,0.8175060225608901,0.596891363126222,0.7294080928253545,0.7294080928253819,-0.1635019468393624,1.0247680924885534,0.1482866849820203,1.2686594396812152,1.268659439681285,-0.1723151011096821,1.226898159222681,0.0395076766808908,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-1.664931803876669,1.873695395246621,-2.157596342979589,0.7638783756818193,-1.591891033632168,0.0373674544964028,-2.759836687106325,-1.7667300860190651,2.7334667189655195,0.6029778617221223,-0.8581663059975484,-2.2500138163492447,-0.934416974336848,2.163779191927525,2.350668243196308,2.76865495004456,-1.1792932349324243,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_43/context_features.csv,True,0.019601464271545466,stage2_wrong_to_stage4_correct
44,1265,2021-10-15T00:00:00,0,-0.0044981208780195,61672.42,61395.01,0.4864566028118133,0.5135433673858643,1,0,0.1585061401128769,0.2126929312944412,2021-10-15T00:00:00,0,-0.0044981208780195,61672.42,61395.01,0.5047929883003235,0.4952070713043213,0,1,0.194147303700447,0.1749749630689621,0,2021-10-15T00:00:00,-0.0044981208780195,False,True,0.013543367385864258,0.004792928695678711,-0.01833629608154297,0.4864566028118133,0.5047929883003235,0.018336385488510187,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2469582437989366,0.2469582437989695,-0.5901242510185297,0.8387712634986899,-0.2769651841701587,0.0372618039195707,0.0372618039195662,-0.7599325635473246,0.1516701039560201,-0.5156911576990739,0.0627162172993189,0.0627162172993263,-1.0435303701914718,0.6698067297009889,-0.9363423053351068,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-0.8647598680907619,-0.945447712553058,-0.9288930551331452,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-0.945447712553058,-0.9288930551331452,2.556624089605518,-1.3818327851231251,0.2309582930665873,2.2077482378909217,2.2762029679719227,-2.126268665544848,-1.467046263528774,3.3873391643454656,3.2292054315669536,2.7334667189655195,3.297901955432723,2.5803860027274275,1.6528732032082256,1.074907249916471,0.1128863574270691,-0.2133535142797003,-1.6065978566389263,1.0815931048412082,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_44/context_features.csv,True,0.018336385488510187,stage2_wrong_to_stage4_correct
43,2076,2024-01-04T00:00:00,0,-0.0920978186273955,44151.1,40084.88,0.4935431480407715,0.5064568519592285,1,0,1.2771248817443848,1.3029537200927734,2024-01-04T00:00:00,0,-0.0920978186273955,44151.1,40084.88,0.5108603835105896,0.4891396164894104,0,1,1.3143659830093384,1.2709176540374756,0,2024-01-04T00:00:00,-0.0920978186273955,False,True,0.006456851959228516,0.0108603835105896,-0.017317235469818115,0.4935431480407715,0.5108603835105896,0.017317235469818115,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6967907569264326,0.6967907569264894,-0.0050289883601552,0.8387712634986899,0.5402248976018834,0.4887031420543139,0.4887031420543609,-0.5129549311747237,1.0409365737576746,0.1052301013269323,0.6857890506132261,0.6857890506132898,-0.8916199899394419,1.2223615840637096,-0.4352555611977977,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-1.275773725338471,1.873695395246621,-2.157596342979589,1.223906369159374,-1.5762918941280255,1.5417811725215798,2.8670508216949298,0.3002525986936173,2.7334667189655195,0.5088419109485673,0.6258502354009314,-0.0854028515068918,-0.2475961609903894,-0.8428813272201483,-0.37929786745834,1.681077864282011,1.875239087716564,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_43/context_features.csv,True,0.017317235469818115,stage2_wrong_to_stage4_correct
43,1100,2021-05-03T00:00:00,0,-0.3938145920395512,57169.39,34655.25,0.4915022253990173,0.5084978342056274,1,0,0.4013337194919586,0.4353281557559967,2021-05-03T00:00:00,0,-0.3938145920395512,57169.39,34655.25,0.5087236166000366,0.491276353597641,0,1,0.4377711117267608,0.4028730094432831,0,2021-05-03T00:00:00,-0.3938145920395512,False,True,0.008497834205627441,0.008723646402359009,-0.01722148060798645,0.4915022253990173,0.5087236166000366,0.017221391201019343,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2015754964710176,0.2015754964710051,-0.6491534000753064,0.8158702347964439,-0.5081047145983825,0.7160178836434213,0.7160178836434302,-0.1766469332699443,0.8742768437528889,1.1227251571761176,1.8354293353012536,1.8354293353012625,0.5303206159050867,1.1969567631734694,1.627379179209812,-1.2657436313622596,-1.1628469959947814,-1.3693333930899647,-0.4710923662292183,0.4792905655123609,0.3991026842645046,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,0.4792905655123609,0.3991026842645046,1.0016499619022925,-1.914094649821888,-1.2833722537292158,2.2077482378909217,2.426892836358428,-0.1732832115487895,0.0373674544964028,-1.2088356430136713,-0.9420139905597364,-1.4895336578445126,-1.0902786017584771,-1.220051322234776,0.8618574378951833,0.4786974385049414,-1.09995075274692,-0.7935525416742577,1.6288067747138388,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_43/context_features.csv,True,0.017221391201019343,stage2_wrong_to_stage4_correct
43,1908,2023-07-20T00:00:00,0,-0.0073157718120804,29800.0,29581.99,0.4930406510829925,0.5069593787193298,1,0,1.7562901973724363,1.7841293811798096,2023-07-20T00:00:00,0,-0.0073157718120804,29800.0,29581.99,0.5101319551467896,0.4898680746555328,0,1,1.79399573802948,1.7534624338150024,0,2023-07-20T00:00:00,-0.0073157718120804,False,True,0.006959378719329834,0.010131925344467219,-0.017091304063797053,0.4930406510829925,0.5101319551467896,0.017091304063797053,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0454728393354505,-0.0454728393354335,-0.7392559920335657,0.3643928118093087,-0.5081047145983825,0.0598976337271849,0.0598976337271792,-0.909461412712041,0.6802550685234371,-0.6913166962921962,0.1712237852642282,0.1712237852642099,-1.1620220734552174,1.0182157019099949,-1.0961635933338731,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-1.308415003996467,1.873695395246621,-2.157596342979589,0.902772195724893,-1.2837093048092865,1.5417811725215798,-1.7123404907400004,-0.6021098406644406,1.6662039388779304,-0.0352711037345959,0.544035557301609,-1.418891938758022,-0.9003789424633997,1.0289114640531176,1.3611259285047692,2.76865495004456,-0.5150782573738707,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_43/context_features.csv,True,0.017091304063797053,stage2_wrong_to_stage4_correct
44,1223,2021-09-03T00:00:00,0,-0.1026793660850966,49999.14,44865.26,0.4930988550186157,0.5069011449813843,1,0,1.11492657661438,1.1425328254699707,2021-09-03T00:00:00,0,-0.1026793660850966,49999.14,44865.26,0.509297251701355,0.490702748298645,0,1,1.1472508907318115,1.1100575923919678,0,2021-09-03T00:00:00,-0.1026793660850966,False,True,0.006901144981384277,0.00929725170135498,-0.016198396682739258,0.4930988550186157,0.509297251701355,0.016198396682739258,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2050910614048742,0.2050910614048455,-0.6445807195145653,0.7798829039786287,-0.3917893379957924,0.1666367297777009,0.1666367297776828,-0.87462719867083,0.6715489632246795,-0.6029373930001735,-0.032065273422983,-0.0320652734230092,-1.0804837149381403,0.5954068970938573,-1.0228338258991452,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-0.6614925098461475,-0.7332320296022767,-1.1713280838476312,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-0.7332320296022767,-1.1713280838476312,2.556624089605518,-2.235082872022588,0.4909895182601548,0.3505761274576662,2.196046206372083,0.548491447700688,-1.467046263528774,-2.759836687106325,-1.1870934934687285,-1.0306033026989698,-0.6710733102797449,-1.440716803713054,0.3325039217323605,-0.9426694747427756,0.0962888800572706,0.3597477698240212,-1.160931927793752,0.0121512565821382,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_44/context_features.csv,True,0.016198396682739258,stage2_wrong_to_stage4_correct
46,1081,2021-04-14T00:00:00,0,-0.1550125930101447,62959.53,53200.01,0.4855678975582123,0.5144320726394653,1,0,-0.4601198434829712,-0.4023754894733429,2021-04-14T00:00:00,0,-0.1550125930101447,62959.53,53200.01,0.501534104347229,0.498465895652771,0,1,-0.4262909293174743,-0.4324274063110351,0,2021-04-14T00:00:00,-0.1550125930101447,False,True,0.014432072639465332,0.001534104347229004,-0.015966176986694336,0.4855678975582123,0.501534104347229,0.015966206789016724,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1507964538883035,2.150796453888298,1.886190121739064,0.8387712634986899,3.811967670243965,1.939245373866323,1.9392453738663145,1.5929274372080653,1.0409365737576746,2.591181273412805,2.4257579933544005,2.425757993354364,1.3318466967962137,1.226898159222681,1.627379179209812,-1.2624104291100295,-1.3071865443903858,-1.232465198019355,0.2101008545380309,0.2735056076010047,0.5055895946608118,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,0.2735056076010047,0.5055895946608118,1.4807194421386862,-2.463738670193471,-0.3225397474413409,1.4048645429403577,2.734584900008897,-0.0807501448070861,1.0403099331798542,0.2383727351003093,-0.0097212717584803,-0.9885478291461136,-0.816722628364465,-0.2089744309323695,-0.0116917880051239,-0.1153497026373766,-0.0107432175501098,-0.5465238475195613,-0.1273484956159982,1.468913698705589,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_46/context_features.csv,True,0.015966206789016724,stage2_wrong_to_stage4_correct
