run_seed,sample_index,Date_stage2,label_stage2,future_return_stage2,entry_close_stage2,exit_close_stage2,prob_down_stage2,prob_up_stage2,pred_class_stage2,correct_stage2,logit_down_stage2,logit_up_stage2,Date_stage4,label_stage4,future_return_stage4,entry_close_stage4,exit_close_stage4,prob_down_stage4,prob_up_stage4,pred_class_stage4,correct_stage4,logit_down_stage4,logit_up_stage4,label,Date,future_return,stage2_correct,stage4_correct,stage2_margin,stage4_margin,prob_up_delta_stage4_minus_stage2,stage2_true_prob,stage4_true_prob,true_prob_delta_stage4_minus_stage2,transition,funding_missing,activity_missing,cftc_missing,funding_rate_mean_7_missing,funding_rate_sum_7_missing,funding_rate_abs_mean_7_missing,funding_rate_min_7_missing,funding_rate_max_7_missing,funding_rate_mean_20_missing,funding_rate_sum_20_missing,funding_rate_abs_mean_20_missing,funding_rate_min_20_missing,funding_rate_max_20_missing,funding_rate_mean_60_missing,funding_rate_sum_60_missing,funding_rate_abs_mean_60_missing,funding_rate_min_60_missing,funding_rate_max_60_missing,bitmex_trades_mean_7_missing,bitmex_trades_mean_20_missing,bitmex_trades_mean_60_missing,bitmex_volume_mean_7_missing,bitmex_volume_mean_20_missing,bitmex_volume_mean_60_missing,bitmex_turnover_mean_7_missing,bitmex_turnover_mean_20_missing,bitmex_turnover_mean_60_missing,bitmex_homenotional_mean_20_missing,bitmex_homenotional_mean_60_missing,bitmex_foreignnotional_mean_20_missing,bitmex_foreignnotional_mean_60_missing,cot_open_interest_missing,cot_lev_money_net_ratio_missing,cot_asset_mgr_net_ratio_missing,cot_dealer_net_ratio_missing,cot_other_rept_net_ratio_missing,cot_nonrept_net_ratio_missing,cot_age_days_missing,cot_open_interest_change_20_missing,cot_open_interest_pct_change_20_missing,cot_open_interest_change_60_missing,cot_open_interest_pct_change_60_missing,cot_open_interest_zscore_60_missing,cot_lev_money_net_ratio_change_20_missing,cot_lev_money_net_ratio_change_60_missing,cot_asset_mgr_net_ratio_change_20_missing,cot_asset_mgr_net_ratio_change_60_missing,cot_dealer_net_ratio_change_20_missing,cot_dealer_net_ratio_change_60_missing,funding_rate_mean_7_normalized,funding_rate_sum_7_normalized,funding_rate_abs_mean_7_normalized,funding_rate_min_7_normalized,funding_rate_max_7_normalized,funding_rate_mean_20_normalized,funding_rate_sum_20_normalized,funding_rate_abs_mean_20_normalized,funding_rate_min_20_normalized,funding_rate_max_20_normalized,funding_rate_mean_60_normalized,funding_rate_sum_60_normalized,funding_rate_abs_mean_60_normalized,funding_rate_min_60_normalized,funding_rate_max_60_normalized,cot_open_interest_normalized,cot_lev_money_net_ratio_normalized,cot_asset_mgr_net_ratio_normalized,cot_dealer_net_ratio_normalized,cot_other_rept_net_ratio_normalized,cot_nonrept_net_ratio_normalized,cot_age_days_normalized,cot_open_interest_change_20_normalized,cot_open_interest_pct_change_20_normalized,cot_open_interest_change_60_normalized,cot_open_interest_pct_change_60_normalized,cot_open_interest_zscore_60_normalized,cot_lev_money_net_ratio_change_20_normalized,cot_lev_money_net_ratio_change_60_normalized,cot_asset_mgr_net_ratio_change_20_normalized,cot_asset_mgr_net_ratio_change_60_normalized,cot_dealer_net_ratio_change_20_normalized,cot_dealer_net_ratio_change_60_normalized,context_features_path,context_features_available,selection_score,analysis_group
43,2373,2024-10-27T00:00:00,1,0.331735607901596,68021.7,90586.92,0.4772317409515381,0.5227682590484619,1,1,0.2653726041316986,0.3565086722373962,2024-10-27T00:00:00,1,0.331735607901596,68021.7,90586.92,0.506992757320404,0.4930072724819183,0,0,0.3286114633083343,0.300638735294342,1,2024-10-27T00:00:00,0.331735607901596,True,False,0.0227682590484619,0.0069927275180817,-0.0297609865665436,0.5227682590484619,0.4930072724819183,-0.0297609865665436,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2038126741561989,0.2038126741561857,-0.646243512445744,0.8387712634986899,-0.5081047145983825,0.207381223431395,0.2073812234313811,-0.866573580223896,0.7797534147949509,-0.6913166962921962,0.131509234759094,0.1315092347590748,-1.1620220734552174,1.0254742221643491,-1.0961635933338731,2.556624089605518,-2.463738670193471,1.873695395246621,2.2077482378909217,1.0925993226609405,-2.0455682273843028,-0.4641037848453228,3.3873391643454656,1.0475728197703091,-3.1218642944566826,-1.2548818108871405,0.0371902216544903,0.431399451548724,-2.0292143206383138,-1.3955899827392295,-0.7839490932459642,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.0297609865665436,stage2_correct_to_stage4_wrong
43,2379,2024-11-02T00:00:00,1,0.4254756125932868,69374.74,98892.0,0.4975341260433197,0.5024659037590027,1,1,0.0960997641086578,0.1059633567929267,2024-11-02T00:00:00,1,0.4254756125932868,69374.74,98892.0,0.5266636610031128,0.4733363687992096,0,0,0.1580291241407394,0.0512733161449432,1,2024-11-02T00:00:00,0.4254756125932868,True,False,0.0024659037590026,0.0266636312007904,-0.029129534959793,0.5024659037590027,0.4733363687992096,-0.029129534959793,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3012897018676612,0.3012897018676596,-0.5194555514433989,0.8387712634986899,-0.1681059214523502,0.3006663473990794,0.3006663473990666,-0.7859448254275874,1.0409365737576746,-0.432977194361668,0.2169882181558975,0.2169882181558767,-1.1620220734552174,1.0254742221643491,-0.8818150423708218,2.556624089605518,-1.698739224182915,1.873695395246621,2.2077482378909217,1.093564753337767,-2.18496883113175,-0.9655750241870484,3.3873391643454656,2.016573052154788,-3.1218642944566826,-0.7698453361875803,1.3171953729491768,1.882086124438567,-0.4458730819187472,-2.0669557578982825,-1.6802827376169025,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.029129534959793,stage2_correct_to_stage4_wrong
43,2375,2024-10-29T00:00:00,1,0.2437246705295641,72736.42,90464.08,0.4928376376628876,0.5071623921394348,1,1,0.9466727375984192,0.9753242135047911,2024-10-29T00:00:00,1,0.2437246705295641,72736.42,90464.08,0.5201195478439331,0.4798804223537445,0,0,1.0055192708969116,0.9249975085258484,1,2024-10-29T00:00:00,0.2437246705295641,True,False,0.0071623921394348,0.0201195776462554,-0.0272819697856903,0.5071623921394348,0.4798804223537445,-0.0272819697856903,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2038126741561989,0.2038126741561857,-0.646243512445744,0.8387712634986899,-0.5081047145983825,0.2145864312293095,0.2145864312292952,-0.8585199617769618,0.7797534147949509,-0.6913166962921962,0.1530741381046354,0.153074138104615,-1.1620220734552174,1.0254742221643491,-1.0961635933338731,2.556624089605518,-2.463738670193471,1.873695395246621,2.2077482378909217,1.0925993226609405,-2.0455682273843028,0.5388386938381285,3.3873391643454656,1.0475728197703091,-3.1218642944566826,-1.175846314646628,0.1200890844950297,0.431399451548724,-1.6043797887863829,-1.3955899827392295,-1.1827992526007576,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.0272819697856903,stage2_correct_to_stage4_wrong
43,1030,2021-02-22T00:00:00,1,0.0902357228551349,54087.67,58968.31,0.4944466352462768,0.5055533647537231,1,1,0.5464193820953369,0.5686337351799011,2021-02-22T00:00:00,1,0.0902357228551349,54087.67,58968.31,0.5216054320335388,0.4783945977687835,0,0,0.6036274433135986,0.5171518921852112,1,2021-02-22T00:00:00,0.0902357228551349,True,False,0.0055533647537231,0.0216054022312164,-0.0271587669849396,0.5055533647537231,0.4783945977687835,-0.0271587669849396,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.079225193238629,3.079225193238542,3.093793488007579,0.8387712634986899,2.256622313878564,2.537022569489749,2.537022569489708,2.4607742526104794,1.0409365737576746,1.4093913588797304,2.4257579933544005,2.425757993354364,1.638800458267954,0.9646841150341322,0.6468285710762035,2.00149065289705,-2.396257284145168,0.0496198535425563,-0.2572427031347777,2.7208017552306574,0.5456658759968606,0.0373674544964028,0.3186096187292125,0.0016243134729157,-0.9817138146937746,-0.7757068185277268,-0.1217830151082931,-0.5491114623456546,0.025987926259813,-0.2177096254154217,-0.9148751016020888,0.0623913159383424,-0.2460678593495043,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.0271587669849396,stage2_correct_to_stage4_wrong
43,1240,2021-09-20T00:00:00,1,0.2706779537293662,43015.62,54659.0,0.482006698846817,0.5179932713508606,1,1,0.1233352124691009,0.195339560508728,2021-09-20T00:00:00,1,0.2706779537293662,43015.62,54659.0,0.5085519552230835,0.4914480745792389,0,0,0.1807780712842941,0.146567016839981,1,2021-09-20T00:00:00,0.2706779537293662,True,False,0.0179932713508605,0.0085519254207611,-0.0265451967716217,0.5179932713508606,0.4914480745792389,-0.0265451967716217,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.1924873729330898,-0.1924873729330652,-0.5751591146379436,0.1190246471423874,-0.5081047145983825,0.0505882502006439,0.0505882502006641,-0.751138382484599,0.392953593664441,-0.4986951378352234,0.1186938924994413,0.1186938924994325,-1.1241448950899036,0.8458258458690806,-0.9363423053351068,2.556624089605518,-2.207940026552597,0.1511371390837966,2.2077482378909217,1.8746382902674408,-0.537108836075088,0.0373674544964028,1.5427741827188104,0.0846077084621895,2.7334667189655195,0.2975668386597808,0.7286436591932982,0.1607463367172984,-0.7956709215919456,-0.2798500754390844,-0.0326400949987,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.0265451967716217,stage2_correct_to_stage4_wrong
43,1544,2022-07-21T00:00:00,1,0.034634304573347,23152.19,23954.05,0.4791861474514007,0.5208138227462769,1,1,0.6152731776237488,0.6985766291618347,2022-07-21T00:00:00,1,0.034634304573347,23152.19,23954.05,0.5043035745620728,0.4956963956356048,0,0,0.6680465340614319,0.6508317589759827,1,2022-07-21T00:00:00,0.034634304573347,True,False,0.0208138227462768,0.0043036043643951,-0.025117427110672,0.5208138227462769,0.4956963956356048,-0.025117427110672,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0128535788853521,0.0128535788853499,-0.7392559920335657,0.4936200452005539,-0.5081047145983825,-0.0018886172124607,-0.0018886172124631,-0.909461412712041,0.5484197597136813,-0.6913166962921962,-0.2484298843649569,-0.2484298843649807,-1.1620220734552174,0.8957281726177663,-1.0961635933338731,2.556624089605518,-2.231057411053561,1.873695395246621,0.1383854752109251,2.734584900008897,-2.216051034868378,1.5417811725215798,3.3873391643454656,0.5771542618087708,1.0132927119698387,-0.26795307868917,0.2945971029149757,-1.1625986517422464,0.4032432312354121,-1.044887845607048,-0.7800669492828908,2.484332063828408,-1.99664580845422,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.025117427110672,stage2_correct_to_stage4_wrong
43,2234,2024-06-10T00:00:00,0,-0.0973251366120218,69540.0,62772.01,0.4745441377162933,0.5254558324813843,1,0,0.7515404224395752,0.8534519672393799,2024-06-10T00:00:00,0,-0.0973251366120218,69540.0,62772.01,0.5124290585517883,0.4875709116458893,0,1,0.8307169079780579,0.780990481376648,0,2024-06-10T00:00:00,-0.0973251366120218,False,True,0.0254558324813842,0.0124290883541107,-0.0378849208354949,0.4745441377162933,0.5124290585517883,0.037884920835495,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2047714645927052,0.2047714645926928,-0.6449964177473598,0.8387712634986899,-0.4991573779366448,0.2652779374181714,0.2652779374181606,-0.8373213568994087,1.0409365737576746,-0.6357963647369512,0.1896986949177204,0.1896986949177044,-1.1620220734552174,1.0272888522279378,-1.0500974573812876,2.556624089605518,-2.463738670193471,1.873695395246621,2.2077482378909217,0.9921705594448584,-2.0191923945475825,0.0373674544964028,3.3873391643454656,0.1836871607863663,2.7334667189655195,0.038701820998069,0.0911294732802851,-1.5874217887710076,-1.4088397238373855,0.9846158679540338,-0.9276833202269252,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.037884920835495,stage2_wrong_to_stage4_correct
42,1084,2021-04-17T00:00:00,0,-0.0448601871858891,60006.66,57314.75,0.4967768788337707,0.5032231211662292,1,0,0.6372184157371521,0.6501110792160034,2021-04-17T00:00:00,0,-0.0448601871858891,60006.66,57314.75,0.5272085666656494,0.472791463136673,0,1,0.699793815612793,0.5908520221710205,0,2021-04-17T00:00:00,-0.0448601871858891,False,True,0.0032231211662292,0.027208536863327,-0.0304316580295562,0.4967768788337707,0.5272085666656494,0.0304316878318787,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.743488742055245,2.743488742055271,2.6571024944566424,0.8387712634986899,3.811967670243965,2.1884945533534554,2.188494553353453,1.954784845358216,1.0409365737576746,2.591181273412805,2.4257579933544005,2.425757993354364,1.3159406918835037,1.226898159222681,1.627379179209812,1.4099933071734247,-2.435941644374247,0.1122052740413298,1.4596132541631333,2.538743767677306,0.2149823048129797,-0.9655750241870484,-0.3313827504847471,-0.384910932641377,-1.0999948340611825,-0.8719072319649415,-0.3206527861008317,-0.1032954495330348,0.0526048284977732,0.3151003917308106,-0.1727994623553018,-0.5280356334977211,1.5156147151293615,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_42/context_features.csv,True,0.0304316878318787,stage2_wrong_to_stage4_correct
43,1079,2021-04-12T00:00:00,0,-0.0548244236551954,59860.0,56578.21,0.4912086129188537,0.5087913870811462,1,0,0.2204248309135437,0.2555940151214599,2021-04-12T00:00:00,0,-0.0548244236551954,59860.0,56578.21,0.5202505588531494,0.479749470949173,0,1,0.2822117209434509,0.2011652290821075,0,2021-04-12T00:00:00,-0.0548244236551954,False,True,0.0087913870811462,0.020250529050827,-0.0290419161319732,0.4912086129188537,0.5202505588531494,0.0290419459342957,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.7455476960583045,1.7455476960583052,1.3590847625554798,0.8387712634986899,3.811967670243965,1.5634268361591854,1.5634268361591797,1.0473179300100472,0.997406047263887,2.591181273412805,2.382716007536652,2.38271600753664,1.203433823801534,1.226898159222681,1.627379179209812,1.4807194421386862,-2.463738670193471,-0.3225397474413409,1.4048645429403577,2.734584900008897,-0.0807501448070861,0.0373674544964028,0.2383727351003093,-0.0097212717584803,-0.1547980659607406,-0.3866139332448117,-0.2399596707010164,-0.0116917880051239,-0.3894678852436944,-0.0107432175501098,-0.3011641331219091,-0.1273484956159982,1.00491806842973,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.0290419459342957,stage2_wrong_to_stage4_correct
43,2229,2024-06-05T00:00:00,0,-0.1308149575293918,71108.0,61806.01,0.4818126261234283,0.518187403678894,1,0,0.8892084360122681,0.9619900584220886,2024-06-05T00:00:00,0,-0.1308149575293918,71108.0,61806.01,0.5087365508079529,0.4912634491920471,0,1,0.9445553421974182,0.9096055626869202,0,2024-06-05T00:00:00,-0.1308149575293918,False,True,0.018187403678894,0.0087365508079528,-0.0269239544868469,0.4818126261234283,0.5087365508079529,0.0269239246845245,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2038126741561989,0.2038126741561857,-0.646243512445744,0.8387712634986899,-0.5081047145983825,0.2133111732119732,0.2133111732119653,-0.8877721851014674,0.8207964826319502,-0.6357963647369512,0.1889505911817514,0.1889505911817354,-1.1620220734552174,1.0272888522279378,-1.0500974573812876,2.556624089605518,-2.0155994202039813,1.873695395246621,-0.3642770780912998,0.750690975196477,-2.135414772471925,1.0403099331798542,3.3873391643454656,1.4681848124971677,2.7334667189655195,0.6089498661628411,1.0701561687236347,-0.8249962656376914,-0.2753268109207363,-1.4258134045228747,-2.06376264837797,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.0269239246845245,stage2_wrong_to_stage4_correct
