run_seed,column,raw_name,feature_type
45,context__cot_open_interest_change_60,cot_open_interest_change_60,raw_or_metadata
45,context__cot_open_interest_pct_change_60,cot_open_interest_pct_change_60,raw_or_metadata
45,context__cot_open_interest_zscore_60,cot_open_interest_zscore_60,raw_or_metadata
45,context__cot_lev_money_net_ratio_change_20,cot_lev_money_net_ratio_change_20,raw_or_metadata
45,context__cot_lev_money_net_ratio_change_60,cot_lev_money_net_ratio_change_60,raw_or_metadata
45,context__cot_asset_mgr_net_ratio_change_20,cot_asset_mgr_net_ratio_change_20,raw_or_metadata
45,context__cot_asset_mgr_net_ratio_change_60,cot_asset_mgr_net_ratio_change_60,raw_or_metadata
45,context__cot_dealer_net_ratio_change_20,cot_dealer_net_ratio_change_20,raw_or_metadata
45,context__cot_dealer_net_ratio_change_60,cot_dealer_net_ratio_change_60,raw_or_metadata
45,context__funding_rate_mean_7_missing,funding_rate_mean_7_missing,missing_indicator
45,context__funding_rate_sum_7_missing,funding_rate_sum_7_missing,missing_indicator
45,context__funding_rate_abs_mean_7_missing,funding_rate_abs_mean_7_missing,missing_indicator
45,context__funding_rate_min_7_missing,funding_rate_min_7_missing,missing_indicator
45,context__funding_rate_max_7_missing,funding_rate_max_7_missing,missing_indicator
45,context__funding_rate_mean_20_missing,funding_rate_mean_20_missing,missing_indicator
45,context__funding_rate_sum_20_missing,funding_rate_sum_20_missing,missing_indicator
45,context__funding_rate_abs_mean_20_missing,funding_rate_abs_mean_20_missing,missing_indicator
45,context__funding_rate_min_20_missing,funding_rate_min_20_missing,missing_indicator
45,context__funding_rate_max_20_missing,funding_rate_max_20_missing,missing_indicator
45,context__funding_rate_mean_60_missing,funding_rate_mean_60_missing,missing_indicator
45,context__funding_rate_sum_60_missing,funding_rate_sum_60_missing,missing_indicator
45,context__funding_rate_abs_mean_60_missing,funding_rate_abs_mean_60_missing,missing_indicator
45,context__funding_rate_min_60_missing,funding_rate_min_60_missing,missing_indicator
45,context__funding_rate_max_60_missing,funding_rate_max_60_missing,missing_indicator
45,context__bitmex_trades_mean_7_missing,bitmex_trades_mean_7_missing,missing_indicator
45,context__bitmex_trades_mean_20_missing,bitmex_trades_mean_20_missing,missing_indicator
45,context__bitmex_trades_mean_60_missing,bitmex_trades_mean_60_missing,missing_indicator
45,context__bitmex_volume_mean_7_missing,bitmex_volume_mean_7_missing,missing_indicator
45,context__bitmex_volume_mean_20_missing,bitmex_volume_mean_20_missing,missing_indicator
45,context__bitmex_volume_mean_60_missing,bitmex_volume_mean_60_missing,missing_indicator
45,context__bitmex_turnover_mean_7_missing,bitmex_turnover_mean_7_missing,missing_indicator
45,context__bitmex_turnover_mean_20_missing,bitmex_turnover_mean_20_missing,missing_indicator
45,context__bitmex_turnover_mean_60_missing,bitmex_turnover_mean_60_missing,missing_indicator
45,context__bitmex_homenotional_mean_20_missing,bitmex_homenotional_mean_20_missing,missing_indicator
45,context__bitmex_homenotional_mean_60_missing,bitmex_homenotional_mean_60_missing,missing_indicator
45,context__bitmex_foreignnotional_mean_20_missing,bitmex_foreignnotional_mean_20_missing,missing_indicator
45,context__bitmex_foreignnotional_mean_60_missing,bitmex_foreignnotional_mean_60_missing,missing_indicator
45,context__cot_open_interest_missing,cot_open_interest_missing,missing_indicator
45,context__cot_lev_money_net_ratio_missing,cot_lev_money_net_ratio_missing,missing_indicator
45,context__cot_asset_mgr_net_ratio_missing,cot_asset_mgr_net_ratio_missing,missing_indicator
45,context__cot_dealer_net_ratio_missing,cot_dealer_net_ratio_missing,missing_indicator
45,context__cot_other_rept_net_ratio_missing,cot_other_rept_net_ratio_missing,missing_indicator
45,context__cot_nonrept_net_ratio_missing,cot_nonrept_net_ratio_missing,missing_indicator
45,context__cot_age_days_missing,cot_age_days_missing,missing_indicator
45,context__cot_open_interest_change_20_missing,cot_open_interest_change_20_missing,missing_indicator
45,context__cot_open_interest_pct_change_20_missing,cot_open_interest_pct_change_20_missing,missing_indicator
45,context__cot_open_interest_change_60_missing,cot_open_interest_change_60_missing,missing_indicator
45,context__cot_open_interest_pct_change_60_missing,cot_open_interest_pct_change_60_missing,missing_indicator
45,context__cot_open_interest_zscore_60_missing,cot_open_interest_zscore_60_missing,missing_indicator
45,context__cot_lev_money_net_ratio_change_20_missing,cot_lev_money_net_ratio_change_20_missing,missing_indicator
45,context__cot_lev_money_net_ratio_change_60_missing,cot_lev_money_net_ratio_change_60_missing,missing_indicator
45,context__cot_asset_mgr_net_ratio_change_20_missing,cot_asset_mgr_net_ratio_change_20_missing,missing_indicator
45,context__cot_asset_mgr_net_ratio_change_60_missing,cot_asset_mgr_net_ratio_change_60_missing,missing_indicator
45,context__cot_dealer_net_ratio_change_20_missing,cot_dealer_net_ratio_change_20_missing,missing_indicator
45,context__cot_dealer_net_ratio_change_60_missing,cot_dealer_net_ratio_change_60_missing,missing_indicator
45,context__ma_column,ma_column,raw_or_metadata
45,context__funding_rate_mean_7_imputed_clipped,funding_rate_mean_7_imputed_clipped,imputed_clipped
45,context__funding_rate_mean_7_normalized,funding_rate_mean_7_normalized,normalized
45,context__funding_rate_sum_7_imputed_clipped,funding_rate_sum_7_imputed_clipped,imputed_clipped
45,context__funding_rate_sum_7_normalized,funding_rate_sum_7_normalized,normalized
45,context__funding_rate_abs_mean_7_imputed_clipped,funding_rate_abs_mean_7_imputed_clipped,imputed_clipped
45,context__funding_rate_abs_mean_7_normalized,funding_rate_abs_mean_7_normalized,normalized
45,context__funding_rate_min_7_imputed_clipped,funding_rate_min_7_imputed_clipped,imputed_clipped
45,context__funding_rate_min_7_normalized,funding_rate_min_7_normalized,normalized
45,context__funding_rate_max_7_imputed_clipped,funding_rate_max_7_imputed_clipped,imputed_clipped
45,context__funding_rate_max_7_normalized,funding_rate_max_7_normalized,normalized
45,context__funding_rate_mean_20_imputed_clipped,funding_rate_mean_20_imputed_clipped,imputed_clipped
45,context__funding_rate_mean_20_normalized,funding_rate_mean_20_normalized,normalized
45,context__funding_rate_sum_20_imputed_clipped,funding_rate_sum_20_imputed_clipped,imputed_clipped
45,context__funding_rate_sum_20_normalized,funding_rate_sum_20_normalized,normalized
45,context__funding_rate_abs_mean_20_imputed_clipped,funding_rate_abs_mean_20_imputed_clipped,imputed_clipped
