feature,test,train,validation,min_train_val_abs_auc,mean_train_val_abs_auc,train_corr_label,validation_corr_label,corr_same_sign_train_val
ofr_fsi_delta_20,0.5463458629116723,0.5372090310307076,0.520005136106831,0.520005136106831,0.5286070835687693,0.006840242154315494,0.051663897092939455,True
ofr_fsi_delta_60,0.5537559641568719,0.5356476246881674,0.5592449922958398,0.5356476246881674,0.5474463084920036,0.06641677845073711,0.023055645012038956,True
ofr_fsi_mean_20,0.5014420652469064,0.5579021518692008,0.5059065228556754,0.5059065228556754,0.5319043373624381,0.15664039634276158,0.07286955466770952,True
ofr_fsi_mean_60,0.5067632569145428,0.5746603492524992,0.5414997431946584,0.5414997431946584,0.5580800462235789,0.09467524468660805,0.021780415762607922,True
ofr_fsi_std_60,0.5654224368672175,0.5364821694574562,0.5169491525423728,0.5169491525423728,0.5267156609999145,0.15722936979371083,0.07790290485470519,True
ofr_fsi_value,0.5076981263819388,0.5150307794468674,0.50582948125321,0.50582948125321,0.5104301303500387,0.12521402528741626,0.06452836216206928,True
