experiment_name,context_method,context_feature_set,context_features,context_dim,modulation_scale,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,roc_auc,average_precision,f1,brier_score,predicted_positive_rate,collapse_warning,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net,pretrained_loaded,num_trainable_parameters,num_frozen_parameters,stage2_predictions_available,stage2_context_overlap,stage2_correct_context_correct,stage2_correct_context_wrong,stage2_wrong_context_correct,stage2_wrong_context_wrong,net_correction
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n13_5a_combo6_selected_combo_pretrained_frozen_s0p02,film_full_bounded_last_block,n13_5a_combo6,"combo_news_svd_60d_09,combo_news_svd_20d_18,combo_fg_mean_60,combo_fg_delta_60,combo_ofr_fsi_std_60,combo_riskoff_dollar_return_20",6,0.02,42,failed,"Command '['/usr/bin/python3', '-u', 'scripts/check_stage4_outputs.py', '--config', 'configs/env_kaggle.yaml', '--image-window', '60', '--image-spec', 'ohlc_ma_vb', '--return-horizon', '20', '--context-method', 'film_full_bounded_last_block', '--run-seed', '42', '--split', 'test', '--gradcam-samples-per-class', '2', '--min-predictions', '1000']' returned non-zero exit status 1.",True,True,1441,0.6030534351145038,0.5412907702984039,0.6165755071957795,0.6333073930678739,0.65625,0.2590072217902705,0.6134628730048577,False,3.907324923238723,9.003138033979198,3.066379832788835,8.877363835600542,True,35072,2952962,True,1441,867,2,2,570,0
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n13_5a_combo6_selected_combo_pretrained_frozen_s0p02,film_full_bounded_last_block,n13_5a_combo6,"combo_news_svd_60d_09,combo_news_svd_20d_18,combo_fg_mean_60,combo_fg_delta_60,combo_ofr_fsi_std_60,combo_riskoff_dollar_return_20",6,0.02,43,failed,"Command '['/usr/bin/python3', '-u', 'scripts/check_stage4_outputs.py', '--config', 'configs/env_kaggle.yaml', '--image-window', '60', '--image-spec', 'ohlc_ma_vb', '--return-horizon', '20', '--context-method', 'film_full_bounded_last_block', '--run-seed', '43', '--split', 'test', '--gradcam-samples-per-class', '2', '--min-predictions', '1000']' returned non-zero exit status 1.",True,True,1441,0.57529493407356,0.5412907702984039,0.583416734551379,0.6103728961451146,0.6526674233825199,0.28028190391720875,0.6814712005551701,False,3.6426272510941624,8.40324741305139,2.6433362725358496,7.677582593744931,True,35072,2952962,True,1441,827,1,2,611,1
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n13_5a_combo6_selected_combo_pretrained_frozen_s0p02,film_full_bounded_last_block,n13_5a_combo6,"combo_news_svd_60d_09,combo_news_svd_20d_18,combo_fg_mean_60,combo_fg_delta_60,combo_ofr_fsi_std_60,combo_riskoff_dollar_return_20",6,0.02,44,failed,"Command '['/usr/bin/python3', '-u', 'scripts/check_stage4_outputs.py', '--config', 'configs/env_kaggle.yaml', '--image-window', '60', '--image-spec', 'ohlc_ma_vb', '--return-horizon', '20', '--context-method', 'film_full_bounded_last_block', '--run-seed', '44', '--split', 'test', '--gradcam-samples-per-class', '2', '--min-predictions', '1000']' returned non-zero exit status 1.",True,True,1441,0.5621096460791117,0.5412907702984039,0.5612824391946933,0.5933073237144091,0.6542465753424657,0.27935267072135916,0.7251908396946565,False,3.1301863129479597,7.554675101397185,2.051538749165348,5.980437970436524,True,35072,2952962,True,1441,806,5,4,626,-1
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n13_5a_combo6_selected_combo_pretrained_frozen_s0p02,film_full_bounded_last_block,n13_5a_combo6,"combo_news_svd_60d_09,combo_news_svd_20d_18,combo_fg_mean_60,combo_fg_delta_60,combo_ofr_fsi_std_60,combo_riskoff_dollar_return_20",6,0.02,45,failed,"Command '['/usr/bin/python3', '-u', 'scripts/check_stage4_outputs.py', '--config', 'configs/env_kaggle.yaml', '--image-window', '60', '--image-spec', 'ohlc_ma_vb', '--return-horizon', '20', '--context-method', 'film_full_bounded_last_block', '--run-seed', '45', '--split', 'test', '--gradcam-samples-per-class', '2', '--min-predictions', '1000']' returned non-zero exit status 1.",True,True,1441,0.5628036086051353,0.5412907702984039,0.565239148143838,0.5914885533091649,0.6395881006864989,0.27611332390273535,0.6717557251908397,False,2.9673490735983954,7.144480753464272,1.7670676487363788,5.159542681926701,True,35072,2952962,True,1441,810,1,1,629,0
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n13_5a_combo6_selected_combo_pretrained_frozen_s0p02,film_full_bounded_last_block,n13_5a_combo6,"combo_news_svd_60d_09,combo_news_svd_20d_18,combo_fg_mean_60,combo_fg_delta_60,combo_ofr_fsi_std_60,combo_riskoff_dollar_return_20",6,0.02,46,failed,"Command '['/usr/bin/python3', '-u', 'scripts/check_stage4_outputs.py', '--config', 'configs/env_kaggle.yaml', '--image-window', '60', '--image-spec', 'ohlc_ma_vb', '--return-horizon', '20', '--context-method', 'film_full_bounded_last_block', '--run-seed', '46', '--split', 'test', '--gradcam-samples-per-class', '2', '--min-predictions', '1000']' returned non-zero exit status 1.",True,True,1441,0.5933379597501734,0.5412907702984039,0.597816051825129,0.6279658291095469,0.6482593037214887,0.2759216407961146,0.6148507980569049,False,3.4590919315742306,7.836046253193264,2.246893774947417,6.543180274028678,True,35072,2952962,True,1441,851,4,4,582,0
