experiment_name,image_window,return_horizon,image_spec,context_method,context_feature_set,context_features,modulation_scale,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,roc_auc,average_precision,f1,brier_score,predicted_positive_rate,accuracy_minus_majority_class_accuracy,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net,pretrained_loaded,freeze_visual_backbone,freeze_classifier,num_trainable_parameters,num_frozen_parameters
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,42,ok,,True,True,1441,0.5968077723802915,0.5412907702984039,0.5830850692424066,0.5783646502935034,0.6994309363683394,0.24869690913505282,0.8001387925052047,0.05551700208188759,3.8269557691032228,9.952122247300585,3.744826697616496,10.775332262243323,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,43,ok,,True,True,1441,0.5621096460791117,0.5412907702984039,0.5574886535552193,0.573661042178039,0.6587344510546241,0.26837394430251854,0.7418459403192228,0.020818875780707846,3.2703466587868855,7.769541439955519,2.200504904958989,6.410170647553187,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,44,ok,,True,True,1441,0.5475364330326162,0.5412907702984039,0.5462372473718918,0.5719668292431455,0.611904761904762,0.2606778453578637,0.6245662734212353,0.006245662734212343,2.403147526388595,5.170289024724125,0.41316085357792925,1.211159224446407,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,45,ok,,True,True,1441,0.563497571131159,0.5412907702984039,0.5403603708444857,0.5498682683116454,0.7062120504437178,0.2517256690721199,0.9444829979181124,0.022206800832755058,3.424349655039676,9.642170272223485,3.521850283391944,10.15542831208912,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,46,ok,,True,True,1441,0.5697432338653713,0.5412907702984039,0.5779956553784088,0.5819356413589838,0.6153846153846153,0.26103478175412254,0.5773768216516308,0.0284524635669674,2.750879203230315,5.595475123373239,0.7037350156241798,2.062038014388631,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,42,ok,,True,True,1441,0.6037473976405274,0.5412907702984039,0.6167364909422398,0.6334065244648213,0.6570570570570571,0.2588673040427373,0.6141568355308813,0.06245662734212354,3.9198804954699256,9.034028237323309,3.0882799622131722,8.939144242288767,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,43,ok,,True,True,1441,0.5732130464954892,0.5412907702984039,0.5835369874704217,0.610474823918522,0.6503695281409891,0.28009150151037054,0.6793893129770993,0.03192227619708532,3.6226434957449762,8.351220770000904,2.60683043097314,7.573529307643956,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,44,ok,,True,True,1441,0.5669673837612769,0.5412907702984039,0.561259164436169,0.59322752982113,0.6567656765676567,0.2789592340713185,0.7203331020124913,0.025676613462872977,3.199661583195624,7.71320409861851,2.161676959708195,6.2974959648791735,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,45,ok,,True,True,1441,0.5628036086051353,0.5412907702984039,0.5651344117304782,0.5914383980263785,0.64,0.2762735127198797,0.6731436502428869,0.021512838306731452,2.9866921182496444,7.201069583218532,1.806174916059024,5.272720341435219,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n15c_fg_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,fg_only,fg_value|fg_mean_60|fg_delta_60|fg_std_60,0.02,46,ok,,True,True,1441,0.5947258848022207,0.5412907702984039,0.59798091469801,0.6278120355050383,0.6498800959232613,0.2758295143279731,0.6162387231089521,0.05343511450381677,3.4936969021439386,7.917862523103395,2.3038885258073423,6.706812813848939,True,True,True,35008,2952962
