split,feature,feature_group,num_rows,raw_missing_rate,raw_mean,raw_std,raw_min,raw_max,normalized_mean,normalized_std,normalized_min,normalized_max
test,roro_proxy_value,roro_proxy,1441,0.0,-0.07611706920934992,0.5782117908223098,-2.2146788894463905,2.6727749065526605,-0.07605409664525631,0.5863153133374318,-2.2200933182867915,2.7116461169605772
test,roro_proxy_mean_20,roro_proxy,1441,0.0,-0.07761799116118416,0.41729396832238475,-1.3605689083879802,1.1411235086168436,-0.12382101621045866,0.5049257621833345,-1.6761918121000512,1.3508563752548939
test,roro_proxy_mean_60,roro_proxy,1441,0.0,-0.08282460715498237,0.2225844983042722,-0.633691735172913,0.48767754908024014,-0.22139264618604826,0.41455277427440756,-1.2473558103603855,0.8411398005863413
test,roro_proxy_delta_20,roro_proxy,1441,0.0,0.003341046965837471,0.9252266690982102,-4.8874537959990505,3.1268069595702643,0.03482996613030385,0.6923043985784765,-3.6247260058453734,2.371975297461482
test,roro_proxy_delta_60,roro_proxy,1441,0.0,0.01387294981677104,0.8079990019694576,-3.4901691933341685,2.75049345626056,0.061841009143936795,0.566946995889326,-2.396833025956064,1.982039884681754
test,roro_proxy_std_60,roro_proxy,1441,0.0,0.48610562100416727,0.2331472910884058,0.16538988893839884,1.1221679570256538,-0.46125417956997666,0.5034933487680374,-0.9598007264680284,0.9459244127430693
test,riskoff_vix_change_20,risk_off_components,1441,0.0,-0.12000000000000001,4.23400550744299,-22.71,25.380000000000003,-0.0022322594279484726,0.5605841541355688,-2.9931579962181,3.373978731636632
test,riskoff_neg_sp500_return_20,risk_off_components,1441,0.0,-0.006783039620767515,0.0354121657547606,-0.09263646604045278,0.13659137830778012,0.018314633713257845,0.717450464564667,-1.7210757525127276,2.923080285774423
test,riskoff_dollar_return_20,risk_off_components,1441,0.0,0.0022703836528978785,0.015414167812905293,-0.06257461673929787,0.04090259821384593,0.20648999177398078,1.210479646242893,-2.6842313327780785,2.878537378902939
test,riskoff_neg_10y_yield_change_20,risk_off_components,1441,0.0,-0.04599583622484386,0.23005836989027365,-0.7400000000000002,0.6100000000000003,-0.39747455992109,1.271254995744972,-1.8509626610289844,3.569960820256852
train,roro_proxy_value,roro_proxy,671,0.0,-1.058931051803428e-17,0.9999999999999994,-2.379846720334093,4.54020489818584,0.0,1.0000000000000007,-2.2200933182867915,4.129026556871485
train,roro_proxy_mean_20,roro_proxy,671,0.0,0.02402684190787881,0.8377721683320917,-1.7746111684802344,4.020601757947603,5.29465525901714e-18,1.0,-1.7297309429595282,4.546146814398304
train,roro_proxy_mean_60,roro_proxy,671,0.0,0.03595978026150134,0.539628135994532,-1.0898775110412346,2.1507037752346894,-5.29465525901714e-18,1.0000000000000004,-1.9552657338559167,3.820237529337559
train,roro_proxy_delta_20,roro_proxy,671,0.0,-0.04334536110664085,1.3823626554290593,-6.668771782167774,4.506853752626949,-7.94198288852571e-18,0.9999999999999989,-4.208373683779882,2.5806663736899544
train,roro_proxy_delta_60,roro_proxy,671,0.0,-0.0763276814498556,1.4454640141696267,-6.230840464544402,4.621557352764302,-7.94198288852571e-18,1.0,-3.3845462465385436,2.9550536873953797
train,roro_proxy_std_60,roro_proxy,671,0.0,0.7000019516234095,0.4488337886366685,0.23606446967054182,2.5528877519865967,3.3885793657709696e-16,1.000000000000001,-0.9598007264680284,3.9950450188477973
train,riskoff_vix_change_20,risk_off_components,671,0.0,-0.03710879284649785,8.246338065583407,-35.89,58.39,-2.64732762950857e-18,1.0000000000000002,-3.2129427117148537,4.26490123198461
train,riskoff_neg_sp500_return_20,risk_off_components,671,0.0,-0.007635311133085441,0.05376086381212191,-0.22066260019229395,0.29678033588796715,-4.235724207213712e-17,0.9999999999999993,-2.2392387901271706,4.423092408847239
train,riskoff_dollar_return_20,risk_off_components,671,0.0,-0.0001201379652009246,0.012893529948974594,-0.03828173373436496,0.05456442871101067,-4.235724207213712e-17,0.9999999999999992,-2.6842313327780785,2.878537378902939
train,riskoff_neg_10y_yield_change_20,risk_off_components,671,0.0,0.039210134128166915,0.16352160866193166,-0.3599999999999999,0.8500000000000001,-6.353586310820568e-17,1.000000000000003,-1.8509626610289844,3.569960820256852
validation,roro_proxy_value,roro_proxy,287,0.0,0.08640425142612417,0.94171428646684,-2.064108869253584,4.427670457733439,0.0866455232054635,0.9457915066003189,-2.092141507974573,4.129026556871485
validation,roro_proxy_mean_20,roro_proxy,287,0.0,0.032318665273072596,0.7894164844007617,-1.7579030639311113,3.9513712189997237,0.012321743576388381,0.9438982569735473,-1.7297309429595282,4.546146814398304
validation,roro_proxy_mean_60,roro_proxy,287,0.0,0.06787998131159524,0.480682067529058,-1.0830762008222126,2.1509738444174427,0.05906449103035667,0.8913309591354075,-1.9552657338559167,3.820237529337559
validation,roro_proxy_delta_20,roro_proxy,287,0.0,0.07505712840473928,1.316760947116585,-5.916756875396761,4.4998511071285865,0.08295920586162996,0.9644117054645948,-4.208373683779882,2.5806663736899544
validation,roro_proxy_delta_60,roro_proxy,287,0.0,0.07061892823267155,1.2934193679540884,-4.543058108343185,4.558362686864043,0.09992079317228658,0.9018591942373416,-3.135611422853264,2.9550536873953797
validation,roro_proxy_std_60,roro_proxy,287,0.0,0.6836199801469851,0.43060712986126876,0.24129378757816297,2.5537578646290378,-0.038092407216423284,0.9539107834078125,-0.9598007264680284,3.9950450188477973
validation,riskoff_vix_change_20,risk_off_components,287,0.0,0.35540069686411146,7.750432544728249,-28.65,48.349999999999994,0.050204769814429936,0.931108912256223,-3.2129427117148537,4.26490123198461
validation,riskoff_neg_sp500_return_20,risk_off_components,287,0.0,-0.004117202711947801,0.04697033778835862,-0.13222003549364925,0.24818868793583368,0.07225681444251011,0.9316457478437629,-2.2392387901271706,4.423092408847239
validation,riskoff_dollar_return_20,risk_off_components,287,0.0,0.0012749126294868917,0.011880886688522115,-0.0469318223869218,0.04668678143011708,0.1198802841674771,0.9247733460842081,-2.6842313327780785,2.878537378902939
validation,riskoff_neg_10y_yield_change_20,risk_off_components,287,0.0,0.04689895470383274,0.16998401307987793,-0.3799999999999999,1.01,0.06174561868981835,1.022252609196272,-1.8509626610289844,3.569960820256852
