split,window_days,feature,mean,std,min,max
train,7,news_svd_7d_00,0.2692491985012003,0.05587513925497588,0.09137832888947665,0.41388915061654935
train,7,news_svd_7d_01,0.014755053302309275,0.15496741861137403,-0.1838224082125258,0.29034687845384577
train,7,news_svd_7d_02,-0.0005704401505777578,0.11755227625517026,-0.23179054633073704,0.22961478062627064
train,7,news_svd_7d_03,0.005310467942450905,0.10912844973043209,-0.22308636176962712,0.2582074502713461
train,7,news_svd_7d_04,0.011798662581365674,0.10403301808858154,-0.2163681125643275,0.21547926772145073
train,7,news_svd_7d_05,-0.008613843852922878,0.09671951714258983,-0.22463224848301164,0.25291379695873095
train,7,news_svd_7d_06,0.0005431764217910895,0.0956431057429052,-0.2701410620617494,0.2585955986567733
train,7,news_svd_7d_07,-0.006047592720319442,0.09721273409961072,-0.1889307996591802,0.2109536824012703
train,7,news_svd_7d_08,0.0038202090864298383,0.09375402593385979,-0.19776974121406732,0.2543552956855907
train,7,news_svd_7d_09,0.009032792743784747,0.09455846732182396,-0.21465283278504987,0.23776615524435002
train,7,news_svd_7d_10,-0.002767254321884199,0.09158917172502946,-0.2392734819589368,0.1927893529852147
train,7,news_svd_7d_11,-0.0018280993806887341,0.08907952116427416,-0.1660178733684517,0.17931710108536794
train,7,news_svd_7d_12,-0.0047240070084474195,0.08395904041528976,-0.23243476038772443,0.2535001368365393
train,7,news_svd_7d_13,-0.0037502959160414613,0.08822403834083413,-0.2974965538926521,0.25040794102904945
train,7,news_svd_7d_14,-0.0028423613814813407,0.08763525744203406,-0.2213832467624069,0.283615418518652
train,7,news_svd_7d_15,0.010257561553111012,0.08202942173662953,-0.19495760558867306,0.22098177772192287
train,7,news_svd_7d_16,0.007194614866835456,0.08414257436732524,-0.20941660670329765,0.22710417753957485
train,7,news_svd_7d_17,0.012412216669948567,0.08856604556006842,-0.20343261987517244,0.2534719820664265
train,7,news_svd_7d_18,0.008463616861032811,0.08427428762748929,-0.18014861045713285,0.23013173618064164
train,7,news_svd_7d_19,-0.005719697081794567,0.08417899487302814,-0.1866033225803819,0.213961858129023
train,7,news_svd_7d_20,0.0035240288064065125,0.0860890353146434,-0.1804774758886517,0.17973007008091482
train,7,news_svd_7d_21,-0.004766095220828754,0.08471809007116839,-0.1975844485920419,0.186681264018093
train,7,news_svd_7d_22,-0.005951698968925451,0.08594863287101265,-0.20228751819096988,0.20617552872613906
train,7,news_svd_7d_23,0.00039973247966837265,0.0858893026753288,-0.18055486124194084,0.1996203824675311
train,7,news_svd_7d_24,-0.01466266389773732,0.08810568785482775,-0.2736638956278399,0.26179033691967435
train,7,news_svd_7d_25,-0.0071283013204760225,0.08189046420017584,-0.20360517443612425,0.22330388053952963
train,7,news_svd_7d_26,0.003081351564284491,0.0849502593022222,-0.19889158574637225,0.21492358709407833
train,7,news_svd_7d_27,-0.0062585059193015396,0.08319080499003353,-0.21881129660256263,0.23525109154008492
train,7,news_svd_7d_28,0.014848284125820978,0.08518045260761192,-0.19486005201553483,0.262101372769745
train,7,news_svd_7d_29,0.004233013784319259,0.08369934714633652,-0.19136161238551708,0.22266575785854323
train,7,news_svd_7d_30,0.0009932698894855618,0.08310476046385437,-0.1960290492513381,0.24820319599758198
train,7,news_svd_7d_31,-0.0016447336476298018,0.08204777974952483,-0.174290950956218,0.1874581344552874
train,20,news_svd_20d_00,0.38123392361841685,0.05749913754793474,0.21050126729237276,0.5135044783280601
train,20,news_svd_20d_01,0.019939502340385207,0.20682739344736797,-0.22234677981622084,0.366987672376011
train,20,news_svd_20d_02,-0.002779779503734565,0.16933546858502896,-0.31102205763455365,0.2918145193982621
train,20,news_svd_20d_03,0.00951635708614182,0.1603999499243414,-0.2833160240944976,0.30518404044295383
train,20,news_svd_20d_04,0.009393525255277558,0.15155188368082192,-0.2774073328119248,0.28604933325174176
train,20,news_svd_20d_05,-0.003905040732243707,0.14569377746369164,-0.2857089155785836,0.3391861672555378
train,20,news_svd_20d_06,0.002539906820393469,0.1458396392607145,-0.3574008599053646,0.3768976724823231
train,20,news_svd_20d_07,-2.0457427876422706e-05,0.14389001920859334,-0.2430357361193843,0.2888263351023628
train,20,news_svd_20d_08,0.003338181179692209,0.13982933351153506,-0.2784669314732351,0.3126241376097217
train,20,news_svd_20d_09,0.005245448079035783,0.14052993687452456,-0.27322291306953944,0.3169993998667532
train,20,news_svd_20d_10,-0.00040509241945170174,0.13583278470674653,-0.31459276985457946,0.2799461495989268
train,20,news_svd_20d_11,-0.0015931876577347447,0.13242173055966155,-0.2161330175281757,0.2471728476241355
train,20,news_svd_20d_12,-0.005349106478414198,0.1288478719407136,-0.33516254471906265,0.38743108597632836
train,20,news_svd_20d_13,-0.003057428463971724,0.13211273097782386,-0.3196858816869032,0.3126803611020599
train,20,news_svd_20d_14,-0.0001992619819417192,0.12735104933264577,-0.28138821730270963,0.3723638273474074
train,20,news_svd_20d_15,0.00721059841041266,0.12501638791318007,-0.2839902356560076,0.29418215431379724
train,20,news_svd_20d_16,0.0031156602857233835,0.12361779468599438,-0.2773081404028091,0.2983984576003032
train,20,news_svd_20d_17,0.006232282714298393,0.1270559936815745,-0.2884488490193869,0.34694185093149865
train,20,news_svd_20d_18,0.004496717153717847,0.12058965695000039,-0.25616620626564196,0.2974453475966104
train,20,news_svd_20d_19,-0.00597861901460313,0.12119970330971483,-0.26499110712086604,0.2856888754394682
train,20,news_svd_20d_20,0.0032399737686143295,0.12229494621387627,-0.22543495510130518,0.24980190441877942
train,20,news_svd_20d_21,-0.003977179863446777,0.1210867718327784,-0.23938116988398897,0.25253896695015055
train,20,news_svd_20d_22,-0.005746628131532661,0.12147188446047096,-0.2605246505512654,0.26415679698448463
train,20,news_svd_20d_23,-1.7198755202115965e-05,0.12023182384537502,-0.21724276473666762,0.22070466342630668
train,20,news_svd_20d_24,-0.0061113980995518005,0.11521443975287962,-0.288972996520573,0.34228964815593604
train,20,news_svd_20d_25,-0.003142302100613976,0.11055129256421554,-0.27093660622200527,0.28907720740104226
train,20,news_svd_20d_26,-0.00038804423642508837,0.11484499349571015,-0.26338958095452414,0.3064222913079388
