sample_index,Date,label,future_return,stage2_pred_class,stage2_correct,stage2_prob_up,n8b_pred_class,n8b_correct,n8b_prob_up,n8b_delta_gamma_mean,n8b_delta_gamma_std,n8b_beta_mean,n8b_beta_std,context_fg_value_normalized,context_fg_mean_60_normalized,n9a_pred_class,n9a_correct,n9a_prob_up,n9a_delta_gamma_mean,n9a_delta_gamma_std,n9a_beta_mean,n9a_beta_std,context_news_count_log1p_7d_normalized,context_news_count_log1p_20d_normalized,context_news_count_log1p_60d_normalized,n8b_prob_up_delta_vs_stage2,n9a_prob_up_delta_vs_stage2
2067,2023-12-26T00:00:00,1,5.104809742317862e-05,1,1,0.9888258576393129,1,1,0.9886569380760192,9.02621541172266e-05,0.0002576799347189,2.90029610114928e-05,0.0002686446674816,1.3257111310958862,2.0044219493865967,1,1,0.988503873348236,9.33455303311348e-05,0.0004322573283857,3.102662232468134e-05,0.0004702490982247,-0.9000669121742249,-0.6200695633888245,-0.8453408479690552,-0.00016891956329367908,-0.0003219842910768822
996,2021-01-19T00:00:00,1,0.2920853940585917,1,1,0.9884018301963806,1,1,0.988240122795105,8.929427713155746e-05,0.0002504384867471,2.8786094778521232e-05,0.0002601501661916,1.7548706531524658,2.287898063659668,1,1,0.9881408214569092,8.680741302669048e-05,0.0003723324735987,3.180989296769354e-05,0.0004123375183911,1.4741131067276,1.785123586654663,1.260290503501892,-0.00016170740127563477,-0.00026100873947143555
2245,2024-06-21T00:00:00,0,-0.1060694167894641,0,1,0.0115021895617246,0,1,0.0113897342234849,7.099355570971966e-05,0.0001836723833187,2.3476536671507287e-05,0.0001889261687215,0.9442360997200012,1.9397281408309937,0,1,0.0112932482734322,5.864212289452553e-05,0.0002875551731079,2.0218085107603923e-05,0.0003215775004576,0.6806208491325378,0.7792720198631287,0.8945314884185791,-0.00011245533823970102,-0.00020894128829240105
2247,2024-06-23T00:00:00,0,-0.0633758798645974,0,1,0.0188299417495727,0,1,0.0186843145638704,6.74158800393343e-05,0.0001587476275839,2.3166508323679835e-05,0.0001601317317073,0.5627610087394714,1.898559331893921,0,1,0.0184859652072191,6.046600174158812e-05,0.0002927540749868,2.1005512281568883e-05,0.000327456225343,0.546973466873169,0.8883792161941528,0.8543426990509033,-0.00014562718570229963,-0.00034397654235359884
