transition,count,funding_rate_max_7_normalized,funding_rate_mean_20_normalized,funding_rate_max_60_normalized,cot_open_interest_normalized,cot_lev_money_net_ratio_normalized,cot_open_interest_zscore_60_normalized,cot_open_interest_change_20_normalized,cot_dealer_net_ratio_normalized,prob_up_delta_stage4_minus_stage2,true_prob_delta_stage4_minus_stage2,future_return
both_correct,4037,-0.27754992671559403,0.12191342795100174,-0.7309823482233082,2.475790289816134,-1.1798233379385972,-0.12739355954044532,0.2817019614817797,-0.8360356105685923,-0.005868436803255493,-0.00329054568349531,0.06364149254721867
both_wrong,3051,-0.27114496757625667,0.1074902336753045,-0.6271156758897598,2.4567042829957906,-1.2034094770011134,-0.11230746065183674,0.26614400652348785,-0.5022372128419659,-0.005703509005317121,0.003630050460761257,-0.02594544659954219
stage2_correct_to_stage4_wrong,51,-0.13658556550021556,0.2575188675597779,-0.5529555524171892,2.3825627017687956,-1.4098444237921253,-0.1132909442022791,0.2823406420818452,-0.3007804965915567,-0.013837531501171627,-0.015113237441754789,0.12695583176047698
stage2_wrong_to_stage4_correct,66,0.029616662201353023,0.3022150130064729,-0.40998613473524764,2.3425602610146186,-1.1684191554457046,-0.15512698354418933,0.4066292793106094,-0.6348031719194651,-0.012789121179869661,0.014828933910890043,-0.061040437315203006
