split,feature,num_rows,raw_missing_rate,raw_mean,raw_std,raw_min,raw_max,normalized_mean,normalized_std,normalized_min,normalized_max
test,combo_news_svd_60d_09,1441,0.0,0.03889211402941428,0.023237794273654484,0.007984875332812,0.2392329627821798,0.27080681789573346,0.1269009935616172,0.1020231866845914,1.3648630117973677
test,combo_news_svd_20d_18,1441,0.0,-0.002471407104101106,0.011434216264468493,-0.031767203875663,0.0290598699855354,-0.05760584825645459,0.0954354911615107,-0.3021227166796848,0.2055694185390632
test,combo_fg_mean_60,1441,0.0,49.45468424705066,19.266506587209822,11.9,91.5,0.5231291957475395,1.248438622883095,-1.5871386212959535,2.2878979837956224
test,combo_fg_delta_60,1441,0.0,-0.5475364330326162,23.39154930730474,-74.0,68.0,-0.16963552996313813,0.9396141611701068,-2.317843389844567,1.939576453648448
test,combo_ofr_fsi_std_60,1441,0.0,0.518348649801879,0.2735565797527812,0.12447507001515,1.364984384194889,-0.4271256723395048,0.23004515872629253,-0.6631633886066758,0.3047159133863738
test,combo_riskoff_dollar_return_20,1441,0.0,0.0022703836528978737,0.015419519025638201,-0.0625746167392978,0.0409025982138459,0.20648999177398084,1.210899878731249,-2.6842313327780785,2.878537378902939
train,combo_news_svd_60d_09,671,0.0,-0.0107377311826971,0.1834165531877349,-0.3830421552143476,0.4253919174879591,-1.1912974332788566e-17,1.0007459904058746,-1.9752298934276733,2.3627351962074914
train,combo_news_svd_20d_18,671,0.0,0.0044967171537178465,0.12058965695000035,-0.2561662062656419,0.2974453475966104,1.588396577705142e-17,1.0007459904058735,-1.9910673333706843,2.184301516960677
train,combo_fg_mean_60,671,0.0,41.45953800298062,14.278412544045237,17.866666666666667,79.68333333333334,-3.176793155410284e-16,1.0007459904058744,-1.5871386212959535,2.2878979837956224
train,combo_fg_delta_60,671,0.0,3.5543964232488823,24.91004007050679,-79.0,55.0,0.0,1.0007459904058715,-2.317843389844567,1.939576453648448
train,combo_ofr_fsi_std_60,671,0.0,1.0163387339148273,1.145849834807789,0.2351288559250103,5.290437132196355,4.235724207213712e-17,1.0007459904058742,-0.6631633886066758,3.7049032201323726
train,combo_riskoff_dollar_return_20,671,0.0,-0.00012013796520092577,0.01290314839861434,-0.0382817337343649,0.0545644287110106,-8.471448414427424e-17,1.0007459904058729,-2.6842313327780785,2.878537378902939
validation,combo_news_svd_60d_09,287,0.0,0.004641325436979111,0.16463984018776417,-0.3779669571192469,0.4220561362696177,0.08386832646805095,0.8988438761640274,-1.9752298934276733,2.3627351962074914
validation,combo_news_svd_20d_18,287,0.0,0.007964595830851136,0.12208197357224981,-0.2520792363424446,0.2955790118599964,0.030515865589608095,1.0122990858167518,-1.9910673333706843,2.184301516960677
validation,combo_fg_mean_60,287,0.0,40.71260162601626,13.051351082567967,17.95,80.3,-0.05202472528918464,0.9127767037220587,-1.5871386212959535,2.2878979837956224
validation,combo_fg_delta_60,287,0.0,1.9059233449477353,24.384339518271865,-67.0,52.0,-0.06468773113877413,0.9766889431258403,-2.317843389844567,1.939576453648448
validation,combo_ofr_fsi_std_60,287,0.0,0.9165018651152311,1.0469083154775856,0.2338971491673298,5.287338886329176,-0.08721904317538003,0.9144620596044718,-0.6631633886066758,3.7049032201323726
validation,combo_riskoff_dollar_return_20,287,0.0,0.001274912629486882,0.011901639344841583,-0.0469318223869218,0.046686781430117,0.1198802841674771,0.9263886719372242,-2.6842313327780785,2.878537378902939
