context_method,experiment_name,run_seed,split,prob_up_mean,prob_up_std,prob_up_min,prob_up_max,prob_up_q00,prob_up_q01,prob_up_q05,prob_up_q10,prob_up_q25,prob_up_q50,prob_up_q75,prob_up_q90,prob_up_q95,prob_up_q99,prob_up_q100
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,42,validation,0.5943013907228483,0.2834121777033364,0.0040669958107173,0.9881442785263062,0.0040669958107173,0.019356137886643345,0.09401437863707535,0.16377380490303034,0.37010765075683594,0.6458945274353027,0.8493360280990601,0.9244167447090149,0.9597835719585419,0.9861124062538146,0.9881442785263062
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,42,test,0.5497588544371774,0.2763730865016847,0.008260641247034,0.9948108196258544,0.008260641247034,0.03341928571462624,0.0888479277491569,0.1488917022943496,0.314432680606842,0.5784634351730347,0.7953617572784424,0.901252031326294,0.9409641623497008,0.978728973865509,0.9948108196258544
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,43,validation,0.5075221613101427,0.007354183052642098,0.485351026058197,0.5321642160415649,0.485351026058197,0.4917827665805817,0.49632446169853206,0.4984377562999725,0.5023587048053741,0.5078299045562744,0.5122558772563934,0.5168714165687561,0.5195797204971313,0.5250375747680663,0.5321642160415649
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,43,test,0.507721632305406,0.007531637585906441,0.4830136895179748,0.5334659218788147,0.4830136895179748,0.49013860821723937,0.4956483840942383,0.4981309473514557,0.5027310848236084,0.5075545907020569,0.5126920938491821,0.5176144242286682,0.5206246376037598,0.5250004649162292,0.5334659218788147
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,44,validation,0.507286499809305,0.006928409347547663,0.4902742505073547,0.5279752016067505,0.4902742505073547,0.49278404891490935,0.4965495467185974,0.49867172241210933,0.5024628639221191,0.5067550539970398,0.5122913122177124,0.5163315057754516,0.5188969254493714,0.5231424188613891,0.5279752016067505
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,44,test,0.5070404109857216,0.006351453654153985,0.486874908208847,0.5271005034446716,0.486874908208847,0.4920944511890411,0.4964150488376617,0.4991273581981659,0.5027022361755371,0.5070110559463501,0.5113803148269653,0.5150258541107178,0.5174095034599304,0.5215248465538025,0.5271005034446716
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,45,validation,0.5775306721182235,0.2802781686992871,0.033226653933525,0.9886016249656676,0.033226653933525,0.04994513988494869,0.11305780634284016,0.16374331116676324,0.31512787938117975,0.6277852058410645,0.8254954814910889,0.9188826918601989,0.959244465827942,0.9850379383563995,0.9886016249656676
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,45,test,0.5383021614393433,0.26799087006180744,0.0054547768086194,0.9956766963005066,0.0054547768086194,0.03327731937170022,0.0849237516522407,0.1535069346427917,0.3181442320346832,0.5605502128601074,0.7727686166763306,0.8853293657302856,0.9255648255348206,0.9703889608383178,0.9956766963005066
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,46,validation,0.6018628055937199,0.21795124474266303,0.0791140049695968,0.961942732334137,0.0791140049695968,0.14529058873653408,0.21545904576778413,0.2775725185871124,0.42745962738990784,0.6351183652877808,0.7788649201393127,0.8741642594337463,0.8987585783004761,0.9311350142955779,0.961942732334137
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,46,test,0.6053338191477811,0.21177902978342217,0.0271310433745384,0.9735060334205629,0.0271310433745384,0.09709372818469995,0.2052722573280334,0.2992466688156128,0.4604462087154388,0.6281832456588745,0.7758585214614868,0.8611999154090881,0.9022654294967652,0.9384469151496883,0.9735060334205629
