run_seed,sample_index,Date_stage2,label_stage2,future_return_stage2,entry_close_stage2,exit_close_stage2,prob_down_stage2,prob_up_stage2,pred_class_stage2,correct_stage2,logit_down_stage2,logit_up_stage2,Date_stage4,label_stage4,future_return_stage4,entry_close_stage4,exit_close_stage4,prob_down_stage4,prob_up_stage4,pred_class_stage4,correct_stage4,logit_down_stage4,logit_up_stage4,label,Date,future_return,stage2_correct,stage4_correct,stage2_margin,stage4_margin,prob_up_delta_stage4_minus_stage2,stage2_true_prob,stage4_true_prob,true_prob_delta_stage4_minus_stage2,transition,funding_missing,activity_missing,cftc_missing,funding_rate_mean_7_missing,funding_rate_sum_7_missing,funding_rate_abs_mean_7_missing,funding_rate_min_7_missing,funding_rate_max_7_missing,funding_rate_mean_20_missing,funding_rate_sum_20_missing,funding_rate_abs_mean_20_missing,funding_rate_min_20_missing,funding_rate_max_20_missing,funding_rate_mean_60_missing,funding_rate_sum_60_missing,funding_rate_abs_mean_60_missing,funding_rate_min_60_missing,funding_rate_max_60_missing,bitmex_trades_mean_7_missing,bitmex_trades_mean_20_missing,bitmex_trades_mean_60_missing,bitmex_volume_mean_7_missing,bitmex_volume_mean_20_missing,bitmex_volume_mean_60_missing,bitmex_turnover_mean_7_missing,bitmex_turnover_mean_20_missing,bitmex_turnover_mean_60_missing,bitmex_homenotional_mean_20_missing,bitmex_homenotional_mean_60_missing,bitmex_foreignnotional_mean_20_missing,bitmex_foreignnotional_mean_60_missing,cot_open_interest_missing,cot_lev_money_net_ratio_missing,cot_asset_mgr_net_ratio_missing,cot_dealer_net_ratio_missing,cot_other_rept_net_ratio_missing,cot_nonrept_net_ratio_missing,cot_age_days_missing,cot_open_interest_change_20_missing,cot_open_interest_pct_change_20_missing,cot_open_interest_change_60_missing,cot_open_interest_pct_change_60_missing,cot_open_interest_zscore_60_missing,cot_lev_money_net_ratio_change_20_missing,cot_lev_money_net_ratio_change_60_missing,cot_asset_mgr_net_ratio_change_20_missing,cot_asset_mgr_net_ratio_change_60_missing,cot_dealer_net_ratio_change_20_missing,cot_dealer_net_ratio_change_60_missing,funding_rate_mean_7_normalized,funding_rate_sum_7_normalized,funding_rate_abs_mean_7_normalized,funding_rate_min_7_normalized,funding_rate_max_7_normalized,funding_rate_mean_20_normalized,funding_rate_sum_20_normalized,funding_rate_abs_mean_20_normalized,funding_rate_min_20_normalized,funding_rate_max_20_normalized,funding_rate_mean_60_normalized,funding_rate_sum_60_normalized,funding_rate_abs_mean_60_normalized,funding_rate_min_60_normalized,funding_rate_max_60_normalized,bitmex_trades_mean_7_normalized,bitmex_trades_mean_20_normalized,bitmex_trades_mean_60_normalized,bitmex_volume_mean_7_normalized,bitmex_volume_mean_20_normalized,bitmex_volume_mean_60_normalized,bitmex_turnover_mean_7_normalized,bitmex_turnover_mean_20_normalized,bitmex_turnover_mean_60_normalized,bitmex_homenotional_mean_20_normalized,bitmex_homenotional_mean_60_normalized,bitmex_foreignnotional_mean_20_normalized,bitmex_foreignnotional_mean_60_normalized,cot_open_interest_normalized,cot_lev_money_net_ratio_normalized,cot_asset_mgr_net_ratio_normalized,cot_dealer_net_ratio_normalized,cot_other_rept_net_ratio_normalized,cot_nonrept_net_ratio_normalized,cot_age_days_normalized,cot_open_interest_change_20_normalized,cot_open_interest_pct_change_20_normalized,cot_open_interest_change_60_normalized,cot_open_interest_pct_change_60_normalized,cot_open_interest_zscore_60_normalized,cot_lev_money_net_ratio_change_20_normalized,cot_lev_money_net_ratio_change_60_normalized,cot_asset_mgr_net_ratio_change_20_normalized,cot_asset_mgr_net_ratio_change_60_normalized,cot_dealer_net_ratio_change_20_normalized,cot_dealer_net_ratio_change_60_normalized,context_features_path,context_features_available,selection_score
43,2094,2024-01-22T00:00:00,1,0.2206825107751158,39568.02,48299.99,0.4865859150886535,0.5134140849113464,1,1,-0.102232851088047,-0.0485636368393898,2024-01-22T00:00:00,1,0.2206825107751158,39568.02,48299.99,0.5066146850585938,0.4933853447437286,0,0,-0.0603012479841709,-0.0867614820599556,1,2024-01-22T00:00:00,0.2206825107751158,True,False,0.013414084911346436,0.006614655256271418,-0.020028740167617853,0.5134140849113464,0.4933853447437286,-0.020028740167617853,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1365375451946704,0.1365375451946617,-0.7125473805764889,0.5917673110673225,-0.5081047145983825,0.1985819431117988,0.1985819431117981,-0.7458618738469062,0.5944377448642564,0.1052301013269323,0.5254671673701807,0.5254671673702044,-1.0079025258541867,0.9928108810197548,-0.4352555611977977,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-0.1861338568266547,1.873695395246621,-2.157596342979589,0.7588866366993798,-1.654213401240724,0.0373674544964028,3.3873391643454656,0.5684802045387626,2.7334667189655195,0.2719040671896144,1.5449892914897505,1.3088858574716409,0.5040983968593994,-2.249460906510704,-2.2569189619016816,1.1513003056589963,1.633560520125046,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_43/context_features.csv,True,0.020028740167617853
44,2382,2024-11-05T00:00:00,1,0.3407426136275999,69372.01,93010.01,0.4979835450649261,0.5020164251327515,1,1,0.6379383206367493,0.6460040807723999,2024-11-05T00:00:00,1,0.3407426136275999,69372.01,93010.01,0.5168289542198181,0.4831710755825043,0,0,0.6746874451637268,0.6073462963104248,1,2024-11-05T00:00:00,0.3407426136275999,True,False,0.002016425132751465,0.016828924417495728,-0.018845349550247192,0.5020164251327515,0.4831710755825043,-0.018845349550247192,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3012897018676612,0.3012897018676596,-0.5194555514433989,0.8387712634986899,-0.1681059214523502,0.3006663473990794,0.3006663473990666,-0.7859448254275875,1.0409365737576746,-0.432977194361668,0.2367316515356013,0.2367316515355794,-1.1620220734552174,1.0254742221643491,-0.8818150423708218,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-1.698739224182915,1.873695395246621,2.2077482378909217,1.093564753337767,-2.18496883113175,0.5388386938381285,3.3873391643454656,2.016573052154788,2.7334667189655195,1.373119813264201,1.3879571683378067,1.882086124438567,0.2863642834686162,-2.0669557578982825,-2.2569189619016816,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_44/context_features.csv,True,0.018845349550247192
44,2059,2023-12-18T00:00:00,1,0.0298004116480454,42657.8,43929.02,0.4830767810344696,0.5169232487678528,1,1,0.5679917931556702,0.635710597038269,2023-12-18T00:00:00,1,0.0298004116480454,42657.8,43929.02,0.5016212463378906,0.498378723859787,0,0,0.6064372658729553,0.5999521613121033,1,2023-12-18T00:00:00,0.0298004116480454,True,False,0.016923248767852783,0.0016212761402130127,-0.018544524908065796,0.5169232487678528,0.498378723859787,-0.018544524908065796,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2097252151813053,0.2097252151813087,-0.6385530951390637,0.8387712634986899,-0.4723153679514317,0.3240035691161804,0.3240035691161983,-0.7509532418306464,0.9091012649479188,-0.3332672111604116,0.61995592184796,0.619955921848024,-0.9573326769019948,1.119834985470955,-0.6129392284434853,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-1.1556069316468542,1.873695395246621,-2.157596342979589,1.16939272350145,-1.7823960136958656,0.0373674544964028,-2.468333880527924,-0.671801014330503,2.7334667189655195,0.9549776842800722,0.0293578735656397,-0.4910152849031471,0.6146525254487698,1.0713618761423516,2.070572958709137,1.1739001163934122,-2.250738642338061,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_44/context_features.csv,True,0.018544524908065796
44,2402,2024-11-25T00:00:00,1,0.1231478203260059,93010.01,104463.99,0.4900247454643249,0.509975254535675,1,1,-0.1492323726415634,-0.1093261018395423,2024-11-25T00:00:00,1,0.1231478203260059,93010.01,104463.99,0.5081096291542053,0.4918904304504394,0,0,-0.11406721919775,-0.146508440375328,1,2024-11-25T00:00:00,0.1231478203260059,True,False,0.009975254535675049,0.008109569549560602,-0.01808482408523565,0.509975254535675,0.4918904304504394,-0.01808482408523565,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4938467811993201,0.4938467811993401,-0.2689973661846693,0.8387712634986899,0.1301386339389061,0.505727836585708,0.505727836585722,-0.488238653872008,1.0409365737576746,0.1448874810092502,0.5388679821188788,0.5388679821188691,-1.0281465321066474,1.1107618351530122,-0.4023511783745223,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-1.281820192968358,1.873695395246621,2.2077482378909217,1.0211366626947056,-2.216051034868378,0.0373674544964028,3.3873391643454656,1.4318977367213614,2.7334667189655195,1.2896055223399534,1.1430123914993788,0.5335825821285997,0.3897254355329735,-1.1097265350232308,-1.411328296377931,0.3079100484150182,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_44/context_features.csv,True,0.01808482408523565
44,1245,2021-09-25T00:00:00,1,0.4453127490002493,42670.64,61672.42,0.4857354164123535,0.5142645835876465,1,1,0.701971709728241,0.7590456008911133,2021-09-25T00:00:00,1,0.4453127490002493,42670.64,61672.42,0.5021551847457886,0.4978448450565338,0,0,0.7350102663040161,0.7263895273208618,1,2021-09-25T00:00:00,0.4453127490002493,True,False,0.014264583587646484,0.0021551549434661865,-0.01641973853111267,0.5142645835876465,0.4978448450565338,-0.01641973853111267,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6431188780910396,-0.6431188780910068,-0.2841703516817987,-0.2784717796180249,-0.5081047145983825,-0.2479496516562748,-0.2479496516562571,-0.6359808957261661,0.1914694424646257,-0.5553485373813919,0.0395575277336761,0.0395575277336783,-1.0712453787514722,0.6988408107184061,-0.9363423053351068,-1.3702387370711824,-1.435785835226369,-1.3936405297788186,-0.6889944485216395,-0.7261292275805126,-0.8768927634771414,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-0.7261292275805126,-0.8768927634771414,2.556624089605518,-2.463738670193471,0.1116695870182002,2.2077482378909217,2.734584900008897,-0.8812692602078992,-0.9655750241870484,3.3873391643454656,2.3537889175512814,2.244992393649113,0.0028648420422026,0.7515116734896913,-0.5633358968699701,-2.346797369128631,-0.446986971466267,0.0010052892453054,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_44/context_features.csv,True,0.01641973853111267
43,1276,2021-10-26T00:00:00,1,0.0543344050711427,60328.81,63606.74,0.493861585855484,0.5061384439468384,1,1,-0.0797404646873474,-0.0551855377852916,2021-10-26T00:00:00,1,0.0543344050711427,60328.81,63606.74,0.509854257106781,0.4901457130908966,0,0,-0.0445648394525051,-0.0839870274066925,1,2021-10-26T00:00:00,0.0543344050711427,True,False,0.006138443946838379,0.009854286909103394,-0.015992730855941772,0.5061384439468384,0.4901457130908966,-0.015992730855941772,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4000451168277669,0.4000451168278076,-0.3910047975099175,0.8387712634986899,0.4149621843375558,0.4165235382734477,0.4165235382734858,-0.6177445413118254,0.91905109957507,0.0100523900893693,0.1720044152495481,0.1720044152495721,-0.9386953378123568,0.6698067297009889,-0.5142260799736588,-1.3552388036704874,-1.435785835226369,-1.3936405297788186,-0.6229419553479423,-0.8464419933268366,-0.9539170560184932,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-0.8464419933268366,-0.9539170560184932,2.556624089605518,-1.13039094814327,0.2451912374290545,1.2487710967232637,2.0827304565538904,-1.850405102950157,0.5388386938381285,3.3873391643454656,3.2292054315669536,2.7334667189655195,3.297901955432723,1.4923253129431813,2.4724946802901835,1.145171901125841,-0.008324576925601,-0.1969294443978112,0.2856084055712531,-0.1929564811612588,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_43/context_features.csv,True,0.015992730855941772
44,2124,2024-02-21T00:00:00,1,0.3780684787227004,51849.39,71452.01,0.4860541820526123,0.5139458179473877,1,1,0.6556601524353027,0.7114578485488892,2024-02-21T00:00:00,1,0.3780684787227004,51849.39,71452.01,0.501424252986908,0.498575747013092,0,0,0.6874576210975647,0.6817606687545776,1,2024-02-21T00:00:00,0.3780684787227004,True,False,0.013945817947387695,0.0014242529869080145,-0.01537007093429571,0.5139458179473877,0.498575747013092,-0.01537007093429571,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4436700816887573,0.4436700816888441,-0.334261988733511,0.8387712634986899,-0.0950360053814924,0.3012402135068396,0.3012402135068652,-0.7282735117214364,0.743685264271527,-0.3774568628064229,0.493981757960709,0.493981757960731,-1.0051711916772386,0.9928108810197548,-0.4352555611977977,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,0.499763648413044,1.873695395246621,-2.157596342979589,0.7791764881154154,-1.9766524404150925,1.0403099331798542,-1.969245741992177,-0.5129690571939753,2.7334667189655195,0.0756017470586469,0.5634527261717506,0.5466996845461988,1.3888625373702,0.6900297177807696,-2.2569189619016816,-3.2922118499220376,0.8130903826233913,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_44/context_features.csv,True,0.01537007093429571
45,2378,2024-11-01T00:00:00,1,0.4147160390934674,69496.01,98317.12,0.4953335225582123,0.5046664476394653,1,1,-1.4200174808502195,-1.4013510942459106,2024-11-01T00:00:00,1,0.4147160390934674,69496.01,98317.12,0.5097917914390564,0.4902081787586212,0,0,-1.3916856050491333,-1.4308578968048096,1,2024-11-01T00:00:00,0.4147160390934674,True,False,0.004666447639465332,0.009791821241378784,-0.014458268880844116,0.5046664476394653,0.4902081787586212,-0.014458268880844116,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3012897018676612,0.3012897018676596,-0.5194555514433989,0.8387712634986899,-0.1681059214523502,0.3006663473990794,0.3006663473990666,-0.7859448254275874,1.0409365737576746,-0.432977194361668,0.2072628695883004,0.2072628695882802,-1.1620220734552174,1.0254742221643491,-0.8818150423708218,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,-1.698739224182915,1.873695395246621,2.2077482378909217,1.093564753337767,-2.18496883113175,-1.467046263528774,3.3873391643454656,2.016573052154788,-3.1218642944566826,-0.7698453361875803,1.2506483571169735,1.882086124438567,-0.4458730819187472,-2.0669557578982825,-1.6802827376169025,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_45/context_features.csv,True,0.014458268880844116
43,1722,2023-01-15T00:00:00,1,0.1176408020506432,20871.5,23326.84,0.4929228127002716,0.507077157497406,1,1,0.5607262849807739,0.5890368819236755,2023-01-15T00:00:00,1,0.1176408020506432,20871.5,23326.84,0.5068831443786621,0.4931168854236603,0,0,0.5900838971138,0.5625497102737427,1,2023-01-15T00:00:00,0.1176408020506432,True,False,0.007077157497406006,0.006883114576339722,-0.013960272073745728,0.507077157497406,0.4931168854236603,-0.013960272073745728,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1692962184419706,0.16929621844196,-0.691138921587565,0.6882787891696448,-0.5081047145983825,0.0230426770263474,0.0230426770263437,-0.8961035145293396,0.5571258650124388,-0.6913166962921962,-0.2300525534596345,-0.2300525534596496,-0.9904701871367708,0.7169871113542918,-1.0961635933338731,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,0.4161665500693996,1.873695395246621,-2.157596342979589,0.1194645464706133,-1.9258444375410235,-0.4641037848453228,-2.759836687106325,-1.0571242383065045,-3.1218642944566826,-1.5791685304421843,-1.0477791037887485,-0.4767608302217469,0.2791416091987569,1.033867548996278,1.5216866933633162,-0.76475809897618,-2.250738642338061,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_43/context_features.csv,True,0.013960272073745728
45,1665,2022-11-19T00:00:00,1,0.0256205136557314,16700.68,17128.56,0.4915470480918884,0.5084529519081116,1,1,-0.918688178062439,-0.8848731517791748,2022-11-19T00:00:00,1,0.0256205136557314,16700.68,17128.56,0.5054501891136169,0.4945498406887054,0,0,-0.8910776376724243,-0.9128791689872742,1,2022-11-19T00:00:00,0.0256205136557314,True,False,0.008452951908111572,0.005450159311294611,-0.013903111219406183,0.5084529519081116,0.4945498406887054,-0.013903111219406183,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5224710814973247,-0.5224710814973301,-0.1596687309596997,-0.7037765983740217,-0.5081047145983825,-0.9930829111821844,-0.9930829111821512,0.3956228280972706,-2.2101718906640384,-0.6913166962921962,-0.5855644592918766,-0.5855644592918653,-0.7636087837353912,-1.053184515676362,-1.0961635933338731,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,2.556624089605518,0.4799776322021301,1.594971063635895,-2.157596342979589,0.9326690802543496,-2.216051034868378,-0.9655750241870484,3.3873391643454656,0.4961304421519422,2.7334667189655195,0.6050652547679243,2.380596496189446,0.7894180047224575,1.353754478205353,-0.971214258344742,-0.6333156400360469,0.1705767425689074,0.3478011431754632,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi/seed_45/context_features.csv,True,0.013903111219406183
