,ofr_fsi_value_normalized,ofr_fsi_mean_20_normalized,ofr_fsi_mean_60_normalized,ofr_fsi_delta_20_normalized,ofr_fsi_delta_60_normalized,ofr_fsi_std_60_normalized
ofr_fsi_value_normalized,1.0,0.8964430285513029,0.5577648264324745,0.42381250034261125,0.7288377661726939,0.8763860790980335
ofr_fsi_mean_20_normalized,0.8964430285513029,1.0,0.7627173679043326,0.02622630560764438,0.5881106364352716,0.9419715976584753
ofr_fsi_mean_60_normalized,0.5577648264324745,0.7627173679043326,1.0,-0.3753743344989495,0.028922575932616986,0.7597352632664902
ofr_fsi_delta_20_normalized,0.42381250034261125,0.02622630560764438,-0.3753743344989495,1.0,0.49519342767972957,0.0630565858299497
ofr_fsi_delta_60_normalized,0.7288377661726939,0.5881106364352716,0.028922575932616986,0.49519342767972957,1.0,0.49688591049197445
ofr_fsi_std_60_normalized,0.8763860790980335,0.9419715976584753,0.7597352632664902,0.0630565858299497,0.49688591049197445,1.0
