run_seed,sample_index,Date_stage2,label_stage2,future_return_stage2,entry_close_stage2,exit_close_stage2,prob_down_stage2,prob_up_stage2,pred_class_stage2,correct_stage2,logit_down_stage2,logit_up_stage2,Date_stage4,label_stage4,future_return_stage4,entry_close_stage4,exit_close_stage4,prob_down_stage4,prob_up_stage4,pred_class_stage4,correct_stage4,logit_down_stage4,logit_up_stage4,label,Date,future_return,stage2_correct,stage4_correct,stage2_margin,stage4_margin,prob_up_delta_stage4_minus_stage2,stage2_true_prob,stage4_true_prob,true_prob_delta_stage4_minus_stage2,transition,funding_missing,activity_missing,cftc_missing,funding_rate_mean_7_missing,funding_rate_sum_7_missing,funding_rate_abs_mean_7_missing,funding_rate_min_7_missing,funding_rate_max_7_missing,funding_rate_mean_20_missing,funding_rate_sum_20_missing,funding_rate_abs_mean_20_missing,funding_rate_min_20_missing,funding_rate_max_20_missing,funding_rate_mean_60_missing,funding_rate_sum_60_missing,funding_rate_abs_mean_60_missing,funding_rate_min_60_missing,funding_rate_max_60_missing,bitmex_trades_mean_7_missing,bitmex_trades_mean_20_missing,bitmex_trades_mean_60_missing,bitmex_volume_mean_7_missing,bitmex_volume_mean_20_missing,bitmex_volume_mean_60_missing,bitmex_turnover_mean_7_missing,bitmex_turnover_mean_20_missing,bitmex_turnover_mean_60_missing,bitmex_homenotional_mean_20_missing,bitmex_homenotional_mean_60_missing,bitmex_foreignnotional_mean_20_missing,bitmex_foreignnotional_mean_60_missing,cot_open_interest_missing,cot_lev_money_net_ratio_missing,cot_asset_mgr_net_ratio_missing,cot_dealer_net_ratio_missing,cot_other_rept_net_ratio_missing,cot_nonrept_net_ratio_missing,cot_age_days_missing,cot_open_interest_change_20_missing,cot_open_interest_pct_change_20_missing,cot_open_interest_change_60_missing,cot_open_interest_pct_change_60_missing,cot_open_interest_zscore_60_missing,cot_lev_money_net_ratio_change_20_missing,cot_lev_money_net_ratio_change_60_missing,cot_asset_mgr_net_ratio_change_20_missing,cot_asset_mgr_net_ratio_change_60_missing,cot_dealer_net_ratio_change_20_missing,cot_dealer_net_ratio_change_60_missing,funding_rate_mean_7_normalized,funding_rate_sum_7_normalized,funding_rate_abs_mean_7_normalized,funding_rate_min_7_normalized,funding_rate_max_7_normalized,funding_rate_mean_20_normalized,funding_rate_sum_20_normalized,funding_rate_abs_mean_20_normalized,funding_rate_min_20_normalized,funding_rate_max_20_normalized,funding_rate_mean_60_normalized,funding_rate_sum_60_normalized,funding_rate_abs_mean_60_normalized,funding_rate_min_60_normalized,funding_rate_max_60_normalized,bitmex_trades_mean_7_normalized,bitmex_trades_mean_20_normalized,bitmex_trades_mean_60_normalized,bitmex_volume_mean_7_normalized,bitmex_volume_mean_20_normalized,bitmex_volume_mean_60_normalized,bitmex_turnover_mean_7_normalized,bitmex_turnover_mean_20_normalized,bitmex_turnover_mean_60_normalized,bitmex_homenotional_mean_20_normalized,bitmex_homenotional_mean_60_normalized,bitmex_foreignnotional_mean_20_normalized,bitmex_foreignnotional_mean_60_normalized,context_features_path,context_features_available,selection_score
44,985,2021-01-08T00:00:00,0,-0.1778573243203217,40582.81,33364.86,0.4775048792362213,0.5224951505661011,1,0,-0.0619994327425956,0.0280418321490287,2021-01-08T00:00:00,0,-0.1778573243203217,40582.81,33364.86,0.5104952454566956,0.4895047843456268,0,1,0.0046769459731876,-0.0373101904988288,0,2021-01-08T00:00:00,-0.1778573243203217,False,True,0.022495150566101074,0.010495215654373224,-0.0329903662204743,0.4775048792362213,0.5104952454566956,0.03299036622047424,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5990125576789502,1.5990125576789107,1.1684871228191789,0.8387712634986899,1.836097490776892,1.4286958266281928,1.4286958266282452,0.8517168291091108,1.0409365737576746,1.08986618543934,1.303462526528505,1.3034625265285336,-0.1293367545020946,1.226898159222681,0.3817132580429557,-0.2132994100262585,-0.6171958117309572,-0.9608601513847248,1.3168996660169965,0.6434133951246365,0.0237983591429035,-1.216518344841209,-1.4749405590171198,-1.813329814404042,-1.474940559017116,-1.8133298144040373,0.6434133951246365,0.0237983591429035,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_44/context_features.csv,True,0.03299036622047424
45,1076,2021-04-09T00:00:00,0,-0.078901609733596,58142.54,53555.0,0.4807557463645935,0.5192442536354065,1,0,-2.0467095375061035,-1.9696944952011108,2021-04-09T00:00:00,0,-0.078901609733596,58142.54,53555.0,0.5031412243843079,0.4968587458133697,0,1,-2.0052878856658936,-2.017853021621704,0,2021-04-09T00:00:00,-0.078901609733596,False,True,0.019244253635406494,0.0031412541866303045,-0.0223855078220368,0.4807557463645935,0.5031412243843079,0.022385478019714355,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4096514464688992,1.4096514464689338,0.922185919888291,0.8387712634986899,1.7227645597282146,1.205206859091203,1.2052068590911975,0.5272578330574769,0.9302446635306154,1.003753018129164,2.3792682251013204,2.3792682251013013,1.199176155819856,1.226898159222681,0.6468285710762035,-1.257787377006662,-1.2283114644797148,-1.1497791393030965,0.427566510635317,0.346178078711732,0.6307899434277283,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,0.346178078711732,0.6307899434277283,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_45/context_features.csv,True,0.022385478019714355
45,1089,2021-04-22T00:00:00,0,-0.0398452650134568,51690.96,49631.32,0.4806869328022003,0.5193130970001221,1,0,-1.8669757843017576,-1.7896850109100342,2021-04-22T00:00:00,0,-0.0398452650134568,51690.96,49631.32,0.5023979544639587,0.4976020753383636,0,1,-1.8255046606063845,-1.8350964784622192,0,2021-04-22T00:00:00,-0.0398452650134568,False,True,0.01931309700012207,0.002397924661636408,-0.02171102166175848,0.4806869328022003,0.5023979544639587,0.021711021661758423,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4499022195261288,0.4499022195261349,-0.3120221332788941,0.6195757030629069,0.3732079465827799,1.7637061077808331,1.7637061077808476,1.3443761092768023,0.8742768437528889,2.591181273412805,1.9696651665335865,1.9696651665336031,0.6960885004371473,1.1969567631734694,1.627379179209812,-0.9589759987746004,-1.2682713710411966,-1.2459217513135816,1.1951639535924323,0.6273759979907374,0.6343494843913811,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,0.6273759979907374,0.6343494843913811,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_45/context_features.csv,True,0.021711021661758423
44,2171,2024-04-08T00:00:00,0,-0.1187012007819044,71620.0,63118.62,0.4944468140602112,0.5055531859397888,1,0,1.291481375694275,1.3136950731277466,2024-04-08T00:00:00,0,-0.1187012007819044,71620.0,63118.62,0.515963077545166,0.484036922454834,0,1,1.3343942165374756,1.2705202102661133,0,2024-04-08T00:00:00,-0.1187012007819044,False,True,0.005553185939788818,0.015963077545166016,-0.021516263484954834,0.4944468140602112,0.515963077545166,0.021516263484954834,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4363193550089554,0.4363193550089465,-0.3438230480876839,0.8175060225608901,0.596891363126222,0.7294080928253545,0.7294080928253819,-0.1635019468393624,1.0247680924885534,0.1482866849820203,1.2686594396812152,1.268659439681285,-0.1723151011096821,1.226898159222681,0.0395076766808908,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_44/context_features.csv,True,0.021516263484954834
46,1081,2021-04-14T00:00:00,0,-0.1550125930101447,62959.53,53200.01,0.4855678975582123,0.5144320726394653,1,0,-0.4601198434829712,-0.4023754894733429,2021-04-14T00:00:00,0,-0.1550125930101447,62959.53,53200.01,0.5070061087608337,0.4929938912391662,0,1,-0.4139475226402282,-0.4419738054275512,0,2021-04-14T00:00:00,-0.1550125930101447,False,True,0.014432072639465332,0.007006108760833796,-0.021438181400299128,0.4855678975582123,0.5070061087608337,0.02143821120262146,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1507964538883035,2.150796453888298,1.886190121739064,0.8387712634986899,3.811967670243965,1.939245373866323,1.9392453738663145,1.5929274372080653,1.0409365737576746,2.591181273412805,2.4257579933544005,2.425757993354364,1.3318466967962137,1.226898159222681,1.627379179209812,-1.2624104291100295,-1.3071865443903858,-1.232465198019355,0.2101008545380309,0.2735056076010047,0.5055895946608118,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,0.2735056076010047,0.5055895946608118,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_46/context_features.csv,True,0.02143821120262146
44,2176,2024-04-13T00:00:00,0,-0.0163082986478895,63924.51,62882.01,0.4854017794132232,0.5145982503890991,1,0,-0.0919746682047844,-0.0335651561617851,2024-04-13T00:00:00,0,-0.0163082986478895,63924.51,62882.01,0.5045422911643982,0.4954576790332794,0,1,-0.0534242019057273,-0.0715939104557037,0,2024-04-13T00:00:00,-0.0163082986478895,False,True,0.014598250389099121,0.004542320966720581,-0.019140571355819702,0.4854017794132232,0.5045422911643982,0.019140511751174982,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2010961012527643,0.201096101252752,-0.6497769474244981,0.8175060225608901,-0.5081047145983825,0.728770463816696,0.728770463816717,-0.1644276501091158,1.0247680924885534,0.1482866849820203,1.2686594396812152,1.268659439681285,-0.1723151011096821,1.226898159222681,0.0395076766808908,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-1.3880579080515163,-1.4419359022813507,-1.50469816490311,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-1.4419359022813507,-1.50469816490311,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_44/context_features.csv,True,0.019140511751174982
45,1094,2021-04-27T00:00:00,0,-0.2085715163445337,55011.97,43538.04,0.488328218460083,0.511671781539917,1,0,-1.002023696899414,-0.955328106880188,2021-04-27T00:00:00,0,-0.2085715163445337,55011.97,43538.04,0.5056666135787964,0.4943333566188812,0,1,-0.9692469239234924,-0.9919143915176392,0,2021-04-27T00:00:00,-0.2085715163445337,False,True,0.011671781539916992,0.005666643381118774,-0.017338424921035767,0.488328218460083,0.5056666135787964,0.01733839511871338,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2415250979920833,0.2415250979921005,-0.5971911209760179,0.8387712634986899,-0.2471407286310331,1.3106069342235098,1.3106069342235174,0.6865713657835836,0.8742768437528889,2.591181273412805,1.835884702792713,1.8358847027927212,0.5308829494121015,1.1969567631734694,1.627379179209812,-0.9329079501401268,-1.158272351873921,-1.306610498996283,0.579297125020782,0.7236801165545776,0.4981264833132312,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,0.7236801165545776,0.4981264833132312,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_45/context_features.csv,True,0.01733839511871338
45,1069,2021-04-02T00:00:00,0,-0.1231390800442613,58950.01,51690.96,0.4911620020866394,0.5088379979133606,1,0,-1.387927770614624,-1.3525720834732056,2021-04-02T00:00:00,0,-0.1231390800442613,58950.01,51690.96,0.5079962611198425,0.4920037984848022,0,1,-1.355328917503357,-1.3873165845870972,0,2021-04-02T00:00:00,-0.1231390800442613,False,True,0.008837997913360596,0.00799620151519781,-0.016834199428558405,0.4911620020866394,0.5079962611198425,0.016834259033203125,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2313164252788154,1.2313164252787632,0.6902263059890064,0.8387712634986899,1.0084688495661556,1.1241004491890332,1.124100449189013,0.4095083771437091,0.9302446635306154,0.5709210455964371,2.317370772512229,2.317370772512213,1.1227389655449538,1.226898159222681,0.6468285710762035,-1.1130834914757823,-1.0611705889691103,-1.0912339333236354,0.2383298960538849,0.4379882106737185,0.5714405689430831,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,0.4379882106737185,0.5714405689430831,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_45/context_features.csv,True,0.016834259033203125
44,1284,2021-11-03T00:00:00,0,-0.0851432385405353,62896.48,57541.27,0.490887850522995,0.5091121792793274,1,0,0.2648563086986542,0.3013090491294861,2021-11-03T00:00:00,0,-0.0851432385405353,62896.48,57541.27,0.5060133337974548,0.4939866364002228,0,1,0.2961683571338653,0.2721138596534729,0,2021-11-03T00:00:00,-0.0851432385405353,False,True,0.009112179279327393,0.006013363599777222,-0.015125542879104614,0.490887850522995,0.5060133337974548,0.015125483274459839,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3847044698436174,0.3847044698437069,-0.4109583126841225,0.8387712634986899,-0.1725795897832191,0.4996065981024472,0.4996065981025319,-0.4971254052618396,1.0409365737576746,0.0100523900893693,0.207945920825431,0.2079459208254758,-0.8943111574373013,0.6698067297009889,-0.5142260799736588,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-0.7286856648191696,-0.8075352919914824,-0.97018369900263,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-0.8075352919914824,-0.97018369900263,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_44/context_features.csv,True,0.015125483274459839
44,1283,2021-11-02T00:00:00,0,-0.110294386316733,63219.99,56247.18,0.486341655254364,0.513658344745636,1,0,-0.1307936459779739,-0.0761466398835182,2021-11-02T00:00:00,0,-0.110294386316733,63219.99,56247.18,0.5007304549217224,0.4992695152759552,0,1,-0.1017059907317161,-0.1046277955174446,0,2021-11-02T00:00:00,-0.110294386316733,False,True,0.013658344745635986,0.0007304847240447998,-0.014388829469680786,0.486341655254364,0.5007304549217224,0.014388799667358398,stage2_wrong_to_stage4_correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3380433352669914,0.3380433352670674,-0.4716502546721195,0.8387712634986899,-0.2486319514079894,0.4763331392861871,0.4763331392862603,-0.530913574608154,1.0409365737576746,0.0100523900893693,0.1990662547419728,0.199066254742018,-0.9052766608240858,0.6698067297009889,-0.5142260799736588,-1.387652390306899,-1.435785835226369,-1.3936405297788186,-0.7209353422049731,-0.7865375811256929,-0.9627047986435447,-1.459808215132136,-1.592945973345119,-1.8145945374687,-1.592945973345115,-1.8145945374686965,-0.7865375811256929,-0.9627047986435447,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity/seed_44/context_features.csv,True,0.014388799667358398
