experiment_name,image_window,image_spec,return_horizon,run_seed,status,error,checkpoint_available,metrics_available,trading_available,num_samples,accuracy,majority_class_accuracy,accuracy_minus_majority_class_accuracy,roc_auc,average_precision,f1,brier_score,positive_rate,predicted_positive_rate,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net
stage2_i60_ohlc_r20,60,ohlc,20,42,ok,,True,True,True,1441,0.5419847328244275,0.5412907702984039,,0.5441279723806199,0.5587374417092488,0.6955719557195572,0.2547621153362169,0.5412907702984039,0.9632199861207494,3.1575879115336694,8.985735222661527,3.054083544504213,8.842558212965198
stage2_i60_ohlc_r20,60,ohlc,20,43,ok,,True,True,True,1441,0.5412907702984039,0.5412907702984039,,0.5442142829434811,0.5852947531833705,0.7023863124718596,0.24854044932879762,0.5412907702984039,1.0,3.1556853568046463,9.128912232357852,3.1556853568046463,9.128912232357852
stage2_i60_ohlc_r20,60,ohlc,20,44,ok,,True,True,True,1441,0.5697432338653713,0.5412907702984039,,0.5794367508437099,0.6150915085559341,0.6817248459958933,0.25134488779312997,0.5412907702984039,0.8105482303955587,3.1028364213953865,7.843236183233752,2.2520181411086586,6.55756013410965
stage2_i60_ohlc_r20,60,ohlc,20,45,ok,,True,True,True,1441,0.5655794587092297,0.5412907702984039,,0.5676306295822181,0.5862520411213947,0.6684322033898306,0.25859284648767406,0.5412907702984039,0.768910478834143,3.1546884917398645,7.972413687876456,2.3419026373619407,6.815915143395062
stage2_i60_ohlc_r20,60,ohlc,20,46,ok,,True,True,True,1441,0.5718251214434421,0.5412907702984039,,0.5656794289925908,0.5754504976570634,0.6566499721758485,0.25149344889852243,0.5412907702984039,0.7057598889659958,2.846343821496182,6.748729541777699,1.49424553810047,4.36804025855355
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,42,ok,,True,True,True,1441,0.5711311589174185,0.5412907702984039,,0.5608111253345747,0.5765008600389188,0.6856561546286877,0.2651916258220724,0.5412907702984039,0.8230395558639834,3.563484549255,9.139421204985094,3.1630900967065165,9.14993017761234
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,43,ok,,True,True,True,1441,0.5322692574600971,0.5412907702984039,,0.5437759416579386,0.5676149827694026,0.5542328042328043,0.29888658083026326,0.5412907702984039,0.5079805690492714,2.714333492018434,5.5438549793492475,0.6682248977755576,1.9582911336966489
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,44,ok,,True,True,True,1441,0.5579458709229702,0.5412907702984039,,0.5704332984211955,0.5896935808404831,0.6263929618768328,0.29409489577660586,0.5412907702984039,0.6419153365718251,3.0750270434457034,7.165701801627592,1.782039320741241,5.202491370897334
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,45,ok,,True,True,True,1441,0.5378209576682859,0.5412907702984039,,0.5594447030528724,0.5871716721366163,0.6082352941176472,0.27558716551812956,0.5412907702984039,0.6384455239417072,2.68821858825789,6.258532702688478,1.157454191703277,3.38764658037511
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,46,ok,,True,True,True,1441,0.5884802220680083,0.5412907702984039,,0.5880096202335234,0.593975585108048,0.6624928856004553,0.26064435855115337,0.5412907702984039,0.678001387925052,3.329371889953291,7.849934166974913,2.2566927745589918,6.5709561015919755
