split,feature,feature_group,num_rows,raw_missing_rate,raw_mean,raw_std,raw_min,raw_max,normalized_mean,normalized_std,normalized_min,normalized_max
test,news_svd_7d_00,news_svd_7d,1441,0.0,0.2926249442838798,0.04204802441383823,0.1600498621340036,0.39871160724746535,0.4245911861662298,0.7612112675075124,-1.9787311303672057,2.106761002881979
test,news_svd_7d_01,news_svd_7d,1441,0.0,0.061449794371491485,0.030668333656381205,-0.024870799013691266,0.18064707021230342,0.3016478088841273,0.1982493163527571,-0.2563544229135586,1.0721747866886444
test,news_svd_7d_02,news_svd_7d,1441,0.0,-0.03119291101385499,0.01725531012174599,-0.09268497754542007,0.020758683428108545,-0.2621046462774617,0.14738916677115632,-0.7873495932055335,0.1816487353313795
test,news_svd_7d_03,news_svd_7d,1441,0.0,-0.004739011722199631,0.01689470090490686,-0.07207575158740434,0.03758171280278465,-0.09155885522129778,0.1557847760204503,-0.712465907491252,0.29867738679663713
test,news_svd_7d_04,news_svd_7d,1441,0.0,5.304196270862581e-05,0.013358878523381565,-0.047078371568737315,0.057632404404489836,-0.11369794939230743,0.12896290093885598,-0.5686915181807102,0.44215721477474146
test,news_svd_7d_05,news_svd_7d,1441,0.0,0.005145518386893403,0.014180332636211613,-0.03807800007193354,0.06392555027797422,0.14278237200460622,0.147750188395992,-0.3075796300207186,0.7552335047553118
test,news_svd_7d_06,news_svd_7d,1441,0.0,0.01241476569817057,0.013674748630773632,-0.036535165649339105,0.062434649213421095,0.12498336600762909,0.14436061119084256,-0.3917677785928631,0.6530297053535986
test,news_svd_7d_07,news_svd_7d,1441,0.0,0.01639360976884581,0.014460620624574276,-0.021467181424930232,0.07015430564636088,0.2319121801255271,0.14945492218709425,-0.15939063797009684,0.7875453598967855
test,news_svd_7d_08,news_svd_7d,1441,0.0,0.01419960184859285,0.01458440770920446,-0.027739576957370855,0.062451221145146556,0.11420366946750507,0.15698786491096212,-0.33723339044903056,0.6335884016347149
test,news_svd_7d_09,news_svd_7d,1441,0.0,0.028285897065772156,0.015720868334270763,-0.013547769441954488,0.08685164654136955,0.20489519523389077,0.16727990693158146,-0.2402412750439091,0.828071530875575
test,news_svd_7d_10,news_svd_7d,1441,0.0,0.008712806923760136,0.015950352712318927,-0.03791019414276513,0.05023035383669748,0.12476905126647679,0.17538129978040687,-0.3878718084177926,0.5812731469822616
