selected_rank,feature,family,source_feature,num_rows_all,missing_rate_all,missing_rate_train,train_mean,train_std,train_unique,train_corr_label,train_abs_corr_label,train_corr_future_return,train_abs_corr_future_return,train_spearman_future_return,train_abs_spearman_future_return,test_corr_stage2_error_rate,test_abs_corr_stage2_error_rate,test_corr_stage2_prob_up_mean,test_abs_corr_stage2_prob_up_mean,test_corr_stage2_uncertainty,test_abs_corr_stage2_uncertainty,train_only_candidate_score,selection_note
1,news__news_svd_60d_09_normalized,news,news_svd_60d_09_normalized,2399,0.0,0.0,-1.1912974332788566e-17,1.0007459904058746,659,0.25841319498990856,0.25841319498990856,0.35004789435594225,0.35004789435594225,0.30997467736216955,0.30997467736216955,-0.011102229500111515,0.011102229500111515,0.15073759584048105,0.15073759584048105,-0.19617848167688334,0.19617848167688334,0.35004789435594225,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
2,news__news_svd_20d_09_normalized,news,news_svd_20d_09_normalized,2399,0.0,0.0,2.117862103606856e-17,1.000745990405874,656,0.2751522867491358,0.2751522867491358,0.340646675712233,0.340646675712233,0.3163026452938461,0.3163026452938461,-0.057881023393061164,0.057881023393061164,0.0467582435530825,0.0467582435530825,-0.07792161541336123,0.07792161541336123,0.340646675712233,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
3,news__news_svd_20d_18_normalized,news,news_svd_20d_18_normalized,2399,0.0,0.0,1.588396577705142e-17,1.0007459904058735,656,0.19788801283859803,0.19788801283859803,0.286752239817304,0.286752239817304,0.3120746718353069,0.3120746718353069,0.07464085478205608,0.07464085478205608,-0.055455793818604306,0.055455793818604306,-0.059820597887483444,0.059820597887483444,0.3120746718353069,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
4,fear_greed__fg_mean_60_normalized,fear_greed,fg_mean_60_normalized,2399,0.0,0.0,-3.176793155410284e-16,1.0007459904058744,576,0.12355056332312453,0.12355056332312453,0.18082277848899797,0.18082277848899797,0.12411747192056816,0.12411747192056816,-0.05809337606991359,0.05809337606991359,0.016042685810152366,0.016042685810152366,-0.07281311840665368,0.07281311840665368,0.18082277848899797,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
5,fsi__ofr_fsi_std_60_normalized,fsi,ofr_fsi_std_60_normalized,2399,0.0,0.0,4.235724207213712e-17,1.0007459904058742,495,0.15722936979371083,0.15722936979371083,0.1692077023262545,0.1692077023262545,0.06121031620293484,0.06121031620293484,0.08923638762826139,0.08923638762826139,-0.03388508945247386,0.03388508945247386,0.039905870218599086,0.039905870218599086,0.1692077023262545,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
6,fear_greed__fg_delta_60_normalized,fear_greed,fg_delta_60_normalized,2399,0.0,0.0,0.0,1.0007459904058715,104,-0.15000224152872524,0.15000224152872524,-0.14620109497363246,0.14620109497363246,-0.1596366189861896,0.1596366189861896,-0.10027747025543422,0.10027747025543422,-0.11722228920777507,0.11722228920777507,0.09258967213526556,0.09258967213526556,0.1596366189861896,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
7,technical__bb_bandwidth_60_normalized,technical,bb_bandwidth_60_normalized,2399,0.0,0.0,-4.765189733115426e-16,1.000745990405873,659,0.05625375790401237,0.05625375790401237,0.15096221711020033,0.15096221711020033,0.08252319321997746,0.08252319321997746,0.02462292629265165,0.02462292629265165,0.20991161503616476,0.20991161503616476,-0.13603002957411828,0.13603002957411828,0.15096221711020033,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
8,fsi__ofr_fsi_mean_60_normalized,fsi,ofr_fsi_mean_60_normalized,2399,0.0,0.0,-8.471448414427424e-17,1.0007459904058738,491,0.09467524468660805,0.09467524468660805,0.11872112212480557,0.11872112212480557,0.14689556305744744,0.14689556305744744,-0.011174221065987568,0.011174221065987568,-0.10829158253030684,0.10829158253030684,0.14630234876774142,0.14630234876774142,0.14689556305744744,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
9,roro__riskoff_dollar_return_20_normalized,roro,riskoff_dollar_return_20_normalized,2399,0.0,0.0,-8.471448414427424e-17,1.0007459904058729,585,-0.031034256422264383,0.031034256422264383,-0.14049868151222736,0.14049868151222736,-0.12395746526318982,0.12395746526318982,-0.11334394088412525,0.11334394088412525,-0.09814302547746677,0.09814302547746677,-0.01481638237851874,0.01481638237851874,0.14049868151222736,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
10,technical__bb_percent_b_60_normalized,technical,bb_percent_b_60_normalized,2399,0.0,0.0,2.9650069450495986e-16,1.000745990405874,659,0.05335498407695768,0.05335498407695768,0.12872481144537495,0.12872481144537495,0.05446261844469495,0.05446261844469495,-0.040195243094492863,0.040195243094492863,0.028196372620608322,0.028196372620608322,0.05200708932688898,0.05200708932688898,0.12872481144537495,"Selected by train-only label/future-return score, with within/cross-feature redundancy cap."
