image_spec,context_feature_set,modulation_scale,seed_count,num_samples_mean,num_samples_std,num_samples_count,accuracy_mean,accuracy_std,accuracy_count,majority_class_accuracy_mean,majority_class_accuracy_std,majority_class_accuracy_count,accuracy_minus_majority_class_accuracy_mean,accuracy_minus_majority_class_accuracy_std,accuracy_minus_majority_class_accuracy_count,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,f1_mean,f1_std,f1_count,brier_score_mean,brier_score_std,brier_score_count,predicted_positive_rate_mean,predicted_positive_rate_std,predicted_positive_rate_count,long_flat_sharpe_net_mean,long_flat_sharpe_net_std,long_flat_sharpe_net_count,long_short_sharpe_net_mean,long_short_sharpe_net_std,long_short_sharpe_net_count,long_flat_annualized_return_net_mean,long_flat_annualized_return_net_std,long_flat_annualized_return_net_count,long_short_annualized_return_net_mean,long_short_annualized_return_net_std,long_short_annualized_return_net_count,num_trainable_parameters_mean,num_trainable_parameters_std,num_trainable_parameters_count,num_frozen_parameters_mean,num_frozen_parameters_std,num_frozen_parameters_count,stage2_accuracy_mean,stage2_roc_auc_mean,stage2_f1_mean,stage2_brier_score_mean,accuracy_minus_same_image_stage2,roc_auc_minus_same_image_stage2,f1_minus_same_image_stage2,brier_score_minus_same_image_stage2,accuracy_gap_to_stage2_ohlc_ma_vb
ohlc,fg_only,0.02,5,1441.0,0.0,5,0.5576682859125608,0.014791335488475334,5,0.5412907702984039,0.0,5,0.016377515614156856,0.014791335488475336,5,0.5598275728305986,0.01600242818820761,5,0.5841075251488513,0.02051853412061288,5,0.6800123349727094,0.019427756543484175,5,0.25275261394123916,0.0036434626891077024,5,0.8470506592643996,0.12656267018464368,5,3.076306369842081,0.15011985993595192,5,2.4368175082643475,0.7131642517650473,5,8.102714148255057,1.0215952445247882,5,7.076414745623465,2.0433725068595585,5,35008.0,0.0,5,2952962.0,0.0,5,0.5580846634281749,0.5602178129485239,0.6809530579505978,0.2529467495688682,-0.00041637751561407477,-0.0003902401179253223,-0.0009407229778883863,-0.00019413562762904402,-0.021651630811936107
ohlc_ma,fg_only,0.02,5,1441.0,0.0,5,0.5566967383761277,0.021881288819386373,5,0.5412907702984039,0.0,5,0.015405968077723787,0.021881288819386373,5,0.564479227278017,0.01644652532162959,5,0.5830079072653542,0.010921630367492646,5,0.6271248659387467,0.04761183481508882,5,0.27856382393557544,0.017245472676586125,5,0.6578764746703678,0.10676879023715416,5,3.0761318959639965,0.35243290321277715,5,1.8174354551895682,0.883014786598559,5,7.21005933789947,1.272446040615986,5,5.291003806383492,2.545125771812907,5,35008.0,0.0,5,2952962.0,0.0,5,0.5575294934073561,0.5644949377400209,0.6274020200912854,0.2788809252996448,-0.0008327550312284826,-1.571046200388171e-05,-0.00027715415253870557,-0.00031710136406937206,-0.022623178348369244
ohlc_ma_vb,fg_only,0.02,5,1441.0,0.0,5,0.5802914642609299,0.017972155697997115,5,0.5412907702984039,0.0,5,0.03900069396252601,0.017972155697997115,5,0.5849295938554637,0.023108945750632312,5,0.611271862347178,0.019255649227473515,5,0.6508144715377929,0.0069356063601160025,5,0.27400421333445585,0.00864891285310914,5,0.6606523247744622,0.045286039911604334,5,3.4445149189608215,0.3638942021910958,5,2.3933701589521745,0.48346454805963435,5,8.043477042452931,0.6910874444993339,5,6.957940534019211,1.3823292778957528,5,35008.0,0.0,5,2952962.0,0.0,5,0.5793199167244969,0.5848619030994221,0.6510711809366792,0.2743367621571529,0.0009715475364330262,6.769075604162733e-05,-0.00025670939888622346,-0.0003325488226970652,0.0009715475364330262
ohlc_vb,fg_only,0.02,5,1441.0,0.0,5,0.56793893129771,0.0180736941087936,5,0.5412907702984039,0.0,5,0.026648160999306048,0.0180736941087936,5,0.5610333992784824,0.01892656676682049,5,0.5711592862770634,0.012532611995259884,5,0.6583333630312118,0.04467032023927514,5,0.2581018299243355,0.007903517539901293,5,0.7376821651630812,0.14592614559560196,5,3.1351357625097394,0.5621390986215956,5,2.1168155510339077,1.5435982903760643,5,7.625919621515392,2.216412588923594,5,6.122825692144134,4.432965498746847,5,35008.0,0.0,5,2952962.0,0.0,5,0.567383761276891,0.5612471391442647,0.6585744515333222,0.2583062445835097,0.0005551700208189514,-0.0002137398657823253,-0.0002410885021103537,-0.00020441465917420132,-0.011380985426786894
