field,total_rows,nonempty_rows,unique_values,duplicate_rows,duplicate_rate_total,duplicate_rate_nonempty
url,30626,30626,30626,0,0.0,0.0
normalized_title,30626,30626,29208,1418,0.0463005289623196,0.0463005289623196
