experiment_name,context_method,context_feature_set,modulation_scale,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,roc_auc,average_precision,f1,brier_score,predicted_positive_rate,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net,pretrained_loaded,num_trainable_parameters,num_frozen_parameters
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p02,film_full_bounded_last_block,technical_only,0.02,42,ok,,True,True,1441,0.6030534351145038,0.5412907702984039,0.6169537220218007,0.6334419846286972,0.6566626650660264,0.2587820158586927,0.6148507980569049,3.905431697962654,9.004849192947397,3.0675970473844876,8.880786153536944,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p05,film_full_bounded_last_block,technical_only,0.05,42,ok,,True,True,1441,0.6037473976405274,0.5412907702984039,0.6170080297916909,0.6335627092589096,0.6570570570570571,0.2587652672682791,0.6141568355308813,3.9198804954699256,9.034028237323309,3.0882799622131722,8.939144242288767,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p02,film_full_bounded_last_block,technical_only,0.02,43,ok,,True,True,1441,0.5746009715475364,0.5412907702984039,0.5833333333333334,0.6103308563047526,0.6526912181303116,0.28069476350487393,0.6835530881332408,3.629486249709735,8.376877370719331,2.624812958048557,7.624842509080815,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p05,film_full_bounded_last_block,technical_only,0.05,43,ok,,True,True,1441,0.5746009715475364,0.5412907702984039,0.5832984211955468,0.6103330434451013,0.6526912181303116,0.2806825517227646,0.6835530881332408,3.629486249709735,8.376877370719331,2.624812958048557,7.624842509080815,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p02,film_full_bounded_last_block,technical_only,0.02,44,ok,,True,True,1441,0.5641915336571826,0.5412907702984039,0.5603281740951938,0.5927563150623625,0.6553238199780461,0.27955044276917906,0.7231089521165857,3.160210227647428,7.620972639273697,2.0975686740847306,6.113033046189547,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p05,film_full_bounded_last_block,technical_only,0.05,44,ok,,True,True,1441,0.5628036086051353,0.5412907702984039,0.5596609643508281,0.5923357029224652,0.6511627906976745,0.2789352263955841,0.7120055517002082,3.130353361742102,7.500412517705695,2.0139012265413605,5.87191280305354,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p02,film_full_bounded_last_block,technical_only,0.02,45,ok,,True,True,1441,0.5628036086051353,0.5412907702984039,0.5651285930408472,0.5914407488551138,0.64,0.2762747833840675,0.6731436502428869,2.9866921182496444,7.201069583218532,1.806174916059024,5.272720341435219,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p05,film_full_bounded_last_block,technical_only,0.05,45,ok,,True,True,1441,0.563497571131159,0.5412907702984039,0.5651188952247954,0.5914388074224026,0.6403659233847914,0.27627212768302123,0.6724496877168633,2.991375538241149,7.211798830389661,1.8135930398504505,5.294178835777478,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p02,film_full_bounded_last_block,technical_only,0.02,46,ok,,True,True,1441,0.594031922276197,0.5412907702984039,0.5981438380076807,0.6282670566447928,0.6494907130017975,0.2757890834312397,0.6169326856349757,3.508770482255806,7.979832888200229,2.347105415524109,6.830753544042607,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n12c_technical_pretrained_frozen_s0p05,film_full_bounded_last_block,technical_only,0.05,46,ok,,True,True,1441,0.5919500346981263,0.5412907702984039,0.5983339152022964,0.628474940594907,0.6483253588516745,0.27568719609665887,0.6190145732130465,3.4876002751138304,7.93616492723729,2.3166505376994113,6.743417622116734,True,35008,2952962
