left_method,right_method,run_seed,split,num_samples,merge_key,prediction_agreement_rate,prob_up_correlation,right_minus_left_prob_up_mean,right_minus_left_prob_up_std,left_accuracy,right_accuracy,right_minus_left_accuracy,left_roc_auc,right_roc_auc,right_minus_left_roc_auc,left_predicted_positive_rate,right_predicted_positive_rate,p7_up_p8_down_count,p7_down_p8_up_count,same_up_count,same_down_count,p7_up_p8_down_label_positive_rate,p7_down_p8_up_label_positive_rate
film_full,film_full_bounded_last_block,42,validation,287,"sample_index,Date",0.7839721254355401,0.6912301773495257,0.026661922949129384,0.21543947857911752,0.7282229965156795,0.7142857142857143,-0.013937282229965153,0.7962506420133538,0.7835130970724191,-0.012737544940934709,0.6306620209059234,0.6933797909407665,22,40,159,66,0.6363636363636364,0.525
film_full,film_full_bounded_last_block,42,test,1441,"sample_index,Date",0.6960444136016655,0.5324833262822819,0.08608857295324018,0.2522299087362823,0.5801526717557252,0.5870922970159611,0.006939625260235949,0.5943325962993133,0.5939136506458745,-0.00041894565343880696,0.5725190839694656,0.7043719639139486,124,314,701,302,0.5241935483870968,0.5254777070063694
film_full,film_full_bounded_last_block,43,validation,287,"sample_index,Date",0.2682926829268293,0.04886012349970697,-0.014734570573015924,0.009740088184308484,0.6097560975609756,0.4425087108013937,-0.1672473867595819,0.4780688238315357,0.49887005649717514,0.020801232665639435,0.8606271777003485,0.14982578397212543,207,3,40,37,0.6183574879227053,0.6666666666666666
film_full,film_full_bounded_last_block,43,test,1441,"sample_index,Date",0.23178348369188065,0.007360009547881897,-0.015927251575722803,0.010179813721769187,0.5052047189451769,0.501734906315059,-0.003469812630117919,0.4779549245509911,0.5831645913340315,0.10520966678304045,0.8487161693268563,0.1179736294240111,1080,27,143,191,0.5092592592592593,0.7777777777777778
film_full,film_full_bounded_last_block,44,validation,287,"sample_index,Date",0.16376306620209058,0.15406902837452774,-0.057244865944161255,0.009902129782532904,0.627177700348432,0.3832752613240418,-0.24390243902439018,0.6572675911658963,0.5612223934257833,-0.096045197740113,0.8362369337979094,0.0,240,0,0,47,0.6458333333333334,
film_full,film_full_bounded_last_block,44,test,1441,"sample_index,Date",0.1297709923664122,0.0930507100212782,-0.054193283372418424,0.009898088194944305,0.5128383067314365,0.4587092297015961,-0.05412907702984038,0.46474455952519494,0.5377807517747003,0.07303619224950536,0.8702290076335878,0.0,1254,0,0,187,0.5311004784688995,
film_full,film_full_bounded_last_block,45,validation,287,"sample_index,Date",0.759581881533101,0.6087796557375308,0.03457576190916503,0.23190153806805713,0.7247386759581882,0.7282229965156795,0.0034843205574912606,0.7805341551104263,0.7682588597842835,-0.012275295326142799,0.6132404181184669,0.6933797909407665,23,46,153,65,0.5652173913043478,0.5434782608695652
film_full,film_full_bounded_last_block,45,test,1441,"sample_index,Date",0.6981263011797363,0.555910868761117,0.06052296753587572,0.23670596613527206,0.5801526717557252,0.5863983344899375,0.006245662734212343,0.6030567516195353,0.5877817215563055,-0.015275030063229833,0.5683553088133241,0.6648160999306038,148,287,671,335,0.5337837837837838,0.5331010452961672
film_full,film_full_bounded_last_block,46,validation,287,"sample_index,Date",0.7212543554006968,0.5266634533308034,0.05584307954701812,0.20867185658850254,0.7003484320557491,0.686411149825784,-0.013937282229965153,0.7585516178736518,0.6958397534668721,-0.06271186440677967,0.6794425087108014,0.7421602787456446,31,49,164,43,0.5483870967741935,0.4897959183673469
film_full,film_full_bounded_last_block,46,test,1441,"sample_index,Date",0.7494795281054824,0.5027012858819478,0.056957947192384006,0.20696869552168812,0.5836224843858432,0.5787647467036781,-0.004857737682165131,0.5925443190193569,0.5787598432832926,-0.013784475736064339,0.6939625260235948,0.7834836918806385,116,245,884,196,0.5431034482758621,0.5061224489795918
