split,num_samples,sample_date_min,sample_date_max,coverage_rate_7d,mean_news_count_7d,median_news_count_7d,mean_unique_source_count_7d,median_unique_source_count_7d,mean_svd_norm_7d,median_svd_norm_7d,mean_news_svd_7d_00,std_news_svd_7d_00,mean_news_svd_7d_01,std_news_svd_7d_01,mean_news_svd_7d_02,std_news_svd_7d_02,coverage_rate_20d,mean_news_count_20d,median_news_count_20d,mean_unique_source_count_20d,median_unique_source_count_20d,mean_svd_norm_20d,median_svd_norm_20d,mean_news_svd_20d_00,std_news_svd_20d_00,mean_news_svd_20d_01,std_news_svd_20d_01,mean_news_svd_20d_02,std_news_svd_20d_02,coverage_rate_60d,mean_news_count_60d,median_news_count_60d,mean_unique_source_count_60d,median_unique_source_count_60d,mean_svd_norm_60d,median_svd_norm_60d,mean_news_svd_60d_00,std_news_svd_60d_00,mean_news_svd_60d_01,std_news_svd_60d_01,mean_news_svd_60d_02,std_news_svd_60d_02
train,671,2018-04-29,2020-12-10,1.0,50.02682563338301,43.0,9.397913561847988,9.0,0.5815361187454843,0.5810347928198173,0.2692491985012003,0.05587513925497588,0.014755053302309275,0.15496741861137403,-0.0005704401505777578,0.11755227625517026,1.0,142.16095380029807,120.0,14.581222056631892,15.0,0.8278088817257349,0.8316137254949508,0.38123392361841685,0.05749913754793474,0.019939502340385207,0.20682739344736797,-0.002779779503734565,0.16933546858502896,1.0,424.20119225037257,347.0,22.58569299552906,23.0,0.9559706976235104,0.9592633662153501,0.5199705411135106,0.05034667968538797,0.018118245945818727,0.2728854578462296,-0.0008853251798800323,0.23757665476722026
validation,287,2018-04-30,2020-12-11,1.0,52.73867595818815,44.0,9.536585365853659,9.0,0.5530037514366152,0.5580992493374413,0.2748035353014914,0.05440385901116119,-0.005341166696266997,0.14006218045831936,0.015421700665456024,0.11271154685439086,1.0,151.09059233449477,124.0,14.560975609756097,14.0,0.8054808972562241,0.8068107604291215,0.3893536857784669,0.05526413919745478,-0.005525825558127579,0.18870220360503911,0.020553909253987642,0.1624830550615545,1.0,443.9547038327526,372.0,22.32404181184669,23.0,0.9511631392161533,0.9558226825605755,0.5265928558473046,0.04908112857116249,-0.01711122230389191,0.2478332483624328,0.024838437407073137,0.22730323993188567
test,1441,2021-01-01,2024-12-11,1.0,81.71269951422623,79.0,16.85496183206107,17.0,0.31627872829604486,0.31648012912035783,0.2926249442838798,0.0420626218884713,0.061449794371491485,0.030678980535249555,-0.03119291101385499,0.017261300509054292,1.0,233.02428868841082,228.0,26.400416377515615,26.0,0.4243606175155032,0.4236541720424381,0.40418029614966067,0.043236374447263075,0.06935564636834941,0.02915650415499436,-0.034996237778120554,0.015447121487858095,1.0,695.5780707841776,689.0,39.38167938931298,39.0,0.5416669738224232,0.534081237568698,0.5211371696339762,0.03805368122029409,0.07227360634127038,0.030165232749557343,-0.036630440127536,0.015452705912570508
all,2399,2018-04-29,2024-12-11,1.0,69.38390996248437,64.0,13.893705710712798,13.0,0.4187913546540763,0.35810120539506607,0.28395471927424104,0.049024947413994456,0.04039886603307217,0.10156440854035459,-0.01705115549021127,0.07666380860448462,1.0,197.80783659858275,192.0,21.67819924968737,21.0,0.5827996777783846,0.473508771438597,0.39598844406754424,0.050170360097086523,0.04657564841684342,0.13245622663541443,-0.019339657661268505,0.1082504152355067,1.0,589.57148812005,591.0,32.64318466027512,33.0,0.7065370022253119,0.5833783640664701,0.5214635448761574,0.04323119451562243,0.04643296747236265,0.1725880906758423,-0.019278818625947856,0.15027996948193045
