experiment_name,image_window,return_horizon,image_spec,context_method,context_feature_set,context_name,context_dim,modulation_scale,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,roc_auc,average_precision,f1,brier_score,predicted_positive_rate,accuracy_minus_majority_class_accuracy,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net,pretrained_loaded,freeze_visual_backbone,freeze_classifier,num_trainable_parameters,num_frozen_parameters
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi,33,0.02,42,ok,,True,True,1441,0.6016655100624566,0.5412907702984039,0.617258233445828,0.6335455717638407,0.6542168674698796,0.2585639693967986,0.6106870229007634,0.06037473976405272,3.8692977974669813,8.899561878632603,2.993042958724701,8.670211524907353,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi,33,0.02,43,ok,,True,True,1441,0.5739070090215128,0.5412907702984039,0.583374064160751,0.6105781945803204,0.6475315729047073,0.2796091817303233,0.6675919500346982,0.032616238723108926,3.6492716675200922,8.325019150202762,2.5884954775329465,7.521126068047673,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi,33,0.02,44,ok,,True,True,1441,0.563497571131159,0.5412907702984039,0.5603689049226115,0.5929210062536434,0.6534435261707989,0.27905595193611066,0.7182512144344205,0.022206800832755058,3.1319371880929303,7.516637968213334,2.025147381810605,5.904363704068819,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi,33,0.02,45,ok,,True,True,1441,0.5641915336571826,0.5412907702984039,0.5651790216843167,0.5909542292160931,0.637831603229527,0.27573308393742324,0.6620402498265093,0.022900763358778664,2.978839226944306,7.115791853468335,1.7472565401654216,5.102164881934824,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi,33,0.02,46,ok,,True,True,1441,0.5933379597501734,0.5412907702984039,0.598735404786842,0.6286218219783168,0.646987951807229,0.27545883570821,0.6106870229007634,0.05204718945176956,3.509192407670926,7.937346268450653,2.3174715140261513,6.745780304543455,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi,46,0.02,42,ok,,True,True,1441,0.6030534351145038,0.5412907702984039,0.6174269754451298,0.6336646591038871,0.657074340527578,0.25856077904343966,0.6162387231089521,0.06176266481609993,3.892958853082303,8.981501543630642,3.0510413226984054,8.834090854903433,True,True,True,36352,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi,46,0.02,43,ok,,True,True,1441,0.5739070090215128,0.5412907702984039,0.5835641413553667,0.6105880966275703,0.6491428571428571,0.27967884608091315,0.6731436502428869,0.032616238723108926,3.6766332363190823,8.422981796035803,2.657178652973673,7.717051359713755,True,True,True,36352,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi,46,0.02,44,ok,,True,True,1441,0.563497571131159,0.5412907702984039,0.5612630435625897,0.593328989819899,0.6519092418372995,0.2788017026897798,0.7126995142262318,0.022206800832755058,3.101467344307567,7.413622305781482,1.9537338518259784,5.698332379205118,True,True,True,36352,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi,46,0.02,45,ok,,True,True,1441,0.5621096460791117,0.5412907702984039,0.5650500407308274,0.5910929373891802,0.6363112391930835,0.2758012971997841,0.6627342123525329,0.020818875780707846,2.942253319588612,7.015660409957649,1.6781342180095054,4.901901994913452,True,True,True,36352,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity_plus_cftc_oi,46,0.02,46,ok,,True,True,1441,0.5912560721721027,0.5412907702984039,0.5979634586291167,0.6282757316178893,0.6432465172622653,0.27577516325558565,0.604441360166551,0.04996530187369885,3.457786577106369,7.796259651407371,2.219203689908085,6.4636070704568915,True,True,True,36352,2952962
