context_method,seed_count,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,brier_score_mean,long_flat_sharpe_net_mean,long_short_sharpe_net_mean
film_full,5,0.5510062456627343,0.0520402493638059,0.5676785367935141,0.0387667485737521,0.539283813728074,0.3016049517354791,0.2687790662262649,2.7866164599588616,1.695266894397534
film_gamma,5,0.544205412907703,0.0499662657012444,0.5559306024283331,0.0336868117146642,0.521240557308446,0.2907223942128177,0.271904532730314,2.8095306805895945,1.4262202459127666
concat,5,0.5414295628036087,0.0420732487804996,0.549612087357927,0.0547551336212079,0.6042325528538175,0.0833162907454943,0.2635409068873031,2.89112384726028,1.3807371065399323
gating,5,0.5365718251214434,0.0447549340398819,0.5530115597967338,0.0236517098530521,0.4987752290618203,0.280474491523398,0.2695964512995683,2.3810454036179607,0.6143267299562704
