experiment_name,image_window,return_horizon,image_spec,run_seed,classification_available,num_samples,accuracy,majority_class_accuracy,accuracy_minus_majority,roc_auc,average_precision,f1,precision,recall,brier_score,log_loss,positive_rate,predicted_positive_rate,probability_return_pearson,trading_available,long_flat_mean_trade_return_gross,long_flat_mean_trade_return_net,long_flat_annualized_return_gross,long_flat_annualized_return_net,long_flat_annualized_volatility,long_flat_sharpe_gross,long_flat_sharpe_net,long_flat_max_drawdown_gross,long_flat_max_drawdown_net,long_flat_turnover_mean,long_flat_mean_prob_up,long_short_mean_trade_return_gross,long_short_mean_trade_return_net,long_short_annualized_return_gross,long_short_annualized_return_net,long_short_annualized_volatility,long_short_sharpe_gross,long_short_sharpe_net,long_short_max_drawdown_gross,long_short_max_drawdown_net,long_short_turnover_mean,long_short_mean_prob_up
stage2_i5_ohlc_r5,5,5,ohlc,42,True,1456,0.5013736263736264,0.5260989010989011,-0.0247252747252747,0.5006186854353503,0.5281586555051754,0.5562347188264058,0.5229885057471264,0.5939947780678851,0.2510201932207588,0.6952132711928625,0.5260989010989011,0.5975274725274725,-0.0233183620524477,True,0.0028476600705976,0.002404665565103,1.0393959257681251,0.8777029312626309,1.0228640159136129,1.01616237309878,0.858048465206233,-0.9917221386001306,-0.993711594562078,0.4429945054945055,0.5107931734809836,-0.0006101796542551,-0.0014968554784309,-0.2227155738031213,-0.5463522496272973,1.3849209950626349,-0.1608146418439188,-0.3944390650586725,-0.9988408540177252,-0.9994559431905834,0.8866758241758241,0.5107931734809836
stage2_i5_ohlc_vb_r5,5,5,ohlc_vb,42,True,1456,0.5240384615384616,0.5260989010989011,-0.0020604395604395,0.5266186097551746,0.5552487259004326,0.5449770190413656,0.5482166446499339,0.54177545691906,0.2496021224493204,0.6923528146166432,0.5260989010989011,0.5199175824175825,-0.0053106555338065,True,0.0031582547851691,0.0027296833565977,1.152762996586734,0.9963344251581626,0.9634478386890502,1.1964975687270023,1.034203423573817,-0.9851297314601446,-0.987497230184276,0.4285714285714285,0.5027904174607861,1.100977488793298e-05,-0.0008468198954417,0.0040185678340955,-0.3090892618362342,1.3849700748401852,0.0029015557138007,-0.2231811878554178,-0.9976611481377516,-0.9991490005721227,0.8578296703296703,0.5027904174607861
stage2_i5_ohlc_ma_r5,5,5,ohlc_ma,42,True,1456,0.5,0.5260989010989011,-0.0260989010989011,0.4969860370076059,0.5301389296019501,0.5625,0.5211581291759465,0.6109660574412533,0.2513316199585928,0.6958350589489786,0.5260989010989011,0.6167582417582418,-0.0035679730881603,True,0.0036123408177977,0.0031803353232922,1.3185043984961735,1.1608223930016686,1.0530952558772806,1.252027669042905,1.1022258942935,-0.9888028798623388,-0.9912874279810449,0.4320054945054945,0.511607381423096,0.0009191818401451,5.448403794733508e-05,0.3355013716529754,0.0198866738507773,1.3848586764572506,0.2422639778025986,0.0143580645431057,-0.9972333649762664,-0.998834286665831,0.8646978021978022,0.511607381423096
stage2_i5_ohlc_ma_vb_r5,5,5,ohlc_ma_vb,42,True,1456,0.5233516483516484,0.5260989010989011,-0.0027472527472527,0.5321546145987058,0.5475370754912392,0.5428194993412385,0.5478723404255319,0.5378590078328982,0.2495547716734463,0.6922719439208995,0.5260989010989011,0.5164835164835165,-0.0083385791244577,True,0.0027435425406636,0.0023238996835208,1.0013930273422451,0.8482233844851024,0.9675366110991346,1.0349923877347127,0.8768180915630044,-0.9880775018139232,-0.9892028232315584,0.4196428571428571,0.5030781861476519,-0.0008184147141229,-0.0016583872415954,-0.2987213706548814,-0.6053113431823539,1.3848817662477555,-0.2157017139912578,-0.4370388496701253,-0.9967270885896524,-0.9984709597240892,0.8399725274725275,0.5030781861476519
stage2_i5_ohlc_r20,5,20,ohlc,42,True,1441,0.5114503816793893,0.5412907702984039,-0.0298403886190146,0.4831752589316886,0.5264345957947275,0.6306400839454355,0.5337477797513321,0.7705128205128206,0.2528544161748293,0.6990740123852404,0.5412907702984039,0.7814018043025677,-0.0319284101245991,True,0.0168418551043937,0.0165122229045325,6.147277113103714,6.026961360154374,2.519470948281316,2.4399079168970546,2.3921532931461744,-0.9999999998185723,-0.9999999998500504,0.3296321998612075,0.5432165265496947,0.0086722978014454,0.008013727364249,3.165388697527582,2.9250104879508987,2.927386852708742,1.0813018083341508,0.998900364279739,-0.999999999946216,-0.9999999999652928,0.6585704371963914,0.5432165265496947
stage2_i5_ohlc_vb_r20,5,20,ohlc_vb,42,True,1441,0.5170020818875781,0.5412907702984039,-0.0242886884108257,0.4871620311105938,0.5374412023719867,0.6325237592397043,0.5377019748653501,0.767948717948718,0.2524228968173492,0.6981603533004631,0.5412907702984039,0.7730742539902845,-0.0130977662059627,True,0.0201385863454384,0.0198006265952649,7.350584016085023,7.227228707271698,2.608533357730769,2.817899182427741,2.770225596841024,-0.999999999095625,-0.9999999992145532,0.3379597501734906,0.5432165450184483,0.0152657602835347,0.0145905347457138,5.572002503490199,5.325545182185549,2.91752362760401,1.909839718441682,1.824477478103564,-0.9999999484698604,-0.999999960804998,0.6752255378209576,0.5432165450184483
stage2_i5_ohlc_ma_r20,5,20,ohlc_ma,42,True,1441,0.5211658570437196,0.5412907702984039,-0.0201249132546842,0.4945381899996121,0.5343036966668518,0.6432264736297828,0.5389948006932409,0.7974358974358975,0.2525912238325442,0.6986058824893998,0.5412907702984039,0.8008327550312283,-0.0025506112916864,True,0.0200309771749616,0.0197277155510893,7.311306668861018,7.200616176147625,2.5996008188082254,2.8124728288910337,2.7693609343220227,-0.9999999997738888,-0.99999999980139,0.3032616238723108,0.5491556132071387,0.0150505419425813,0.0144433247323106,5.493447809042186,5.2718135272934,2.9179320175934267,1.8826510610665024,1.8058719232015397,-0.9999999997830316,-0.999999999860816,0.6072172102706453,0.5491556132071387
stage2_i5_ohlc_ma_vb_r20,5,20,ohlc_ma_vb,42,True,1441,0.5170020818875781,0.5412907702984039,-0.0242886884108257,0.4932251057061949,0.546686600124532,0.6456211812627292,0.535472972972973,0.8128205128205128,0.2520549246681519,0.6974507259213536,0.5412907702984039,0.8216516308119362,-0.0123698367514209,True,0.0188609399861946,0.0185979281888316,6.884243094961028,6.788243788923554,2.63782217016745,2.6098207729158687,2.573329509272274,-0.999999999817922,-0.9999999998448336,0.2630117973629424,0.5531501830823714,0.0127104675650471,0.0121851379328472,4.639320661242206,4.447575345489257,2.921995064581694,1.5877236472698697,1.5216571954042362,-0.9999999997433344,-0.9999999998144704,0.5253296321998612,0.5531501830823714
stage2_i5_ohlc_r60,5,60,ohlc,42,True,1401,0.5182012847965739,0.5431834403997144,-0.0249821556031405,0.5140583935611038,0.554328255547218,0.5768025078369906,0.5515587529976019,0.6044678055190539,0.2500244086972059,0.6932159280562743,0.5431834403997144,0.5952890792291221,-0.0002792983640643,True,0.0439585847404675,0.0435167574742291,16.04488343027064,15.883616478093623,4.096255178630344,3.91696384394576,3.877228066838581,-1.0,-1.0,0.4418272662384011,0.5099772900279125,0.0148676247995978,0.0139832564912467,5.426683051853232,5.10388861930505,5.444444411086219,0.9967377095086468,0.937314440128338,-1.0,-1.0,0.8843683083511777,0.5099772900279125
stage2_i5_ohlc_vb_r60,5,60,ohlc_vb,42,True,1401,0.5010706638115632,0.5431834403997144,-0.0421127765881512,0.5108902759526938,0.5553152967131,0.5195876288659793,0.5446685878962536,0.4967148488830486,0.2506997956698188,0.6945597086261277,0.5431834403997144,0.4953604568165596,0.0254539076729214,True,0.0391201786030252,0.0386812064402843,14.278865190104217,14.118640350703789,3.8232622676820736,3.7347333743758697,3.6925010879011193,-0.9999999999999902,-0.999999999999992,0.4389721627408993,0.5000676386148737,0.0051908125247133,0.0043121544233571,1.8946465715203744,1.5739363645253708,5.450951539215007,0.3475808870964982,0.2887253954275879,-1.0,-1.0,0.8786581013561742,0.5000676386148737
