image_window,return_horizon,ohlc,ohlc_ma,ohlc_ma_vb,ohlc_vb
5,5,0.5013736263736264,0.5,0.5233516483516484,0.5240384615384616
5,20,0.5114503816793893,0.5211658570437196,0.5170020818875781,0.5170020818875781
5,60,0.5182012847965739,0.5160599571734475,0.516773733047823,0.5010706638115632
20,5,0.5096153846153846,0.5226648351648352,0.5151098901098901,0.5171703296703297
20,20,0.5239417071478141,0.5246356696738376,0.5405968077723803,0.5454545454545454
20,60,0.496074232690935,0.5053533190578159,0.4939329050678087,0.5124910778015703
60,5,0.5185439560439561,0.5260989010989011,0.5068681318681318,0.5240384615384616
60,20,0.5419847328244275,0.5711311589174185,0.6030534351145038,0.5947258848022207
60,60,0.5431834403997144,0.5403283369022127,0.5203426124197003,0.5367594575303355
