experiment_name,image_window,return_horizon,image_spec,run_seed,classification_available,num_samples,accuracy,majority_class_accuracy,accuracy_minus_majority,roc_auc,average_precision,f1,precision,recall,brier_score,log_loss,positive_rate,predicted_positive_rate,probability_return_pearson,trading_available,long_flat_mean_trade_return_gross,long_flat_mean_trade_return_net,long_flat_annualized_return_gross,long_flat_annualized_return_net,long_flat_annualized_volatility,long_flat_sharpe_gross,long_flat_sharpe_net,long_flat_max_drawdown_gross,long_flat_max_drawdown_net,long_flat_turnover_mean,long_flat_mean_prob_up,long_short_mean_trade_return_gross,long_short_mean_trade_return_net,long_short_annualized_return_gross,long_short_annualized_return_net,long_short_annualized_volatility,long_short_sharpe_gross,long_short_sharpe_net,long_short_max_drawdown_gross,long_short_max_drawdown_net,long_short_turnover_mean,long_short_mean_prob_up
stage2_i20_ohlc_r20,20,20,ohlc,42,True,1441,0.5239417071478141,0.5412907702984039,-0.017349063150589816,0.49046510725784553,0.5453736633595682,0.6492842535787321,0.5399659863945578,0.8141025641025641,0.25193021679045957,0.6971323480308809,0.5412907702984039,0.8160999306037474,-0.020501074993930682,True,0.02008221830562724,0.019808103107847922,7.330009681553943,7.229957634364491,2.6045165582990815,2.8143455867836433,2.7755016489513085,-0.9999999996866925,-0.9999999997205774,0.2741151977793199,0.5485997231655201,0.015153024203912437,0.014605487770879819,5.530853834428039,5.331003036371134,2.9177382815041373,1.8955962806838185,1.8264057975334513,-0.9999999923585484,-0.9999999938762981,0.5475364330326162,0.5485997231655201
stage2_i20_ohlc_vb_r20,20,20,ohlc_vb,42,True,1441,0.5454545454545454,0.5412907702984039,0.004163775156141525,0.5309146980100081,0.5842195932086245,0.6604458268532918,0.5543951261966927,0.8166666666666667,0.24766711358421914,0.6884501950163504,0.5412907702984039,0.7973629424011104,0.0533304579031241,True,0.02299922709036512,0.02272164207995568,8.39471788798327,8.293399359183823,2.5566256854436284,3.2835146481470976,3.2430232664426737,-0.9999999945503039,-0.9999999952026104,0.2775850104094379,0.5244076765510127,0.02098704177338818,0.020431177790043283,7.660270247286686,7.457379893365798,2.904511316412173,2.6373697372090503,2.566153927141125,-0.9999984498336663,-0.9999988074247259,0.5558639833448994,0.5244076765510127
stage2_i20_ohlc_ma_r20,20,20,ohlc_ma,42,True,1441,0.5246356696738376,0.5412907702984039,-0.01665510062456632,0.5099751735909073,0.5546517403773583,0.6481766820749871,0.5407026563838904,0.808974358974359,0.2507719453503106,0.6948151321690443,0.5412907702984039,0.8098542678695351,0.0077957650918375355,True,0.01927696935657215,0.01900146623374079,7.036093815148836,6.935535175315388,2.575300545731362,2.732144730373848,2.692962150768848,-0.9999999992767427,-0.9999999993614966,0.27550312283136713,0.5493786145133496,0.013542526305802258,0.012992214022665547,4.943022101617824,4.742158118272925,2.9206294781316298,1.6924509386175028,1.6231604037853922,-0.999999995054542,-0.9999999965570803,0.5503122831367107,0.5493786145133496
stage2_i20_ohlc_ma_vb_r20,20,20,ohlc_ma_vb,42,True,1441,0.5405968077723803,0.5412907702984039,-0.000693962526023606,0.5378476667054579,0.5771940543373488,0.6608606557377049,0.5503412969283277,0.8269230769230769,0.24749407838901705,0.6881157821638549,0.5412907702984039,0.813324080499653,0.07330390774559228,True,0.024180310186269722,0.023905501025964376,8.825813217988449,8.725507874476998,2.6005572268768824,3.3938161893817407,3.3543063901938446,-0.9999999956525636,-0.9999999961374324,0.2748091603053435,0.5263445104765114,0.023349207965197395,0.022798895682060682,8.522460907297049,8.321596923952148,2.8979187601966894,2.9408902086401505,2.8698416171323338,-0.9999989795086315,-0.9999991895646935,0.5503122831367107,0.5263445104765114
stage2_i60_ohlc_r20,60,20,ohlc,42,True,1441,0.5419847328244275,0.5412907702984039,0.000693962526023606,0.5441279723806199,0.5587374417092488,0.6955719557195572,0.5432276657060519,0.9666666666666667,0.2547621153362169,0.7045602083258884,0.5412907702984039,0.9632199861207494,0.03761119376739685,True,0.024684379104798336,0.0246184526648261,9.009798373251392,8.985735222661527,2.8455645962862124,3.1662603565598935,3.1575879115336694,-0.9999999999919857,-0.9999999999921544,0.0659264399722415,0.6234294035672976,0.02435734580225462,0.02422618688483616,8.890431217822936,8.842558212965198,2.89488624208357,3.071081373969335,3.054083544504213,-0.9999999999792462,-0.9999999999801238,0.1311589174184594,0.6234294035672976
stage2_i60_ohlc_vb_r20,60,20,ohlc_vb,42,True,1441,0.5947258848022207,0.5412907702984039,0.05343511450381677,0.5828174095193762,0.5785237149395392,0.7002053388090349,0.583904109589041,0.8743589743589744,0.24921842687133305,0.6965005282565749,0.5412907702984039,0.8105482303955587,0.07610125116318636,True,0.027243660243526917,0.02705420847392248,9.943935988887324,9.874786092981706,2.6154845286845525,3.801947929658978,3.7746822734737613,-0.9999999938295953,-0.9999999942718301,0.18945176960444135,0.6116511186611975,0.029475908079711788,0.029097698503028926,10.758706449094802,10.620659953605557,2.877450464521632,3.7389719064663054,3.6890243952485635,-0.9999986897269939,-0.9999989131289435,0.37820957668285915,0.6116511186611975
stage2_i60_ohlc_ma_r20,60,20,ohlc_ma,42,True,1441,0.5711311589174185,0.5412907702984039,0.029840388619014613,0.5608111253345747,0.5765008600389188,0.6856561546286877,0.5682967959527825,0.8641025641025641,0.2651916258220724,0.7384082278090739,0.5412907702984039,0.8230395558639834,0.06779722914545776,True,0.025233125695404677,0.025039510150644095,9.210090878822706,9.139421204985094,2.564518698789044,3.59135259305057,3.563484549255,-0.9999999914709445,-0.99999999200187,0.19361554476058293,0.6450503778842321,0.025454838983467308,0.025068301856472165,9.291016228965567,9.14993017761234,2.89143536726186,3.213288574305571,3.1630900967065165,-0.9999954228491601,-0.9999959392820533,0.38653712699514226,0.6450503778842321
stage2_i60_ohlc_ma_vb_r20,60,20,ohlc_ma_vb,42,True,1441,0.6030534351145038,0.5412907702984039,0.06176266481609993,0.61694984289538,0.6334421240963644,0.657074340527578,0.6171171171171171,0.7025641025641025,0.2587921191308433,0.7399085340355185,0.5412907702984039,0.6162387231089521,0.16424058338950204,True,0.02520265071428473,0.02493269929166155,9.198967510713926,9.100435241456466,2.3127429668961934,3.9775139919933946,3.9342293110469932,-0.9999947722331236,-0.9999954724054595,0.26995142262317834,0.5646383941036537,0.025393889021227408,0.024854680138507074,9.268769492748003,9.071958250555083,2.8916311118225067,3.2053775652269083,3.1353916212720123,-0.9989197269338475,-0.9990813469454265,0.5392088827203331,0.5646383941036537
stage2_i20_ohlc_r20,20,20,ohlc,43,True,1441,0.4913254684247051,0.5412907702984039,-0.0499653018736988,0.4661740176112339,0.5182041621332631,0.618427902134305,0.5205959684487291,0.7615384615384615,0.255305765219132,0.7040931466828767,0.5412907702984039,0.7918112421929215,-0.06743946490845422,True,0.01605920606030981,0.01578092708737434,5.86161021201308,5.760038386891634,2.534902144266466,2.3123615344565005,2.272377639572537,-0.9999999997396837,-0.9999999997663664,0.2782789729354615,0.5456180516462372,0.007106999713277559,0.006551135729932662,2.594054895346309,2.3911645414254217,2.9289273278871844,0.8856672101924633,0.8162428912716969,-0.9999999998295884,-0.9999999998867356,0.5558639833448994,0.5456180516462372
stage2_i20_ohlc_vb_r20,20,20,ohlc_vb,43,True,1441,0.5315752949340735,0.5412907702984039,-0.009715475364330373,0.4725202684355483,0.5055358008001501,0.6626686656671664,0.542997542997543,0.85,0.25418287945048185,0.7019721057367123,0.5412907702984039,0.8473282442748091,-0.06636503080624397,True,0.022183601773320603,0.021948348476998596,8.09701464726202,8.011147194104488,2.665070432484139,3.0381991217075304,3.005520203562864,-0.9999999998531564,-0.9999999998676917,0.23525329632199862,0.5537905417367206,0.01935579113929915,0.01888459058412912,7.06486376584419,6.892875563207129,2.9086462576574514,2.42891817705397,2.3687570213933933,-0.9999999974634501,-0.9999999979410269,0.4712005551700208,0.5537905417367206
