image_window,return_horizon,image_spec,accuracy_mean,accuracy_std,accuracy_minus_majority_mean,roc_auc_mean,f1_mean,brier_score_mean,long_flat_sharpe_net_mean,long_short_sharpe_net_mean,long_flat_annualized_return_net_mean,long_short_annualized_return_net_mean
60,60,ohlc,0.5431834403997144,,0.0,0.4891312828515112,0.7039777983348751,0.2485418326619948,5.059323210051278,5.059323210051278,26.66282328049391,26.66282328049391
60,60,ohlc_ma,0.5403283369022127,,-0.0028551034975017,0.523024802890933,0.6796019900497513,0.2686124214870918,4.577524754833946,3.5108858820680373,22.74397991744797,18.82513655440203
60,60,ohlc_vb,0.5367594575303355,,-0.0064239828693789,0.5247269218134034,0.6297775242441529,0.255419732895814,4.431972821877192,2.5388808591026883,20.191900604870064,13.720977929246224
20,60,ohlc_ma,0.5053533190578159,,-0.0378301213418985,0.5017205978975032,0.6055776892430279,0.2496330546928766,3.977742104919993,1.5758740798710569,17.612621529710257,8.562419778926602
60,20,ohlc_ma_vb,0.6030534351145038,,0.0617626648160999,0.61694984289538,0.657074340527578,0.2587921191308433,3.934229311046993,3.1353916212720123,9.100435241456466,9.071958250555085
20,60,ohlc_vb,0.5124910778015703,,-0.0306923625981441,0.5015645532194482,0.5579288025889968,0.2618702149569536,3.886505788171207,0.7987589322027934,15.507156572118893,4.350968807355575
5,60,ohlc,0.5182012847965739,,-0.0249821556031405,0.5140583935611038,0.5768025078369906,0.2500244086972059,3.877228066838581,0.937314440128338,15.883616478093623,5.10388861930505
5,60,ohlc_ma,0.5160599571734475,,-0.0271234832262668,0.5233584510512483,0.5725094577553593,0.2494406929487754,3.835461814685391,0.8961662457377079,15.771862129167197,4.88037992145218
60,20,ohlc_vb,0.5947258848022207,,0.0534351145038167,0.5828174095193762,0.7002053388090349,0.249218426871333,3.774682273473761,3.689024395248564,9.874786092981706,10.620659953605555
5,60,ohlc_ma_vb,0.516773733047823,,-0.0264097073518914,0.5272339027595269,0.5301873698820264,0.2498888990084672,3.7457847787689,0.2929834952639582,14.130249992431784,1.5971556479813689
5,60,ohlc_vb,0.5010706638115632,,-0.0421127765881512,0.5108902759526938,0.5195876288659793,0.2506997956698188,3.6925010879011193,0.2887253954275879,14.118640350703789,1.5739363645253708
60,60,ohlc_ma_vb,0.5203426124197003,,-0.0228408279800141,0.5440518232588699,0.5519999999999999,0.2531224857539641,3.6072923661980623,0.1307346944578191,13.688047808117568,0.7127512793529291
60,20,ohlc_ma,0.5711311589174185,,0.0298403886190146,0.5608111253345747,0.6856561546286877,0.2651916258220724,3.563484549255,3.1630900967065165,9.139421204985094,9.14993017761234
20,60,ohlc,0.496074232690935,,-0.0471092077087794,0.4945240637319316,0.5324503311258277,0.253451269967101,3.3567502586114197,-0.1407366171199198,12.94803395450225,-0.7672764278777061
20,20,ohlc_ma_vb,0.5405968077723803,,-0.0006939625260236,0.5378476667054579,0.6608606557377049,0.247494078389017,3.3543063901938446,2.8698416171323338,8.725507874476998,8.321596923952148
20,20,ohlc_vb,0.5454545454545454,,0.0041637751561415,0.5309146980100081,0.6604458268532918,0.2476671135842191,3.2430232664426737,2.566153927141125,8.293399359183823,7.457379893365798
60,20,ohlc,0.5419847328244275,,0.0006939625260236,0.5441279723806199,0.6955719557195572,0.2547621153362169,3.1575879115336694,3.054083544504213,8.985735222661527,8.842558212965198
20,60,ohlc_ma_vb,0.4939329050678087,,-0.0492505353319057,0.5221018807490144,0.367528991971454,0.2505843321644321,3.1573626419118352,-1.7975906100485957,8.452991552828765,-9.757361231224666
20,20,ohlc,0.5239417071478141,,-0.0173490631505898,0.4904651072578455,0.6492842535787321,0.2519302167904595,2.7755016489513085,1.8264057975334516,7.229957634364491,5.331003036371134
5,20,ohlc_vb,0.5170020818875781,,-0.0242886884108257,0.4871620311105938,0.6325237592397043,0.2524228968173492,2.770225596841024,1.824477478103564,7.227228707271698,5.325545182185549
