index,image_window,return_horizon,image_spec,num_samples_mean,num_samples_std,num_samples_count,accuracy_mean,accuracy_std,accuracy_count,majority_class_accuracy_mean,majority_class_accuracy_std,majority_class_accuracy_count,accuracy_minus_majority_mean,accuracy_minus_majority_std,accuracy_minus_majority_count,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,f1_mean,f1_std,f1_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,brier_score_mean,brier_score_std,brier_score_count,log_loss_mean,log_loss_std,log_loss_count,positive_rate_mean,positive_rate_std,positive_rate_count,predicted_positive_rate_mean,predicted_positive_rate_std,predicted_positive_rate_count,probability_return_pearson_mean,probability_return_pearson_std,probability_return_pearson_count,long_flat_mean_trade_return_gross_mean,long_flat_mean_trade_return_gross_std,long_flat_mean_trade_return_gross_count,long_flat_mean_trade_return_net_mean,long_flat_mean_trade_return_net_std,long_flat_mean_trade_return_net_count,long_flat_annualized_return_gross_mean,long_flat_annualized_return_gross_std,long_flat_annualized_return_gross_count,long_flat_annualized_return_net_mean,long_flat_annualized_return_net_std,long_flat_annualized_return_net_count,long_flat_annualized_volatility_mean,long_flat_annualized_volatility_std,long_flat_annualized_volatility_count,long_flat_sharpe_gross_mean,long_flat_sharpe_gross_std,long_flat_sharpe_gross_count,long_flat_sharpe_net_mean,long_flat_sharpe_net_std,long_flat_sharpe_net_count,long_flat_max_drawdown_gross_mean,long_flat_max_drawdown_gross_std,long_flat_max_drawdown_gross_count,long_flat_max_drawdown_net_mean,long_flat_max_drawdown_net_std,long_flat_max_drawdown_net_count,long_flat_turnover_mean_mean,long_flat_turnover_mean_std,long_flat_turnover_mean_count,long_flat_mean_prob_up_mean,long_flat_mean_prob_up_std,long_flat_mean_prob_up_count,long_short_mean_trade_return_gross_mean,long_short_mean_trade_return_gross_std,long_short_mean_trade_return_gross_count,long_short_mean_trade_return_net_mean,long_short_mean_trade_return_net_std,long_short_mean_trade_return_net_count,long_short_annualized_return_gross_mean,long_short_annualized_return_gross_std,long_short_annualized_return_gross_count,long_short_annualized_return_net_mean,long_short_annualized_return_net_std,long_short_annualized_return_net_count,long_short_annualized_volatility_mean,long_short_annualized_volatility_std,long_short_annualized_volatility_count,long_short_sharpe_gross_mean,long_short_sharpe_gross_std,long_short_sharpe_gross_count,long_short_sharpe_net_mean,long_short_sharpe_net_std,long_short_sharpe_net_count,long_short_max_drawdown_gross_mean,long_short_max_drawdown_gross_std,long_short_max_drawdown_gross_count,long_short_max_drawdown_net_mean,long_short_max_drawdown_net_std,long_short_max_drawdown_net_count,long_short_turnover_mean_mean,long_short_turnover_mean_std,long_short_turnover_mean_count,long_short_mean_prob_up_mean,long_short_mean_prob_up_std,long_short_mean_prob_up_count
0,20,20,ohlc,1441.0,0.0,5,0.5058986814712005,0.014548407559498001,5,0.5412907702984039,0.0,5,-0.03539208882720331,0.014548407559498017,5,0.4985833430311494,0.028523406313456692,5,0.5473786711708892,0.024120506282552287,5,0.528631574532165,0.15130349021566322,5,0.5512990478161927,0.02820389789172205,5,0.5779487179487179,0.2688877546283693,5,0.2528550146922015,0.002186739536269987,5,0.6989972591994682,0.004493532299981645,5,0.5412907702984039,0.0,5,0.5784871616932685,0.28358224800581056,5,-0.010227744915907888,0.04796246910587477,5,0.01350134358724039,0.005777084827233169,5,0.01321126725136253,0.00578075148146239,5,4.927990409342743,2.1086359619401063,5,4.822112546747324,2.1099742907337724,5,2.093189650591679,0.5990247217963088,5,2.2614076688982956,0.44692501196879164,5,2.206679222315361,0.4621011678885129,5,-0.9947245354338566,0.011739682729835537,5,-0.9954665100100438,0.010087392760499933,5,0.2900763358778626,0.03949494316483606,5,0.5148357988603408,0.03526979701853113,5,0.0019912747671387366,0.011554169654466335,5,0.0014115384728986232,0.011561713166079983,5,0.7268152900056386,4.2172719238802125,5,0.5152115426079975,4.220025305619193,5,2.9251627961587263,0.006086184703030071,5,0.24849304391859742,1.4439153635843445,5,0.17581792572832106,1.4448260465444926,5,-0.9999999964394781,4.869013844676346e-09,5,-0.9999999974897165,3.3864701708429888e-09,5,0.5797362942401111,0.07958149724115779,5,0.5148357988603408,0.03526979701853113,5
1,20,20,ohlc_ma,1441.0,0.0,5,0.5067314365024289,0.01775649280214558,5,0.5412907702984039,0.0,5,-0.03455933379597502,0.017756492802145595,5,0.4993126187982466,0.027103741585542566,5,0.546463764705077,0.023763063730065988,5,0.5416836403789765,0.14443027649631146,5,0.5464100742864441,0.024678820463546084,5,0.6028205128205129,0.2688327338518685,5,0.2528318353541405,0.0025917477270925465,5,0.6989797374917097,0.005316842240043236,5,0.5412907702984039,0.0,5,0.6045801526717558,0.27760817044257663,5,-0.002757226748006717,0.05292793493047629,5,0.01472695189511486,0.005805600797477537,5,0.014429935933976758,0.005838561684061478,5,5.3753374417169235,2.1190442910793013,5,5.266926615901517,2.1310750146824398,5,2.1827125525823883,0.5565298325293675,5,2.391650827920903,0.43794536831034947,5,2.3378468593414694,0.4563246693185159,5,-0.998466471321332,0.003427589492399228,5,-0.9986949764543895,0.0029168531956432625,5,0.2970159611380986,0.04681033158650953,5,0.518842489234612,0.03582429134946827,5,0.0044424913828876676,0.011611201594955071,5,0.0038488758381270845,0.011677460137447688,5,1.6215093547539987,4.238088582158602,5,1.404839680916386,4.2622729501684065,5,2.9241132714671454,0.005279061643012724,5,0.5562146857054542,1.4502000974544111,5,0.4817117218605532,1.4581688639650128,5,-0.9999999229981608,1.69157044358577e-07,5,-0.9999999480055048,1.1412793794165833e-07,5,0.5936155447605829,0.09422263259550097,5,0.518842489234612,0.03582429134946827,5
2,20,20,ohlc_ma_vb,1441.0,0.0,5,0.5117279666897987,0.021109468578269005,5,0.5412907702984039,0.0,5,-0.029562803608605127,0.02110946857826903,5,0.5047362194033903,0.029743935469430945,5,0.5445803376732613,0.03280762943931412,5,0.5276605162784819,0.14800859591001045,5,0.5523452685893508,0.01800704799289241,5,0.5694871794871795,0.28045058607436407,5,0.25190609371273676,0.002498753362354497,5,0.6970805620433325,0.005096970400152015,5,0.5412907702984039,0.0,5,0.563497571131159,0.2858523379707498,5,-0.006941013726584585,0.06820004275910982,5,0.014413526234507552,0.007508090350736402,5,0.014116926650885066,0.0075314226334900775,5,5.2609370755952565,2.7404529780187863,5,5.15267822757305,2.748969261223879,5,2.060880585236876,0.618111720868285,5,2.423298501781096,0.6628609516779236,5,2.3654673671867776,0.6809851170885161,5,-0.9992812816051961,0.0015199922673062609,5,-0.9994040280555385,0.0012585040557774858,5,0.2965995836224844,0.04160188138014336,5,0.5078862503905167,0.0341734786601486,5,0.003815640061673053,0.015016180701472804,5,0.0032223021019228784,0.01506253247298114,5,1.3927086225106644,5.4809059560375735,5,1.1761402672018504,5.497824352638116,5,2.91988257795774,0.013438056839714635,5,0.48215300302441194,1.8837473389173447,5,0.40743218644943724,1.8888366736343742,5,-0.9999997956239748,4.5622272230079206e-07,5,-0.9999998376787982,3.623071400751471e-07,5,0.5933379597501734,0.08253779187456697,5,0.5078862503905167,0.0341734786601486,5
3,20,20,ohlc_vb,1441.0,0.0,5,0.5113115891741845,0.02593507962926342,5,0.5412907702984039,0.0,5,-0.029979181124219312,0.025935079629263412,5,0.503883781372435,0.028275356129955135,5,0.5453614877991605,0.03487696238162186,5,0.5111598188596604,0.16653449286839936,5,0.557319542610777,0.029825206401399594,5,0.5487179487179488,0.30115381886454556,5,0.2517162008104998,0.002428309437544305,5,0.6966846919285091,0.004993431298527639,5,0.5412907702984039,0.0,5,0.5414295628036087,0.30526913799928374,5,-0.01129066231251305,0.06420745181804108,5,0.014184608407295313,0.00786886392036792,5,0.01390105531916207,0.007886228344738875,5,5.177382068662789,2.872135330934291,5,5.073885191494155,2.878473345829689,5,2.024374128720933,0.6561699215749878,5,2.4250437544781773,0.6808585628929044,5,2.3687897635810375,0.6980690361166715,5,-0.9985797022643628,0.0021090483927125496,5,-0.9987297389483911,0.0018947753991480204,5,0.2835530881332408,0.04831793512479532,5,0.5082979717368802,0.03330464554626238,5,0.0033578044072485685,0.01573772784073584,5,0.002790559438476882,0.015772016282553692,5,1.2255986086457278,5.7442706618685815,5,1.018554195044062,5.756785943132098,5,2.918983352931199,0.011747944604502823,5,0.42554777480267114,1.9724231187899717,5,0.3540135474139404,1.975986009618164,5,-0.9999996894585811,6.929722635239322e-07,5,-0.999999761072654,5.331061433349323e-07,5,0.5672449687716863,0.09595471817838819,5,0.5082979717368802,0.03330464554626238,5
4,60,20,ohlc,1441.0,0.0,5,0.5580846634281749,0.015183354531467666,5,0.5412907702984039,0.0,5,0.016793893129770997,0.015183354531467703,5,0.560217812948524,0.01556552774723266,5,0.5841652484454023,0.02052184376319515,5,0.6809530579505978,0.01884876657268345,5,0.560528766262122,0.017304295682378106,5,0.8766666666666667,0.10368141412254668,5,0.2529467495688682,0.003849269056537078,5,0.7027577343111321,0.011072626407561015,5,0.5412907702984039,0.0,5,0.8496877168632894,0.12674328370009114,5,0.04010208645750866,0.05059862536221627,5,0.022436858998851405,0.002558373380205637,5,0.022289877735839608,0.002650929130579372,5,8.189453534580762,0.9338062837750584,5,8.135805373581457,0.9675891326614716,5,2.632846998749533,0.2256002401242478,5,3.104954678539465,0.126593014829306,5,3.0834284005939496,0.13452181076982625,5,-0.9999999790912266,4.4851066584486116e-08,5,-0.9999999806053121,4.1647797518854513e-08,5,0.14698126301179737,0.10772122583879903,5,0.6017725753451204,0.022735833930128634,5,0.019862305590360757,0.005116746760411273,5,0.019568759441852775,0.005302355684998433,5,7.2497415404816765,1.8676125675501152,5,7.142597196276261,1.935359825024428,5,2.9060621075089292,0.012262776030498022,5,2.49688730216531,0.652424576844889,5,2.4595870435759855,0.6757953910442993,5,-0.9999999477826588,1.1116683321190948e-07,5,-0.9999999593889033,8.63543455057084e-08,5,0.29354614850798055,0.21571409599425873,5,0.6017725753451204,0.022735833930128634,5
5,60,20,ohlc_ma,1441.0,0.0,5,0.557529493407356,0.023289655324831734,5,0.5412907702984039,0.0,5,0.016238723108952115,0.02328965532483173,5,0.5644949377400209,0.016252358007633035,5,0.5829913361786938,0.010742526954329836,5,0.6274020200912854,0.0508601729383073,5,0.5751312224939017,0.012801666376040606,5,0.698974358974359,0.11956597489969571,5,0.27888092529964487,0.017047795248512212,5,0.7923129862922276,0.06115129101747684,5,0.5412907702984039,0.0,5,0.6578764746703678,0.11267759074064644,5,0.05419347536842365,0.009723650902305588,5,0.01995961443706562,0.003782366349318316,5,0.019702709509931686,0.003829192323641474,5,7.285259269528952,1.380563717501185,5,7.191488971125065,1.3976551981291379,5,2.3245806883729845,0.18589392121846973,5,3.115222763276376,0.3722741591257688,5,3.0740871125860636,0.3817716063375792,5,-0.9999993500256874,1.1161667396316131e-06,5,-0.9999994236036602,9.817065396221658e-07,5,0.25690492713393476,0.047439838643297004,5,0.5869843552121893,0.05325138492398791,5,0.014907816466789191,0.007564732698636633,5,0.014394145405026527,0.007659025314414931,5,5.441353010378055,2.761127435002371,5,5.253863072834681,2.79554423976145,5,2.915301408260904,0.015221693039523318,5,1.870415959391415,0.9585956972440715,5,1.8055002562971167,0.9696048449950336,5,-0.9999857110515054,2.653624415950307e-05,5,-0.9999882563062078,2.203559304621814e-05,5,0.5136710617626649,0.09554833315296425,5,0.5869843552121893,0.05325138492398791,5
6,60,20,ohlc_ma_vb,1441.0,0.0,5,0.5793199167244969,0.018218333738359904,5,0.5412907702984039,0.0,5,0.03802914642609299,0.018218333738359904,5,0.584861903099422,0.023250398342310123,5,0.6112561796902997,0.019325505724168295,5,0.6510711809366792,0.006972443111511877,5,0.591870907530231,0.020134417121348197,5,0.7251282051282051,0.03095032179898755,5,0.27433676215715297,0.00895662684801531,5,0.7849563223376895,0.027647460046709458,5,0.5412907702984039,0.0,5,0.6643997224149896,0.04859125408998831,5,0.0946412513475567,0.04655103090358973,5,0.022344483506924848,0.0019809196746268876,5,0.022092713902483484,0.001968522275763004,5,8.155736480027569,0.7230356812388139,5,8.063840574406473,0.718510630653496,5,2.346725885163267,0.06686289758614714,5,3.482070940296154,0.37705951432501256,5,3.4423121472519114,0.3737403793781097,5,-0.9999968185634167,3.7927965200726593e-06,5,-0.9999972078793213,3.3147845879012207e-06,5,0.25176960444136015,0.01988659776220081,5,0.5979350360324974,0.029003994401021433,5,0.019677554606507646,0.003961839349253773,5,0.01917443177514054,0.003937461225502006,5,7.182307431375291,1.4460713624776262,5,6.998667597926297,1.437173347308232,5,2.907054682224916,0.01014022163002773,5,2.472056909231913,0.5067040081071483,5,2.407759221482054,0.5029006587929385,5,-0.9996278096468704,0.00045487091782920187,5,-0.9996822145573205,0.0003834574595634928,5,0.5031228313671062,0.03959845279024872,5,0.5979350360324974,0.029003994401021433,5
7,60,20,ohlc_vb,1441.0,0.0,5,0.567383761276891,0.017332400047833145,5,0.5412907702984039,0.0,5,0.026092990978487163,0.017332400047833103,5,0.5612471391442647,0.01858608416955112,5,0.5714226846194813,0.012268674328537866,5,0.6585744515333221,0.04582640328078055,5,0.5750624242735297,0.015287314007874558,5,0.7848717948717948,0.1434047572148409,5,0.25830624458350976,0.00795089048349467,5,0.7193406660349287,0.023365319028249277,5,0.5412907702984039,0.0,5,0.7410131852879944,0.14895514019345402,5,0.026154401540285272,0.03895880420236283,5,0.021167703006513085,0.005997228628770744,5,0.02096187372129448,0.006055808642014453,5,7.726211597377275,2.1889884495013203,5,7.651083908272487,2.210370154335276,5,2.401569211835988,0.3230683750394402,5,3.169842145767426,0.543850813193902,5,3.1367757214264325,0.5539431930519371,5,-0.9999981589172986,3.847672009870991e-06,5,-0.9999982737234427,3.620450278873501e-06,5,0.2058292852185982,0.0769541550392051,5,0.5894187582937237,0.03846802595873278,5,0.017323993605684117,0.011994457257541483,5,0.01691275141276253,0.012112005201998096,5,6.323257666074701,4.377976899002641,5,6.173154265658324,4.420881898729305,5,2.9060104142270653,0.025224702053368523,5,2.18638268264091,1.5244989176706267,5,2.134023499499784,1.5381637774235288,5,-0.9999972604464562,4.039785739009867e-06,5,-0.9999977786699976,3.4733667706617996e-06,5,0.4112421929215822,0.15418591773367796,5,0.5894187582937237,0.03846802595873278,5
