split,feature,num_rows,missing_rate,mean,std,min,max
train,finbert_news_count_7d,671,0.0,50.02682563338301,27.26972836831148,5.0,160.0
train,finbert_missing_7d,671,0.0,0.0,0.0,0.0,0.0
train,finbert_unique_source_count_7d,671,0.0,9.397913561847988,3.4465550784711327,2.0,19.0
train,finbert_positive_count_7d,671,0.0,10.707898658718332,7.299227942929907,0.0,49.0
train,finbert_negative_count_7d,671,0.0,13.266766020864381,8.470074528057294,1.0,50.0
train,finbert_neutral_count_7d,671,0.0,26.0521609538003,15.159115004226628,2.0,81.0
train,finbert_positive_ratio_7d,671,0.0,0.21728288977601537,0.09486334058413837,0.0,0.5185185185185185
train,finbert_negative_ratio_7d,671,0.0,0.2676947214592215,0.10055611293394727,0.034482758620689655,0.6538461538461539
train,finbert_neutral_ratio_7d,671,0.0,0.515022388764763,0.09484311342977897,0.23076923076923078,0.8
train,finbert_confidence_mean_7d,671,0.0,0.8197592880326747,0.024184838776283267,0.7440289947826088,0.9006613795
train,finbert_confidence_max_7d,671,0.0,0.9648203363040238,0.0086274596204597,0.9313374,0.97640926
train,finbert_low_confidence_count_7d,671,0.0,1.585692995529061,1.7758002832261575,0.0,10.0
train,finbert_high_confidence_positive_count_7d,671,0.0,5.80327868852459,4.549894666139319,0.0,32.0
train,finbert_high_confidence_negative_count_7d,671,0.0,8.736214605067063,5.695286082353203,0.0,44.0
train,finbert_sentiment_mean_7d,671,0.0,-0.031838689155553226,0.14045136344266937,-0.5076940266521739,0.32613703425806445
train,finbert_sentiment_sum_7d,671,0.0,-1.5886005618238017,7.191710334612498,-34.085544356999996,26.767191762800003
train,finbert_sentiment_std_7d,671,0.0,0.5329360230588479,0.060454071603524735,0.3392464817812168,0.7065584461147698
train,finbert_sentiment_abs_mean_7d,671,0.0,0.4124771866071484,0.07341923670400836,0.2211186222074074,0.7092046500384614
train,finbert_confidence_weighted_sentiment_mean_7d,671,0.0,-0.042527258594683294,0.14772037857511616,-0.5293303158697409,0.346840189070475
train,finbert_positive_prob_mean_7d,671,0.0,0.23815388600819398,0.07459338334257945,0.07286777490625002,0.4806367684838709
train,finbert_negative_prob_mean_7d,671,0.0,0.26999257513694463,0.08440886580609638,0.09035597517910447,0.6185833068695652
train,finbert_neutral_prob_mean_7d,671,0.0,0.4918535395254453,0.07517628179440626,0.24362683155769232,0.7155115642962964
train,finbert_count_matches_sample_table_7d,671,0.0,1.0,0.0,1.0,1.0
train,finbert_news_count_20d,671,0.0,142.16095380029807,71.15394931393129,44.0,417.0
