run_seed,sample_index,Date,label,stage2_prob_up,film_prob_up,prob_up_delta,stage2_pred_class,film_pred_class,stage2_correct,film_correct,transition
42,978,2021-01-01T00:00:00,1,0.8361499309539795,0.8237063884735107,-0.01244354248046875,1,1,1,1,both_correct
42,979,2021-01-02T00:00:00,1,0.9416652321815492,0.9370458722114564,-0.0046193599700927734,1,1,1,1,both_correct
42,980,2021-01-03T00:00:00,0,0.9214431047439576,0.915147304534912,-0.006295800209045632,1,1,0,0,both_wrong
42,981,2021-01-04T00:00:00,1,0.8625661730766296,0.8519473075866699,-0.010618865489959717,1,1,1,1,both_correct
42,982,2021-01-05T00:00:00,0,0.9152504205703736,0.9096329808235168,-0.0056174397468568005,1,1,0,0,both_wrong
42,983,2021-01-06T00:00:00,0,0.9669904112815856,0.9646516442298888,-0.0023387670516967773,1,1,0,0,both_wrong
42,984,2021-01-07T00:00:00,0,0.8519298434257507,0.8420873284339905,-0.009842514991760254,1,1,0,0,both_wrong
42,985,2021-01-08T00:00:00,0,0.8564518690109253,0.8461208343505859,-0.010331034660339355,1,1,0,0,both_wrong
42,986,2021-01-09T00:00:00,0,0.8941289782524109,0.8850078582763672,-0.009121119976043701,1,1,0,0,both_wrong
42,987,2021-01-10T00:00:00,0,0.8757885098457336,0.8654367923736572,-0.010351717472076416,1,1,0,0,both_wrong
42,988,2021-01-11T00:00:00,0,0.7806001901626587,0.7655489444732666,-0.01505124568939209,1,1,0,0,both_wrong
42,989,2021-01-12T00:00:00,0,0.9187430143356324,0.9126092791557312,-0.006133735179901234,1,1,0,0,both_wrong
42,990,2021-01-13T00:00:00,0,0.7343882322311401,0.7193061113357544,-0.015082120895385742,1,1,0,0,both_wrong
42,991,2021-01-14T00:00:00,0,0.9623764157295228,0.9594720005989076,-0.0029044151306152344,1,1,0,0,both_wrong
42,992,2021-01-15T00:00:00,1,0.9527153372764589,0.948847472667694,-0.0038678646087648705,1,1,1,1,both_correct
