split,num_samples,missing_rate_7d,mean_news_count_7d,mean_sentiment_7d,std_sentiment_7d,mean_weighted_sentiment_7d,mean_positive_ratio_7d,mean_negative_ratio_7d,mean_neutral_ratio_7d,mean_news_fg_proxy_7d,count_match_rate_7d,missing_rate_20d,mean_news_count_20d,mean_sentiment_20d,std_sentiment_20d,mean_weighted_sentiment_20d,mean_positive_ratio_20d,mean_negative_ratio_20d,mean_neutral_ratio_20d,mean_news_fg_proxy_20d,count_match_rate_20d,missing_rate_60d,mean_news_count_60d,mean_sentiment_60d,std_sentiment_60d,mean_weighted_sentiment_60d,mean_positive_ratio_60d,mean_negative_ratio_60d,mean_neutral_ratio_60d,mean_news_fg_proxy_60d,count_match_rate_60d
train,671,0.0,50.02682563338301,-0.031838689155553226,0.14045136344266937,-0.042527258594683294,0.21728288977601537,0.2676947214592215,0.515022388764763,51.140844690058415,1.0,0.0,142.16095380029807,-0.030544234286908955,0.1032331583000953,-0.04110352943951795,0.2188908425296235,0.2674033273764957,0.5137058300938808,50.66678406429865,1.0,0.0,424.20119225037257,-0.03437567597158354,0.07590514791905384,-0.04551038513858191,0.21881236201438,0.27092868214076055,0.5102589558448595,50.15885596152886,1.0
validation,287,0.0,52.73867595818815,-0.03589801561772265,0.14644600767061844,-0.04512795390777716,0.21167816343691126,0.2700797029229554,0.5182421336401333,49.52077179804793,1.0,0.0,151.09059233449477,-0.035362129521875146,0.10003660305741212,-0.045125464628876455,0.21353841120564238,0.2693593811589819,0.5171022076353757,49.12488838931685,1.0,0.0,443.9547038327526,-0.035209649361794285,0.06936549496415835,-0.0460654708039076,0.21354953854718167,0.2672855837873851,0.5191648776654334,49.923518883738744,1.0
test,1441,0.0,81.71269951422623,0.05936443480716144,0.1412843072084513,0.04803160809073641,0.3098363605759841,0.2603121751143047,0.42985146430971116,69.60769175693088,1.0,0.0,233.02428868841082,0.057548468725033844,0.10942732600810903,0.04560072232412759,0.30915646151473686,0.2612760134047991,0.42956752508046403,73.2458490672683,1.0,0.0,695.5780707841776,0.055637134187621215,0.08414690566115711,0.04342936158452392,0.307437737836377,0.2616062759501248,0.4309559862134982,79.49901885533056,1.0
all,2399,0.0,69.38390996248437,0.02245838251415466,0.14868483328539822,0.011557329708289545,0.27220618905214383,0.2635455928210667,0.4642482181267895,62.039454820677925,1.0,0.0,197.80783659858275,0.021793760339091157,0.11527097748227405,0.01049569164929711,0.2724700877015976,0.2639568613499675,0.4635730509484348,64.04482016707458,1.0,0.0,589.57148812005,0.019592272788909824,0.09160105566414681,0.007846374111958754,0.27141708741013315,0.264893185455423,0.46368972713444384,67.75436783674458,1.0
