run_seed,num_rows,stage2_acc,film_acc,accuracy_delta,corrections,regressions,net_corrections,both_correct,both_wrong,changed_predictions,changed_prediction_rate,stage2_pred_pos_rate,film_pred_pos_rate,mean_prob_up_delta
42,1441,0.6030534351145038,0.6023594725884802,-0.000693962526023606,9,10,-1,859,563,19,0.0131852879944483,0.6162387231089521,0.6030534351145038,-0.010625344441943827
43,1441,0.5746009715475364,0.5739070090215128,-0.000693962526023606,26,27,-1,801,587,53,0.03678001387925052,0.6835530881332408,0.6467730742539903,-0.024705375728923194
44,1441,0.5628036086051353,0.5669673837612769,0.004163775156141525,34,28,6,783,596,62,0.04302567661346287,0.7314365024288688,0.6884108258154059,-0.02546692200620335
45,1441,0.5628036086051353,0.5655794587092297,0.002775850104094313,12,8,4,803,618,20,0.013879250520471894,0.6731436502428869,0.659264399722415,-0.011496545718485162
46,1441,0.5933379597501734,0.594031922276197,0.000693962526023606,14,13,1,842,572,27,0.018736988202637056,0.6176266481609993,0.5988896599583623,-0.008494852312390049
mean/sum,7205,0.5793199167244969,0.5805690492713393,0.0012491325468424463,95,86,9,4088,2936,181,0.02512144344205413,0.6643997224149896,0.6392782789729355,-0.016157808041589117
