year,rows,positive_share,negative_share,neutral_share,sentiment_mean,sentiment_std,confidence_mean
2018,1851,0.18530524041058888,0.31820637493246895,0.49648838465694217,-0.1091815510904927,0.5431316873011638,0.8133426865532145
2019,3582,0.2004466778336125,0.2501395868230039,0.5494137353433836,-0.02815703551862683,0.514405874387123,0.8139972381965382
2020,2010,0.2771144278606965,0.23034825870646766,0.4925373134328358,0.051365574185378106,0.5644918828623008,0.8236116419701492
2021,5382,0.2900408769973987,0.22946859903381642,0.48049052396878483,0.07186165709787365,0.5591209996244948,0.8126712298643627
2022,4247,0.27572404049917587,0.3312926771838945,0.3929832823169296,-0.030246106497987993,0.6124283611311959,0.8131846448387097
2023,3481,0.3430048836541224,0.2571100258546395,0.39988509049123816,0.08545541027762425,0.5999491374560304,0.8107536750962367
2024,3728,0.32162017167381973,0.22049356223175964,0.4578862660944206,0.10238852825395119,0.5669289574131748,0.8106473678433477
