transition,n,fg_value_mean,fg_value_median,fg_mean_60_mean,fg_mean_60_median,fg_delta_60_mean,fg_delta_60_median,fg_std_60_mean,fg_std_60_median,finbert_news_count_7d_mean,finbert_news_count_7d_median,finbert_news_count_20d_mean,finbert_news_count_20d_median,finbert_news_count_60d_mean,finbert_news_count_60d_median,finbert_positive_ratio_20d_mean,finbert_positive_ratio_20d_median,finbert_negative_ratio_20d_mean,finbert_negative_ratio_20d_median,finbert_sentiment_mean_7d_mean,finbert_sentiment_mean_7d_median,finbert_sentiment_mean_20d_mean,finbert_sentiment_mean_20d_median,finbert_sentiment_mean_60d_mean,finbert_sentiment_mean_60d_median,finbert_confidence_weighted_sentiment_mean_20d_mean,finbert_confidence_weighted_sentiment_mean_20d_median,finbert_confidence_weighted_sentiment_mean_60d_mean,finbert_confidence_weighted_sentiment_mean_60d_median,finbert_news_fg_proxy_20d_mean,finbert_news_fg_proxy_20d_median,finbert_news_fg_proxy_60d_mean,finbert_news_fg_proxy_60d_median
both_correct,4088,50.073140900195696,51.0,50.1598336594912,52.791666666666664,0.860078277886497,0.0,10.118443870589935,8.583880820413231,81.40973581213308,79.0,232.87084148727985,231.0,691.8923679060665,680.0,0.3129676444384433,0.3072289156626506,0.2582592457865749,0.251937984496124,0.05865236590117965,0.063177582607563,0.06223600427372006,0.0569901326300746,0.05688563345252734,0.06616990395845901,0.050704247117943635,0.0459038342285237,0.04481252568456099,0.054647947956568646,74.22731894016229,84.51585655796856,80.01802106896028,93.40860771446954
both_wrong,2936,47.72377384196185,50.0,48.347939373296995,50.31666666666666,-2.6420299727520438,-1.0,11.034580893203312,10.356036886763524,81.69311989100818,79.0,232.2465940054496,223.0,699.5875340599455,700.0,0.30281519313793365,0.2960893854748603,0.26681997826974274,0.2618147880953199,0.058351327898216315,0.057912868484,0.049059121814461516,0.0432562256697,0.05266819259208235,0.0613364115540388,0.03637838491616092,0.0324448025624699,0.04016015160390553,0.0486524889200067,71.49276138967655,80.70335162501247,78.42795381522157,92.5791331685429
correction,95,56.357894736842105,61.0,54.03456140350879,56.75,1.1263157894736842,2.0,10.859292439270748,8.603148648412024,89.65263157894736,92.0,256.82105263157894,258.0,742.978947368421,758.0,0.32514521522920675,0.3152709359605911,0.22977442377544416,0.21875,0.10346539559050397,0.1345839117971544,0.09814253630285731,0.1084657619082638,0.08542126345568316,0.0836036881937562,0.08895198440447567,0.104755364648717,0.07526960026434167,0.0751779226001243,82.94767402524438,93.67390146052684,87.56747404322658,95.73408944922656
regression,86,50.406976744186046,51.5,48.66007751937984,48.96666666666666,2.197674418604651,1.0,11.453384529878324,11.419406400528166,88.01162790697674,81.5,240.58139534883722,225.0,681.5348837209302,631.0,0.3268182819717984,0.32466216216216215,0.2502075970631115,0.2447518664909969,0.07908336850365959,0.07735136793042491,0.07970708252175109,0.08913794068293565,0.06474707894459657,0.0644542747906437,0.06996355226641851,0.07839916548839446,0.05411776841663208,0.055898915772388244,75.72425848600115,91.04615151190946,82.48114287383662,93.12452515011374
