news_date,news_count,positive_share,negative_share,neutral_share,sentiment_mean,sentiment_sum,confidence_mean
2018-02-28,4,0.25,0.25,0.5,0.03126320122500004,0.12505280490000015,0.7844765125
2018-03-01,2,0.0,0.0,1.0,-0.1793851575,-0.358770315,0.7367137100000001
2018-03-02,3,0.0,0.6666666666666666,0.3333333333333333,-0.449013166,-1.347039498,0.8454534833333334
2018-03-03,2,0.5,0.5,0.0,-0.014230679999999996,-0.02846135999999999,0.904558575
2018-03-04,3,0.3333333333333333,0.0,0.6666666666666666,0.20982719945333336,0.6294815983600001,0.8457368399999999
2018-03-05,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.28131603,1.68789618,0.7880733283333333
2018-03-06,3,0.0,0.0,1.0,0.2280076733333333,0.6840230199999999,0.7125543333333333
2018-03-07,7,0.0,0.42857142857142855,0.5714285714285714,-0.36910172542857145,-2.583712078,0.8501489242857143
2018-03-08,2,0.0,0.5,0.5,-0.37606802,-0.75213604,0.8555936500000001
2018-03-09,8,0.0,0.625,0.375,-0.440987424375,-3.527899395,0.79313676625
2018-03-10,2,0.0,1.0,0.0,-0.543978605,-1.08795721,0.7552953250000001
2018-03-11,4,0.25,0.0,0.75,0.24707718885,0.9883087554,0.92333319
2018-03-12,8,0.125,0.25,0.625,-0.14659071687499997,-1.1727257349999998,0.7344520812499999
2018-03-13,5,0.0,0.4,0.6,-0.3309966112,-1.654983056,0.775688544
2018-03-14,9,0.1111111111111111,0.4444444444444444,0.4444444444444444,-0.3416098347888889,-3.0744885131,0.8455679455555555
2018-03-15,9,0.0,0.5555555555555556,0.4444444444444444,-0.40853141408444443,-3.67678272676,0.8166450822222222
2018-03-16,7,0.2857142857142857,0.5714285714285714,0.14285714285714285,-0.3105874514285714,-2.17411216,0.8715685757142857
2018-03-17,3,0.0,0.0,1.0,-0.105692139,-0.317076417,0.7578383000000001
2018-03-18,2,0.5,0.0,0.5,0.14250226195,0.2850045239,0.7038558
2018-03-19,6,0.3333333333333333,0.16666666666666666,0.5,0.1713485995,1.028091597,0.8657220816666666
2018-03-20,7,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.1316274181428571,0.9213919269999998,0.8257448414285714
2018-03-21,6,0.5,0.3333333333333333,0.16666666666666666,0.103993285,0.6239597100000001,0.7008393983333333
2018-03-22,4,0.25,0.0,0.75,0.36752107325000005,1.4700842930000002,0.7523421275
2018-03-23,2,0.5,0.5,0.0,-0.15811324,-0.31622648,0.699267
2018-03-25,1,0.0,0.0,1.0,0.026793456,0.026793456,0.9414211
2018-03-26,8,0.125,0.25,0.625,-0.06831735326337501,-0.5465388261070001,0.87357039375
2018-03-27,2,0.0,0.5,0.5,-0.3472089765,-0.694417953,0.8036893
2018-03-28,4,0.25,0.25,0.5,-0.0569600425,-0.22784017,0.8718971
2018-03-29,2,0.0,0.5,0.5,-0.29624551499999996,-0.5924910299999999,0.56999483
2018-03-30,5,0.2,0.8,0.0,-0.4855846,-2.427923,0.774232482
2018-03-31,1,0.0,1.0,0.0,-0.643974,-0.643974,0.70127016
2018-04-02,8,0.125,0.125,0.75,0.006347034827500007,0.05077627862000006,0.82619431125
2018-04-03,3,0.0,0.3333333333333333,0.6666666666666666,-0.120582133,-0.361746399,0.7572351666666667
2018-04-04,5,0.6,0.2,0.2,0.222084848,1.11042424,0.7973252399999999
2018-04-05,5,0.2,0.6,0.2,-0.4568458094,-2.284229047,0.847954842
2018-04-06,5,0.2,0.0,0.8,0.10188773,0.50943865,0.8816107719999999
2018-04-07,3,0.3333333333333333,0.0,0.6666666666666666,0.17774333683333332,0.5332300105,0.8250505433333334
2018-04-08,5,0.2,0.0,0.8,0.10635252648,0.5317626324,0.83845718
2018-04-09,3,0.6666666666666666,0.0,0.3333333333333333,0.35440646533333336,1.063219396,0.7585941766666666
2018-04-10,5,0.4,0.4,0.2,-0.09619167000000002,-0.4809583500000001,0.7367239019999999
2018-04-11,5,0.6,0.0,0.4,0.2350513168,1.175256584,0.711521678
2018-04-12,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.38438498857142855,2.69069492,0.7176827585714286
2018-04-13,6,0.6666666666666666,0.0,0.3333333333333333,0.502230139,3.013380834,0.809531015
2018-04-14,2,0.5,0.0,0.5,0.30464641,0.60929282,0.811488875
2018-04-15,2,0.5,0.0,0.5,0.3895604855,0.779120971,0.8666949500000001
2018-04-16,2,0.5,0.0,0.5,0.322095686,0.644191372,0.80160308
2018-04-17,2,0.0,0.5,0.5,-0.43881545850000003,-0.8776309170000001,0.90876358
2018-04-18,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.04822488971428572,0.33757422800000003,0.7418632814285715
2018-04-19,5,0.4,0.0,0.6,0.355387,1.776935,0.78911942
2018-04-20,10,0.3,0.3,0.4,-0.06450580292000001,-0.6450580292000001,0.8266335189999999
2018-04-21,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15936463010000002,0.47809389030000005,0.8145724033333334
2018-04-22,8,0.25,0.25,0.5,0.0636678955,0.509343164,0.84493081
2018-04-23,8,0.125,0.375,0.5,-0.24571883152,-1.96575065216,0.834653555
2018-04-24,8,0.375,0.125,0.5,0.08368069012499998,0.6694455209999999,0.7693485875
2018-04-25,5,0.0,0.6,0.4,-0.379259035,-1.896295175,0.8028302079999999
2018-04-26,2,0.5,0.5,0.0,0.026258879999999984,0.05251775999999997,0.91596658
2018-04-27,4,0.25,0.25,0.5,-0.03500208949999998,-0.14000835799999992,0.8745272374999999
2018-04-28,2,0.0,0.0,1.0,0.022182841725,0.04436568345,0.931628795
2018-04-29,3,0.0,0.0,1.0,-0.057069263106666664,-0.17120778932,0.8617998433333334
2018-04-30,8,0.0,0.5,0.5,-0.371936057625,-2.975488461,0.763907705
2018-05-01,2,0.0,0.5,0.5,-0.48311211,-0.96622422,0.77435948
2018-05-02,2,0.0,0.5,0.5,-0.363270521,-0.726541042,0.8740739
2018-05-03,4,0.0,0.0,1.0,0.0204716597,0.0818866388,0.84295001
2018-05-04,4,0.25,0.0,0.75,0.17465659925,0.698626397,0.811913475
2018-05-05,7,0.14285714285714285,0.0,0.8571428571428571,0.058565422957142864,0.40995796070000007,0.7754160171428571
2018-05-06,5,0.0,0.6,0.4,-0.38244933626,-1.9122466813,0.720681982
2018-05-07,11,0.0,0.36363636363636365,0.6363636363636364,-0.35428971045454544,-3.897186815,0.8418922136363637
2018-05-08,4,0.0,0.25,0.75,-0.188231828925,-0.7529273157,0.90914642
2018-05-09,2,0.0,1.0,0.0,-0.9437225,-1.887445,0.95788965
2018-05-10,1,0.0,0.0,1.0,0.003028743,0.003028743,0.93928975
2018-05-11,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02545901700000001,0.07637705100000003,0.8155860733333333
2018-05-12,6,0.0,0.3333333333333333,0.6666666666666666,-0.38366134953000003,-2.30196809718,0.75613312
2018-05-13,5,0.2,0.2,0.6,-0.02752610614,-0.1376305307,0.808858656
2018-05-14,5,0.0,0.8,0.2,-0.612417866,-3.06208933,0.823622576
2018-05-15,9,0.2222222222222222,0.2222222222222222,0.5555555555555556,-0.02897105386666666,-0.2607394847999999,0.8449033444444445
2018-05-16,4,0.0,1.0,0.0,-0.775319315,-3.10127726,0.8573211025
2018-05-17,5,0.2,0.4,0.4,-0.147579144,-0.73789572,0.825940514
2018-05-18,3,0.0,0.3333333333333333,0.6666666666666666,-0.32726534933333334,-0.981796048,0.8784267733333334
2018-05-19,2,0.0,0.0,1.0,0.269347425,0.53869485,0.668125975
2018-05-20,3,0.3333333333333333,0.0,0.6666666666666666,0.22040891899999995,0.6612267569999999,0.8559739333333334
2018-05-21,8,0.125,0.0,0.875,0.04408589660000001,0.35268717280000006,0.78144037375
2018-05-22,5,0.0,0.4,0.6,-0.3272669846,-1.636334923,0.900578644
2018-05-23,6,0.0,0.8333333333333334,0.16666666666666666,-0.7166730116666667,-4.30003807,0.8948004100000001
2018-05-24,6,0.0,0.6666666666666666,0.3333333333333333,-0.5492619866666667,-3.29557192,0.8058215
2018-05-25,5,0.2,0.2,0.6,-0.0502038918,-0.251019459,0.705290988
2018-05-26,2,0.0,0.5,0.5,-0.557857935,-1.11571587,0.78877197
2018-05-27,6,0.0,0.5,0.5,-0.39481240700000003,-2.368874442,0.7807192833333333
2018-05-28,4,0.0,0.75,0.25,-0.499753747525,-1.9990149901,0.7701067075
2018-05-29,5,0.0,0.4,0.6,-0.20275618520000002,-1.0137809260000001,0.602469534
2018-05-30,3,0.6666666666666666,0.0,0.3333333333333333,0.5555354537333334,1.6666063612,0.88565835
2018-05-31,6,0.3333333333333333,0.16666666666666666,0.5,0.06971329183333333,0.418279751,0.8192734216666667
2018-06-01,3,0.0,0.0,1.0,-0.045749302666666665,-0.137247908,0.7787747333333334
2018-06-02,1,1.0,0.0,0.0,0.88987184,0.88987184,0.9195255
2018-06-03,3,0.3333333333333333,0.0,0.6666666666666666,0.22137719106666665,0.6641315731999999,0.7969000333333334
2018-06-04,5,0.2,0.4,0.4,-0.04757682279999999,-0.23788411399999992,0.77733036
2018-06-05,4,0.0,0.0,1.0,0.05910345674999999,0.23641382699999997,0.8505202725000001
2018-06-06,8,0.25,0.125,0.625,0.02167756824999999,0.17342054599999993,0.814225805
2018-06-07,11,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.2523195737272727,2.775515311,0.7913861363636364
2018-06-08,5,0.0,0.0,1.0,0.17081616319999998,0.854080816,0.78239551
2018-06-09,2,0.0,0.0,1.0,-0.03155142,-0.06310284,0.856605285
2018-06-10,8,0.0,0.375,0.625,-0.33709824316750003,-2.6967859453400003,0.8681877287499999
2018-06-11,7,0.14285714285714285,0.5714285714285714,0.2857142857142857,-0.4748773326571429,-3.3241413286,0.8791948257142856
2018-06-12,5,0.0,1.0,0.0,-0.763453312,-3.81726656,0.844656378
2018-06-13,13,0.0,0.6153846153846154,0.38461538461538464,-0.4465144427230769,-5.8046877554,0.809638516923077
2018-06-14,4,0.0,0.0,1.0,0.02638794399999999,0.10555177599999996,0.757946565
2018-06-15,4,0.0,0.25,0.75,-0.062038833000000015,-0.24815533200000006,0.75763106
2018-06-16,4,0.0,0.5,0.5,-0.38355467485,-1.5342186994,0.8801741750000001
2018-06-17,4,0.0,0.5,0.5,-0.24936584817500002,-0.9974633927000001,0.75913539
2018-06-18,6,0.16666666666666666,0.5,0.3333333333333333,-0.23423712105000002,-1.4054227263,0.619178425
2018-06-19,2,1.0,0.0,0.0,0.8366555499999999,1.6733110999999998,0.899992135
2018-06-20,2,1.0,0.0,0.0,0.77632962,1.55265924,0.8082450999999999
2018-06-21,1,1.0,0.0,0.0,0.06825641,0.06825641,0.39335936
2018-06-22,13,0.07692307692307693,0.5384615384615384,0.38461538461538464,-0.410213876,-5.332780388,0.8722124407692308
2018-06-23,3,0.0,0.3333333333333333,0.6666666666666666,-0.21839115053333336,-0.6551734516000001,0.8322683166666667
2018-06-24,3,0.0,0.6666666666666666,0.3333333333333333,-0.4465759538666667,-1.3397278616000001,0.83228001
2018-06-25,7,0.14285714285714285,0.0,0.8571428571428571,0.10336433138571428,0.7235503196999999,0.8157300157142858
2018-06-26,4,0.25,0.25,0.5,0.06231751025,0.249270041,0.748932835
2018-06-27,2,0.5,0.5,0.0,-0.23907089,-0.47814178,0.5354186
2018-06-28,9,0.0,0.5555555555555556,0.4444444444444444,-0.43229116036066667,-3.890620443246,0.8885381
2018-06-29,8,0.0,0.5,0.5,-0.44956696150000003,-3.5965356920000002,0.84286341125
2018-07-01,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.09138042099999999,-0.27414126299999997,0.8267878133333334
2018-07-02,4,0.25,0.0,0.75,0.11261582849249999,0.45046331396999995,0.806240085
2018-07-03,6,0.8333333333333334,0.0,0.16666666666666666,0.6227216881666666,3.7363301289999997,0.8422636883333333
2018-07-04,4,0.5,0.0,0.5,0.311812515975,1.2472500639,0.7534317
2018-07-05,4,0.25,0.0,0.75,0.10745934530000001,0.42983738120000003,0.7709601675
2018-07-06,7,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.06303399785714285,0.441237985,0.75459459
2018-07-07,1,0.0,1.0,0.0,-0.9444968,-0.9444968,0.9526065
2018-07-08,2,0.5,0.0,0.5,0.435180115,0.87036023,0.727381945
2018-07-09,8,0.125,0.375,0.5,-0.15240880124999998,-1.2192704099999998,0.8409939387500001
2018-07-10,7,0.14285714285714285,0.42857142857142855,0.42857142857142855,-0.150313902,-1.052197314,0.8310165885714286
2018-07-11,3,0.0,1.0,0.0,-0.7126877133333333,-2.13806314,0.8004458233333334
2018-07-12,6,0.3333333333333333,0.5,0.16666666666666666,-0.08345921249999999,-0.5007552749999999,0.8399397816666667
2018-07-13,9,0.2222222222222222,0.3333333333333333,0.4444444444444444,-0.12403686943333331,-1.1163318248999998,0.7900569322222223
2018-07-14,7,0.14285714285714285,0.14285714285714285,0.7142857142857143,-0.0037742194285714336,-0.026419536000000035,0.8200143914285715
2018-07-15,3,0.3333333333333333,0.0,0.6666666666666666,0.3147986945333333,0.9443960835999999,0.9207234
2018-07-16,4,0.25,0.5,0.25,-0.0964530665,-0.385812266,0.8238033725
2018-07-17,5,0.4,0.0,0.6,0.32833746119999996,1.641687306,0.718592328
2018-07-18,1,1.0,0.0,0.0,0.6416329,0.6416329,0.72463757
2018-07-20,5,0.4,0.2,0.4,0.14933270010000002,0.7466635005000001,0.9098859880000001
2018-07-21,4,0.0,0.25,0.75,-0.15570356445,-0.6228142578,0.87916581
2018-07-22,5,0.2,0.4,0.4,-0.2284071032,-1.142035516,0.8710131539999999
2018-07-23,8,0.5,0.25,0.25,0.2797952344125,2.2383618753,0.754087805
2018-07-24,9,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.1883551677777778,1.6951965100000002,0.8347842544444445
2018-07-25,8,0.125,0.25,0.625,-0.18419513095,-1.4735610476,0.784618485
2018-07-26,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,-0.24752701914285716,-1.7326891340000001,0.7467944828571429
2018-07-27,7,0.0,0.2857142857142857,0.7142857142857143,-0.22696991055714286,-1.5887893739,0.8141370014285715
2018-07-28,5,0.0,0.0,1.0,0.035388742092000006,0.17694371046000001,0.873580344
2018-07-29,8,0.125,0.125,0.75,-0.009320303487500006,-0.07456242790000005,0.75714511875
2018-07-30,10,0.1,0.4,0.5,-0.19789324701000002,-1.9789324701000002,0.840027822
2018-07-31,9,0.2222222222222222,0.3333333333333333,0.4444444444444444,-0.007853804988888885,-0.07068424489999996,0.8541976388888889
2018-08-01,5,0.2,0.2,0.6,-0.03583429053999998,-0.1791714526999999,0.7990329039999999
2018-08-02,9,0.0,0.3333333333333333,0.6666666666666666,-0.16765394492777774,-1.5088855043499998,0.7891774455555556
2018-08-03,12,0.25,0.4166666666666667,0.3333333333333333,-0.21351051275,-2.562126153,0.777953985
2018-08-04,9,0.0,0.4444444444444444,0.5555555555555556,-0.3183364233111111,-2.8650278098,0.8595851755555556
2018-08-05,3,0.0,0.0,1.0,0.016008486266666667,0.048025458800000004,0.9051549666666667
