split,feature,num_rows,raw_missing_rate,raw_mean,raw_std,normalized_mean,normalized_std,normalized_min,normalized_max
test,finbert_news_count_7d,1441,0.0,81.71269951422623,29.966405636285852,1.1628099411363324,1.099708800995508,-0.9918319324895227,5.907402399999493
test,finbert_unique_source_count_7d,1441,0.0,16.85496183206107,4.851914423804272,2.16523774806151,1.4088078660760666,-1.276983614932777,6.853130975835443
test,finbert_positive_count_7d,1441,0.0,24.90145732130465,10.943613189067827,1.9459793600406832,1.5004021117220296,-0.7825699842526875,10.322772369302877
test,finbert_negative_count_7d,1441,0.0,21.1353226925746,11.057813252057677,0.9296761809369196,1.3064893629916843,-1.3311772975399372,7.766433473888097
test,finbert_neutral_count_7d,1441,0.0,35.67591950034698,16.446571001717853,0.6353232214021448,1.0857388430199062,-1.2577497880164479,5.475894688784375
test,finbert_positive_ratio_7d,1441,0.0,0.3098363605759841,0.08512691314537096,0.9763783800030208,0.8980330703228835,-1.2560956357246837,3.388223974580931
test,finbert_negative_ratio_7d,1441,0.0,0.2603121751143047,0.10476252183853103,-0.07347194952249277,1.042608655165348,-2.126176470582111,3.478192290808179
test,finbert_neutral_ratio_7d,1441,0.0,0.42985146430971105,0.09152125999089367,-0.8986889829450997,0.9656951428591846,-3.862793007422819,1.6697362775913405
test,finbert_confidence_mean_7d,1441,0.0,0.8125031459925942,0.017920122650503474,-0.3002523655252566,0.7415179011926777,-2.8916663330125063,2.0239222192719017
test,finbert_confidence_max_7d,1441,0.0,0.9681759797432339,0.005894196990236208,0.3892393433007297,0.6836999840199717,-2.2744544337302965,1.294122134582657
test,finbert_low_confidence_count_7d,1441,0.0,2.6037473976405274,1.8407711483445952,0.5737209699489317,1.0373600924389925,-0.8936116984999319,5.3053995295339
test,finbert_high_confidence_positive_count_7d,1441,0.0,14.524635669673838,7.106768549658028,1.9182560630989636,1.563128523335155,-0.8365283544391726,9.940985660296546
test,finbert_high_confidence_negative_count_7d,1441,0.0,14.278972935461486,8.548179691862781,0.9739446087033231,1.5020415881138574,-1.5350821031511268,9.710664372065864
test,finbert_sentiment_mean_7d,1441,0.0,0.05936443480716143,0.14123527569310745,0.6498417557579095,1.0063315327760354,-2.807424274608884,2.997864947976082
test,finbert_sentiment_sum_7d,1441,0.0,4.5825430653933985,12.274815816876673,0.858731366227799,1.7080738989985786,-7.3640128525232145,7.769947140016752
test,finbert_sentiment_std_7d,1441,0.0,0.5735089709836194,0.05862719571456294,0.671637391455598,0.9705042106157903,-2.4960766649316235,3.35931652731335
test,finbert_sentiment_abs_mean_7d,1441,0.0,0.4741073635707535,0.06363747201238328,0.8400543951850284,0.8674149693588638,-1.6845887946665683,3.327107650438834
test,finbert_confidence_weighted_sentiment_mean_7d,1441,0.0,0.04803160809073639,0.15198752912866836,0.6134998001311652,1.029654214498693,-2.907588114660822,3.0459227799779245
test,finbert_positive_prob_mean_7d,1441,0.0,0.3202477170318448,0.06716617280267119,1.1013721130823146,0.901102418353676,-1.3106210205396729,3.7405949078296263
test,finbert_negative_prob_mean_7d,1441,0.0,0.2608832822564968,0.09071108277476407,-0.10799918039986857,1.075464662453313,-2.4442677684103225,3.814969334917832
test,finbert_neutral_prob_mean_7d,1441,0.0,0.4188690011720874,0.07437867584898282,-0.9715695213351367,0.9901282671991128,-3.7124063454401828,1.7201816942619772
test,finbert_news_count_20d,1441,0.0,233.02428868841082,73.04596363616801,1.2779489956769197,1.027356259618268,-0.9023928801615132,3.935801261118824
test,finbert_unique_source_count_20d,1441,0.0,26.400416377515615,5.769452191618925,2.9358106587668304,1.4330942346444198,-0.39276522931302676,7.059038791489264
test,finbert_positive_count_20d,1441,0.0,70.9090909090909,24.358374109326117,2.388730242378534,1.4375539401770654,-0.2026449603608434,7.941677105391487
test,finbert_negative_count_20d,1441,0.0,60.27758501040944,24.70588921348856,1.1042685799581737,1.2105452766030456,-1.4572414737667623,5.549507931542024
test,finbert_neutral_count_20d,1441,0.0,101.83761276891047,41.00484899972903,0.7013235028979106,1.0325531549242686,-1.032093299648133,3.223537130385996
test,finbert_positive_ratio_20d,1441,0.0,0.30915646151473686,0.06355524489812363,1.2633997602772367,0.8895488899477092,-0.45025026008707253,4.121653598230666
test,finbert_negative_ratio_20d,1441,0.0,0.2612760134047991,0.08452385791572842,-0.08851086926544535,1.2209722192053156,-2.5626437276117384,3.6450325275667526
