aggregation,dimension,mean_window_explained_variance_ratio,min_window_explained_variance_ratio,max_window_explained_variance_ratio
decay_mean,8,0.5923903567299934,0.39681882490863407,0.8006151372917703
decay_mean,16,0.7214336460062699,0.5223012612260226,0.9219614216506792
decay_mean,32,0.8282704072338499,0.6607389244440803,0.9716451721391689
mean,8,0.6182332210904886,0.417354232944285,0.8300186283160164
mean,16,0.7482890060265509,0.5456122046620736,0.947641854023424
mean,32,0.852011107985564,0.6872916706884076,0.985004240332441
