run_seed,sample_index,Date,label,transition,stage2_prob_up,film_prob_up,prob_up_delta,true_prob_stage2,true_prob_film,true_prob_delta,fg_value,fg_mean_60,fg_delta_60,fg_std_60,finbert_news_count_20d,finbert_sentiment_mean_20d,finbert_confidence_weighted_sentiment_mean_20d,finbert_news_fg_proxy_20d,finbert_positive_ratio_20d,finbert_negative_ratio_20d
42,1073,2021-04-06T00:00:00,0,correction,0.5176882743835449,0.4950651824474334,-0.0226230919361115,0.4823117256164551,0.5049348175525665,0.02262309193611145,75.0,77.11666666666666,-6.0,12.123106954169396,298,0.0780856477568456,0.0711542107541557,89.14969809846869,0.2449664429530201,0.1845637583892617
42,1386,2022-02-13T00:00:00,0,correction,0.5064775943756104,0.4853491187095642,-0.0211284756660461,0.49352240562438965,0.5146508812904358,0.021128475666046143,44.0,27.6,16.0,10.416653333324394,395,0.0451223467246835,0.040352093474008,81.26054153345125,0.2582278481012658,0.2379746835443038
42,1154,2021-06-26T00:00:00,0,correction,0.5060004591941833,0.4868965148925781,-0.0191039443016052,0.49399954080581665,0.5131034851074219,0.019103944301605225,20.0,31.7,-30.0,19.13661412058035,422,-0.065263214414654,-0.0868218940438447,33.7795416374297,0.2061611374407582,0.3151658767772511
42,1754,2023-02-16T00:00:00,0,correction,0.5155930519104004,0.4971445500850677,-0.0184485018253326,0.4844069480895996,0.5028554499149323,0.01844850182533264,62.0,41.93333333333333,36.0,13.18062551204933,218,0.0112428144991284,-0.0042507442876858,69.21458017165577,0.2981651376146789,0.3165137614678899
42,2070,2023-12-29T00:00:00,0,correction,0.5003795623779297,0.4834941625595093,-0.0168853998184204,0.4996204376220703,0.5165058374404907,0.01688539981842041,65.0,69.93333333333334,-3.0,3.496982826508726,92,0.1849613279380434,0.1755267516841651,98.4905830850242,0.3152173913043478,0.1304347826086956
42,1330,2021-12-19T00:00:00,0,correction,0.5054290294647217,0.4898980557918548,-0.0155309736728668,0.4945709705352783,0.5101019442081451,0.015530973672866821,29.0,50.68333333333333,-53.0,22.485915344697187,301,3.992968601329915e-05,-0.023481118619833,64.40458515034463,0.2524916943521594,0.3056478405315614
42,1776,2023-03-10T00:00:00,1,regression,0.5004624128341675,0.4812880158424377,-0.0191743969917297,0.5004624128341675,0.4812880158424377,-0.019174396991729792,34.0,51.05,9.0,7.891820660236365,177,-0.0400491544725988,-0.0673658095773582,45.405941693574846,0.2994350282485876,0.3389830508474576
42,1125,2021-05-28T00:00:00,1,regression,0.5054764747619629,0.4888376593589782,-0.0166388154029846,0.5054764747619629,0.4888376593589782,-0.016638815402984675,21.0,54.1,-51.0,22.85220631215583,356,-0.0588917537514044,-0.0770234772015974,36.59563425022952,0.247191011235955,0.3117977528089887
42,1770,2023-03-04T00:00:00,1,regression,0.5041531324386597,0.4890212416648865,-0.0151318907737731,0.5041531324386597,0.4890212416648865,-0.015131890773773193,50.0,49.16666666666666,24.0,10.636676590405877,169,0.0929939374695266,0.0769880147106059,91.6458024353892,0.3609467455621302,0.2603550295857988
42,1763,2023-02-25T00:00:00,1,regression,0.5067731738090515,0.4926047921180725,-0.014168381690979,0.5067731738090515,0.4926047921180725,-0.014168381690979004,52.0,46.38333333333333,25.0,12.775095129021702,186,0.0277877715422043,0.0186723872464814,75.60132849180893,0.3010752688172043,0.3064516129032258
42,1367,2022-01-25T00:00:00,1,regression,0.5097458362579346,0.495600938796997,-0.0141448974609375,0.5097458362579346,0.495600938796997,-0.014144897460937556,12.0,25.33333333333333,-35.0,7.721542735892415,380,-0.0642236168081052,-0.0878556486379899,34.23186944456606,0.2026315789473684,0.3184210526315789
42,1207,2021-08-18T00:00:00,1,regression,0.5130376815795898,0.499002456665039,-0.0140352249145508,0.5130376815795898,0.499002456665039,-0.014035224914550837,73.0,36.766666666666666,50.0,20.65701387476464,221,0.0731108644152036,0.0579325210769735,88.1808903353468,0.3122171945701357,0.2398190045248869
43,1160,2021-07-02T00:00:00,0,correction,0.5280770063400269,0.4770725071430206,-0.0510044991970062,0.47192299365997314,0.5229274928569794,0.051004499197006226,21.0,28.23333333333333,-40.0,16.680694096935834,366,-0.0801794305036721,-0.1034051177193393,27.641177385982303,0.2295081967213114,0.3579234972677595
43,1087,2021-04-20T00:00:00,0,correction,0.5400316715240479,0.4900259375572204,-0.0500057339668274,0.45996832847595215,0.5099740624427795,0.05000573396682739,73.0,73.18333333333334,-20.0,9.166045433495082,288,0.1084657619082638,0.104755364648717,93.67390146052684,0.2986111111111111,0.2152777777777778
43,1116,2021-05-19T00:00:00,0,correction,0.5328972339630127,0.4856389462947845,-0.0472582876682282,0.4671027660369873,0.5143610537052155,0.04725828766822815,23.0,61.45,-52.0,17.09134771358509,257,-0.0062685161249027,-0.0127865174940321,61.55398130903992,0.2334630350194552,0.2529182879377432
43,1403,2022-03-02T00:00:00,0,correction,0.5419186949729919,0.4947490096092224,-0.0471696853637695,0.45808130502700806,0.5052509903907776,0.04716968536376953,52.0,28.266666666666666,31.0,11.846049505589644,289,0.0593024966722491,0.056298219927894,85.09352107513382,0.3079584775086505,0.2491349480968858
43,2136,2024-03-04T00:00:00,0,correction,0.5145878791809082,0.4674708843231201,-0.047116994857788,0.4854121208190918,0.5325291156768799,0.047116994857788086,82.0,67.16666666666667,14.0,9.64393879882918,228,0.2001020618258772,0.204098123643374,98.87022224002786,0.3728070175438596,0.1622807017543859
43,1100,2021-05-03T00:00:00,0,correction,0.5084978342056274,0.4649984836578369,-0.0434993505477905,0.49150216579437256,0.5350015163421631,0.04349935054779053,61.0,68.61666666666666,-23.0,11.1161918939099,308,0.0177081987493506,0.0029488271848354,71.81941708766374,0.2467532467532467,0.2564935064935065
43,1272,2021-10-22T00:00:00,1,regression,0.5298163294792175,0.4441295564174652,-0.0856867730617523,0.5298163294792175,0.4441295564174652,-0.08568677306175232,75.0,57.78333333333333,-4.0,20.015070710730896,391,0.2466443866281329,0.249528437787734,99.53865405265395,0.4092071611253197,0.1304347826086956
43,1276,2021-10-26T00:00:00,1,regression,0.5061384439468384,0.4336396753787994,-0.072498768568039,0.5061384439468384,0.4336396753787994,-0.072498768568039,76.0,57.73333333333333,5.0,19.963188344773265,390,0.2203137311307692,0.2184282533187322,99.23369487618751,0.3871794871794872,0.1358974358974359
43,1032,2021-02-24T00:00:00,1,regression,0.5487027168273926,0.4883745610713959,-0.0603281557559967,0.5487027168273926,0.4883745610713959,-0.060328155755996704,76.0,85.03333333333333,-17.0,10.384229495838005,360,0.1692374895731944,0.1634029609708528,97.96354045721056,0.325,0.1638888888888889
43,1393,2022-02-20T00:00:00,1,regression,0.528598964214325,0.476494163274765,-0.0521048009395599,0.528598964214325,0.476494163274765,-0.052104800939559937,27.0,28.85,-18.0,11.475807887319249,364,0.0678131193105769,0.0667775469458655,87.06771807813868,0.2747252747252747,0.2307692307692307
43,1390,2022-02-17T00:00:00,1,regression,0.5437242388725281,0.4925884306430816,-0.0511358082294464,0.5437242388725281,0.4925884306430816,-0.05113580822944647,52.0,29.1,23.0,11.66004574033304,352,0.0928244753509943,0.0935985350714833,91.62061297592214,0.2869318181818182,0.2130681818181818
43,1168,2021-07-10T00:00:00,1,regression,0.5192479491233826,0.4690792262554168,-0.0501687228679657,0.5192479491233826,0.4690792262554168,-0.050168722867965754,20.0,22.73333333333333,-41.0,8.237853010476414,347,-0.1145842629419135,-0.1403285073854332,16.391610930899766,0.2247838616714697,0.3861671469740634
44,1291,2021-11-10T00:00:00,0,correction,0.5476487278938293,0.4772341847419739,-0.0704145431518554,0.45235127210617065,0.5227658152580261,0.07041454315185547,75.0,59.66666666666666,44.0,19.73716179078336,329,0.1881765629810334,0.1800613833999444,98.58050832284589,0.364741641337386,0.1641337386018237
44,1296,2021-11-15T00:00:00,0,correction,0.5589631199836731,0.4945607185363769,-0.0644024014472962,0.4410368800163269,0.505439281463623,0.06440240144729614,72.0,62.35,19.0,19.108309710699256,324,0.1687711949418518,0.1620421751894565,97.94542623825734,0.3487654320987654,0.1790123456790123
44,1732,2023-01-25T00:00:00,0,correction,0.5441756248474121,0.48366379737854,-0.0605118274688721,0.4558243751525879,0.51633620262146,0.06051182746887207,51.0,31.85,29.0,9.319915950979723,187,0.2055151157909091,0.2081219186930143,98.9816349183694,0.5133689839572193,0.2513368983957219
44,1289,2021-11-08T00:00:00,0,correction,0.5223519206047058,0.4649094343185425,-0.0574424862861633,0.4776480793952942,0.5350905656814575,0.05744248628616333,75.0,58.3,30.0,19.766385607895096,356,0.1776555442878089,0.1658127935721271,98.26488397960163,0.3595505617977528,0.1601123595505618
44,2409,2024-12-02T00:00:00,0,correction,0.5443328022956848,0.4903294742107391,-0.0540033280849457,0.4556671977043152,0.5096705257892609,0.05400332808494568,80.0,71.53333333333333,43.0,13.68267355291223,286,0.2498268494730769,0.2574259517798468,99.56613975704032,0.444055944055944,0.1433566433566433
44,1727,2023-01-20T00:00:00,0,correction,0.5310944318771362,0.4792900383472442,-0.051804393529892,0.46890556812286377,0.5207099616527557,0.05180439352989197,51.0,29.3,30.0,7.523961722390139,158,0.1505778823607594,0.1464606015247277,97.10162751718246,0.4810126582278481,0.2721518987341772
44,1272,2021-10-22T00:00:00,1,regression,0.535853922367096,0.4569375514984131,-0.0789163708686828,0.535853922367096,0.4569375514984131,-0.07891637086868286,75.0,57.78333333333333,-4.0,20.015070710730896,391,0.2466443866281329,0.249528437787734,99.53865405265395,0.4092071611253197,0.1304347826086956
44,1274,2021-10-24T00:00:00,1,regression,0.5715029239654541,0.4996411800384521,-0.071861743927002,0.5715029239654541,0.4996411800384521,-0.07186174392700201,73.0,57.7,0.0,19.93681686394969,416,0.236532765170673,0.2369479785363896,99.4392953194077,0.3966346153846153,0.1322115384615384
44,2402,2024-11-25T00:00:00,1,regression,0.509975254535675,0.4413958489894867,-0.0685794055461883,0.509975254535675,0.4413958489894867,-0.06857940554618835,82.0,68.6,32.0,14.798873831027596,296,0.2963802079471284,0.3048265122841504,99.82360512377258,0.4560810810810811,0.1114864864864864
44,2403,2024-11-26T00:00:00,1,regression,0.5295617580413818,0.4631392955780029,-0.0664224624633789,0.5295617580413818,0.4631392955780029,-0.06642246246337896,79.0,68.9,18.0,14.824191939754208,314,0.2874212706062102,0.2930769693630503,99.79021418741156,0.4554140127388535,0.1146496815286624
44,2404,2024-11-27T00:00:00,1,regression,0.5343479514122009,0.4698118269443512,-0.0645361244678497,0.5343479514122009,0.4698118269443512,-0.06453612446784973,75.0,69.08333333333333,11.0,14.830477253128524,319,0.2598630473233542,0.2658216605222803,99.64258149383838,0.4326018808777429,0.1316614420062695
44,1270,2021-10-20T00:00:00,1,regression,0.5605534315109253,0.4983295798301697,-0.0622238516807556,0.5605534315109253,0.4983295798301697,-0.062223851680755615,82.0,57.71666666666667,4.0,19.93078997152123,343,0.2383045544603498,0.24504675878974,99.4581267438168,0.3965014577259475,0.1311953352769679
45,1076,2021-04-09T00:00:00,0,correction,0.5192442536354065,0.4895036220550537,-0.0297406315803527,0.4807557463645935,0.5104963779449463,0.029740631580352783,70.0,76.48333333333333,-13.0,12.06025382080453,283,0.0993175807265724,0.0907204651174232,92.53782334675049,0.2438162544169611,0.1554770318021201
