fg_bucket_manual,n,mean_prob_up_delta,median_prob_up_delta,min_prob_up_delta,max_prob_up_delta,stage2_pred_up_rate,film_pred_up_rate,corrections,regressions,net_corrections
"0-25
extreme fear",1450,-0.01514842074107502,-0.01205586642026895,-0.0650924444198608,-0.0004252195358276,0.6724137931034483,0.6489655172413793,14,20,-6
"25-45
fear",1515,-0.013332843854285653,-0.0100120306015015,-0.0601032078266143,-0.0003600120544433,0.633003300330033,0.6171617161716172,11,13,-2
"45-55
neutral",1280,-0.014804023243777876,-0.0117983520030975,-0.0620942115783691,-8.696317672740594e-05,0.625,0.60703125,7,16,-9
"55-75
greed",2150,-0.017937414280550373,-0.014730691909789949,-0.0856867730617523,-0.0003795772790908,0.6553488372093024,0.618139534883721,54,26,28
"75-100
extreme greed",810,-0.020664133297072472,-0.017876803874969448,-0.0738965272903443,-0.0005205869674682,0.7950617283950617,0.7703703703703704,9,11,-2
