split,coverage_rate_7d,mean_news_count_7d,mean_headline_chars_7d,coverage_rate_20d,mean_news_count_20d,mean_headline_chars_20d,coverage_rate_60d,mean_news_count_60d,mean_headline_chars_60d
train,1.0,50.02682563338301,3695.688524590164,1.0,142.16095380029807,10509.80476900149,1.0,424.20119225037257,31352.865871833084
validation,1.0,52.73867595818815,3905.648083623693,1.0,151.09059233449477,11195.177700348431,1.0,443.9547038327526,32843.16027874564
test,1.0,81.71269951422623,6499.834142956281,1.0,233.0242886884108,18539.150589868143,1.0,695.5780707841776,55281.96321998612
all,1.0,69.38390996248437,5405.164235097957,1.0,197.80783659858275,15414.760733639016,1.0,589.57148812005,45904.57232180075
