transition_group,n_samples,block4_delta_gamma_mean_mean,block4_delta_gamma_mean_std,block4_delta_gamma_mean_min,block4_delta_gamma_mean_max,block4_delta_gamma_l2_mean,block4_delta_gamma_l2_std,block4_delta_gamma_l2_min,block4_delta_gamma_l2_max,block4_beta_mean_mean,block4_beta_mean_std,block4_beta_mean_min,block4_beta_mean_max,block4_beta_l2_mean,block4_beta_l2_std,block4_beta_l2_min,block4_beta_l2_max,block4_raw_gamma_mean_mean,block4_raw_gamma_mean_std,block4_raw_gamma_mean_min,block4_raw_gamma_mean_max,block4_raw_beta_mean_mean,block4_raw_beta_mean_std,block4_raw_beta_mean_min,block4_raw_beta_mean_max
correction,20,0.0003341,0.000131207,0.000141051,0.00056054,0.052070037,0.022137956,0.026953855,0.093025311,7.9095e-05,6.2012e-05,-2.5983e-05,0.000191308,0.055608481,0.02393317,0.027384366,0.099219607,0.016873728,0.006630358,0.007080176,0.028192718,0.003998982,0.003119918,-0.001298437,0.009631086
regression,20,0.000349144,0.000152753,0.000135816,0.000732303,0.055658046,0.036539008,0.018970246,0.123678564,8.1803e-05,5.1743e-05,-2.4474e-05,0.000152087,0.058997104,0.039733889,0.018886117,0.133614927,0.017737455,0.007947068,0.006817321,0.038081842,0.004158837,0.002621827,-0.001221825,0.007622793
